date,religion_unscaled,religion_monthly,isPartial,scale,religion
2010-01-01,65,83.0,False,0.83,53.949999999999996
2010-01-02,69,83.0,,0.83,57.269999999999996
2010-01-03,64,83.0,,0.83,53.12
2010-01-04,77,83.0,,0.83,63.91
2010-01-05,71,83.0,,0.83,58.93
2010-01-06,80,83.0,,0.83,66.39999999999999
2010-01-07,68,83.0,,0.83,56.44
2010-01-08,78,83.0,,0.83,64.74
2010-01-09,68,83.0,,0.83,56.44
2010-01-10,76,83.0,,0.83,63.08
2010-01-11,80,83.0,,0.83,66.39999999999999
2010-01-12,85,83.0,,0.83,70.55
2010-01-13,88,83.0,,0.83,73.03999999999999
2010-01-14,89,83.0,,0.83,73.86999999999999
2010-01-15,97,83.0,,0.83,80.50999999999999
2010-01-16,74,83.0,,0.83,61.419999999999995
2010-01-17,92,83.0,,0.83,76.36
2010-01-18,80,83.0,,0.83,66.39999999999999
2010-01-19,91,83.0,,0.83,75.53
2010-01-20,100,83.0,,0.83,83.0
2010-01-21,84,83.0,,0.83,69.72
2010-01-22,93,83.0,,0.83,77.19
2010-01-23,69,83.0,,0.83,57.269999999999996
2010-01-24,86,83.0,,0.83,71.38
2010-01-25,86,83.0,,0.83,71.38
2010-01-26,91,83.0,,0.83,75.53
2010-01-27,87,83.0,,0.83,72.21
2010-01-28,93,83.0,,0.83,77.19
2010-01-29,83,83.0,,0.83,68.89
2010-01-30,76,83.0,,0.83,63.08
2010-01-31,94,83.0,,0.83,78.02
2010-02-01,92,87.0,False,0.87,80.04
2010-02-02,92,87.0,,0.87,80.04
2010-02-03,97,87.0,,0.87,84.39
2010-02-04,94,87.0,,0.87,81.78
2010-02-05,80,87.0,,0.87,69.6
2010-02-06,63,87.0,,0.87,54.81
2010-02-07,86,87.0,,0.87,74.82
2010-02-08,91,87.0,,0.87,79.17
2010-02-09,93,87.0,,0.87,80.91
2010-02-10,86,87.0,,0.87,74.82
2010-02-11,91,87.0,,0.87,79.17
2010-02-12,73,87.0,,0.87,63.51
2010-02-13,72,87.0,,0.87,62.64
2010-02-14,73,87.0,,0.87,63.51
2010-02-15,82,87.0,,0.87,71.34
2010-02-16,95,87.0,,0.87,82.65
2010-02-17,100,87.0,,0.87,87.0
2010-02-18,92,87.0,,0.87,80.04
2010-02-19,74,87.0,,0.87,64.38
2010-02-20,70,87.0,,0.87,60.9
2010-02-21,97,87.0,,0.87,84.39
2010-02-22,94,87.0,,0.87,81.78
2010-02-23,93,87.0,,0.87,80.91
2010-02-24,88,87.0,,0.87,76.56
2010-02-25,79,87.0,,0.87,68.73
2010-02-26,76,87.0,,0.87,66.12
2010-02-27,76,87.0,,0.87,66.12
2010-02-28,94,87.0,,0.87,81.78
2010-03-01,96,89.0,False,0.89,85.44
2010-03-02,87,89.0,,0.89,77.43
2010-03-03,100,89.0,,0.89,89.0
2010-03-04,83,89.0,,0.89,73.87
2010-03-05,67,89.0,,0.89,59.63
2010-03-06,57,89.0,,0.89,50.730000000000004
2010-03-07,78,89.0,,0.89,69.42
2010-03-08,74,89.0,,0.89,65.86
2010-03-09,88,89.0,,0.89,78.32000000000001
2010-03-10,84,89.0,,0.89,74.76
2010-03-11,95,89.0,,0.89,84.55
2010-03-12,74,89.0,,0.89,65.86
2010-03-13,61,89.0,,0.89,54.29
2010-03-14,79,89.0,,0.89,70.31
2010-03-15,77,89.0,,0.89,68.53
2010-03-16,82,89.0,,0.89,72.98
2010-03-17,77,89.0,,0.89,68.53
2010-03-18,94,89.0,,0.89,83.66
2010-03-19,77,89.0,,0.89,68.53
2010-03-20,68,89.0,,0.89,60.52
2010-03-21,76,89.0,,0.89,67.64
2010-03-22,80,89.0,,0.89,71.2
2010-03-23,92,89.0,,0.89,81.88
2010-03-24,78,89.0,,0.89,69.42
2010-03-25,84,89.0,,0.89,74.76
2010-03-26,75,89.0,,0.89,66.75
2010-03-27,61,89.0,,0.89,54.29
2010-03-28,84,89.0,,0.89,74.76
2010-03-29,70,89.0,,0.89,62.300000000000004
2010-03-30,79,89.0,,0.89,70.31
2010-03-31,93,89.0,,0.89,82.77
2010-04-01,70,94.0,False,0.94,65.8
2010-04-02,79,94.0,,0.94,74.25999999999999
2010-04-03,73,94.0,,0.94,68.61999999999999
2010-04-04,82,94.0,,0.94,77.08
2010-04-05,80,94.0,,0.94,75.19999999999999
2010-04-06,78,94.0,,0.94,73.32
2010-04-07,77,94.0,,0.94,72.38
2010-04-08,79,94.0,,0.94,74.25999999999999
2010-04-09,76,94.0,,0.94,71.44
2010-04-10,78,94.0,,0.94,73.32
2010-04-11,90,94.0,,0.94,84.6
2010-04-12,84,94.0,,0.94,78.96
2010-04-13,95,94.0,,0.94,89.3
2010-04-14,89,94.0,,0.94,83.66
2010-04-15,89,94.0,,0.94,83.66
2010-04-16,80,94.0,,0.94,75.19999999999999
2010-04-17,79,94.0,,0.94,74.25999999999999
2010-04-18,100,94.0,,0.94,94.0
2010-04-19,90,94.0,,0.94,84.6
2010-04-20,96,94.0,,0.94,90.24
2010-04-21,93,94.0,,0.94,87.42
2010-04-22,95,94.0,,0.94,89.3
2010-04-23,79,94.0,,0.94,74.25999999999999
2010-04-24,73,94.0,,0.94,68.61999999999999
2010-04-25,94,94.0,,0.94,88.36
2010-04-26,97,94.0,,0.94,91.17999999999999
2010-04-27,96,94.0,,0.94,90.24
2010-04-28,96,94.0,,0.94,90.24
2010-04-29,95,94.0,,0.94,89.3
2010-04-30,82,94.0,,0.94,77.08
2010-05-01,74,83.0,False,0.83,61.419999999999995
2010-05-02,85,83.0,,0.83,70.55
2010-05-03,75,83.0,,0.83,62.25
2010-05-04,100,83.0,,0.83,83.0
2010-05-05,90,83.0,,0.83,74.7
2010-05-06,97,83.0,,0.83,80.50999999999999
2010-05-07,80,83.0,,0.83,66.39999999999999
2010-05-08,67,83.0,,0.83,55.61
2010-05-09,72,83.0,,0.83,59.76
2010-05-10,97,83.0,,0.83,80.50999999999999
2010-05-11,96,83.0,,0.83,79.67999999999999
2010-05-12,81,83.0,,0.83,67.22999999999999
2010-05-13,82,83.0,,0.83,68.06
2010-05-14,77,83.0,,0.83,63.91
2010-05-15,59,83.0,,0.83,48.97
2010-05-16,71,83.0,,0.83,58.93
2010-05-17,81,83.0,,0.83,67.22999999999999
2010-05-18,76,83.0,,0.83,63.08
2010-05-19,81,83.0,,0.83,67.22999999999999
2010-05-20,67,83.0,,0.83,55.61
2010-05-21,73,83.0,,0.83,60.589999999999996
2010-05-22,62,83.0,,0.83,51.46
2010-05-23,80,83.0,,0.83,66.39999999999999
2010-05-24,77,83.0,,0.83,63.91
2010-05-25,67,83.0,,0.83,55.61
2010-05-26,82,83.0,,0.83,68.06
2010-05-27,77,83.0,,0.83,63.91
2010-05-28,71,83.0,,0.83,58.93
2010-05-29,54,83.0,,0.83,44.82
2010-05-30,75,83.0,,0.83,62.25
2010-05-31,68,83.0,,0.83,56.44
2010-06-01,85,60.0,False,0.6,51.0
2010-06-02,97,60.0,,0.6,58.199999999999996
2010-06-03,85,60.0,,0.6,51.0
2010-06-04,76,60.0,,0.6,45.6
2010-06-05,71,60.0,,0.6,42.6
2010-06-06,83,60.0,,0.6,49.8
2010-06-07,100,60.0,,0.6,60.0
2010-06-08,83,60.0,,0.6,49.8
2010-06-09,80,60.0,,0.6,48.0
2010-06-10,80,60.0,,0.6,48.0
2010-06-11,70,60.0,,0.6,42.0
2010-06-12,70,60.0,,0.6,42.0
2010-06-13,75,60.0,,0.6,45.0
2010-06-14,80,60.0,,0.6,48.0
2010-06-15,71,60.0,,0.6,42.6
2010-06-16,93,60.0,,0.6,55.8
2010-06-17,85,60.0,,0.6,51.0
2010-06-18,64,60.0,,0.6,38.4
2010-06-19,68,60.0,,0.6,40.8
2010-06-20,82,60.0,,0.6,49.199999999999996
2010-06-21,68,60.0,,0.6,40.8
2010-06-22,89,60.0,,0.6,53.4
2010-06-23,75,60.0,,0.6,45.0
2010-06-24,83,60.0,,0.6,49.8
2010-06-25,60,60.0,,0.6,36.0
2010-06-26,74,60.0,,0.6,44.4
2010-06-27,77,60.0,,0.6,46.199999999999996
2010-06-28,71,60.0,,0.6,42.6
2010-06-29,74,60.0,,0.6,44.4
2010-06-30,84,60.0,,0.6,50.4
2010-07-01,75,53.0,False,0.53,39.75
2010-07-02,72,53.0,,0.53,38.160000000000004
2010-07-03,70,53.0,,0.53,37.1
2010-07-04,100,53.0,,0.53,53.0
2010-07-05,72,53.0,,0.53,38.160000000000004
2010-07-06,70,53.0,,0.53,37.1
2010-07-07,69,53.0,,0.53,36.57
2010-07-08,62,53.0,,0.53,32.86
2010-07-09,67,53.0,,0.53,35.510000000000005
2010-07-10,74,53.0,,0.53,39.22
2010-07-11,81,53.0,,0.53,42.93
2010-07-12,76,53.0,,0.53,40.28
2010-07-13,80,53.0,,0.53,42.400000000000006
2010-07-14,86,53.0,,0.53,45.580000000000005
2010-07-15,63,53.0,,0.53,33.39
2010-07-16,68,53.0,,0.53,36.04
2010-07-17,72,53.0,,0.53,38.160000000000004
2010-07-18,89,53.0,,0.53,47.17
2010-07-19,90,53.0,,0.53,47.7
2010-07-20,75,53.0,,0.53,39.75
2010-07-21,76,53.0,,0.53,40.28
2010-07-22,73,53.0,,0.53,38.690000000000005
2010-07-23,78,53.0,,0.53,41.34
2010-07-24,75,53.0,,0.53,39.75
2010-07-25,90,53.0,,0.53,47.7
2010-07-26,75,53.0,,0.53,39.75
2010-07-27,67,53.0,,0.53,35.510000000000005
2010-07-28,89,53.0,,0.53,47.17
2010-07-29,78,53.0,,0.53,41.34
2010-07-30,81,53.0,,0.53,42.93
2010-07-31,77,53.0,,0.53,40.81
2010-08-01,67,70.0,False,0.7,46.9
2010-08-02,59,70.0,,0.7,41.3
2010-08-03,59,70.0,,0.7,41.3
2010-08-04,54,70.0,,0.7,37.8
2010-08-05,56,70.0,,0.7,39.199999999999996
2010-08-06,64,70.0,,0.7,44.8
2010-08-07,64,70.0,,0.7,44.8
2010-08-08,74,70.0,,0.7,51.8
2010-08-09,64,70.0,,0.7,44.8
2010-08-10,64,70.0,,0.7,44.8
2010-08-11,57,70.0,,0.7,39.9
2010-08-12,69,70.0,,0.7,48.3
2010-08-13,63,70.0,,0.7,44.099999999999994
2010-08-14,74,70.0,,0.7,51.8
2010-08-15,79,70.0,,0.7,55.3
2010-08-16,71,70.0,,0.7,49.699999999999996
2010-08-17,74,70.0,,0.7,51.8
2010-08-18,72,70.0,,0.7,50.4
2010-08-19,93,70.0,,0.7,65.1
2010-08-20,84,70.0,,0.7,58.8
2010-08-21,77,70.0,,0.7,53.9
2010-08-22,82,70.0,,0.7,57.4
2010-08-23,81,70.0,,0.7,56.699999999999996
2010-08-24,78,70.0,,0.7,54.599999999999994
2010-08-25,82,70.0,,0.7,57.4
2010-08-26,79,70.0,,0.7,55.3
2010-08-27,79,70.0,,0.7,55.3
2010-08-28,87,70.0,,0.7,60.9
2010-08-29,88,70.0,,0.7,61.599999999999994
2010-08-30,100,70.0,,0.7,70.0
2010-08-31,77,70.0,,0.7,53.9
2010-09-01,47,95.0,False,0.95,44.65
2010-09-02,53,95.0,,0.95,50.349999999999994
2010-09-03,43,95.0,,0.95,40.85
2010-09-04,40,95.0,,0.95,38.0
2010-09-05,54,95.0,,0.95,51.3
2010-09-06,51,95.0,,0.95,48.449999999999996
2010-09-07,61,95.0,,0.95,57.949999999999996
2010-09-08,58,95.0,,0.95,55.099999999999994
2010-09-09,55,95.0,,0.95,52.25
2010-09-10,54,95.0,,0.95,51.3
2010-09-11,50,95.0,,0.95,47.5
2010-09-12,66,95.0,,0.95,62.699999999999996
2010-09-13,59,95.0,,0.95,56.05
2010-09-14,57,95.0,,0.95,54.15
2010-09-15,67,95.0,,0.95,63.65
2010-09-16,66,95.0,,0.95,62.699999999999996
2010-09-17,61,95.0,,0.95,57.949999999999996
2010-09-18,46,95.0,,0.95,43.699999999999996
2010-09-19,64,95.0,,0.95,60.8
2010-09-20,56,95.0,,0.95,53.199999999999996
2010-09-21,59,95.0,,0.95,56.05
2010-09-22,62,95.0,,0.95,58.9
2010-09-23,67,95.0,,0.95,63.65
2010-09-24,48,95.0,,0.95,45.599999999999994
2010-09-25,48,95.0,,0.95,45.599999999999994
2010-09-26,52,95.0,,0.95,49.4
2010-09-27,61,95.0,,0.95,57.949999999999996
2010-09-28,100,95.0,,0.95,95.0
2010-09-29,95,95.0,,0.95,90.25
2010-09-30,79,95.0,,0.95,75.05
2010-10-01,77,98.0,False,0.98,75.46
2010-10-02,66,98.0,,0.98,64.67999999999999
2010-10-03,75,98.0,,0.98,73.5
2010-10-04,83,98.0,,0.98,81.34
2010-10-05,83,98.0,,0.98,81.34
2010-10-06,100,98.0,,0.98,98.0
2010-10-07,80,98.0,,0.98,78.4
2010-10-08,67,98.0,,0.98,65.66
2010-10-09,54,98.0,,0.98,52.92
2010-10-10,73,98.0,,0.98,71.53999999999999
2010-10-11,80,98.0,,0.98,78.4
2010-10-12,80,98.0,,0.98,78.4
2010-10-13,74,98.0,,0.98,72.52
2010-10-14,82,98.0,,0.98,80.36
2010-10-15,70,98.0,,0.98,68.6
2010-10-16,56,98.0,,0.98,54.879999999999995
2010-10-17,67,98.0,,0.98,65.66
2010-10-18,78,98.0,,0.98,76.44
2010-10-19,89,98.0,,0.98,87.22
2010-10-20,76,98.0,,0.98,74.48
2010-10-21,86,98.0,,0.98,84.28
2010-10-22,63,98.0,,0.98,61.74
2010-10-23,61,98.0,,0.98,59.78
2010-10-24,66,98.0,,0.98,64.67999999999999
2010-10-25,83,98.0,,0.98,81.34
2010-10-26,79,98.0,,0.98,77.42
2010-10-27,68,98.0,,0.98,66.64
2010-10-28,77,98.0,,0.98,75.46
2010-10-29,63,98.0,,0.98,61.74
2010-10-30,43,98.0,,0.98,42.14
2010-10-31,64,98.0,,0.98,62.72
2010-11-01,85,90.0,False,0.9,76.5
2010-11-02,95,90.0,,0.9,85.5
2010-11-03,100,90.0,,0.9,90.0
2010-11-04,91,90.0,,0.9,81.9
2010-11-05,84,90.0,,0.9,75.60000000000001
2010-11-06,70,90.0,,0.9,63.0
2010-11-07,75,90.0,,0.9,67.5
2010-11-08,90,90.0,,0.9,81.0
2010-11-09,90,90.0,,0.9,81.0
2010-11-10,99,90.0,,0.9,89.10000000000001
2010-11-11,84,90.0,,0.9,75.60000000000001
2010-11-12,79,90.0,,0.9,71.10000000000001
2010-11-13,71,90.0,,0.9,63.9
2010-11-14,93,90.0,,0.9,83.7
2010-11-15,84,90.0,,0.9,75.60000000000001
2010-11-16,93,90.0,,0.9,83.7
2010-11-17,88,90.0,,0.9,79.2
2010-11-18,93,90.0,,0.9,83.7
2010-11-19,86,90.0,,0.9,77.4
2010-11-20,62,90.0,,0.9,55.800000000000004
2010-11-21,69,90.0,,0.9,62.1
2010-11-22,89,90.0,,0.9,80.10000000000001
2010-11-23,74,90.0,,0.9,66.60000000000001
2010-11-24,62,90.0,,0.9,55.800000000000004
2010-11-25,63,90.0,,0.9,56.7
2010-11-26,77,90.0,,0.9,69.3
2010-11-27,78,90.0,,0.9,70.2
2010-11-28,83,90.0,,0.9,74.7
2010-11-29,84,90.0,,0.9,75.60000000000001
2010-11-30,88,90.0,,0.9,79.2
2010-12-01,87,81.0,False,0.81,70.47
2010-12-02,93,81.0,,0.81,75.33
2010-12-03,79,81.0,,0.81,63.99
2010-12-04,64,81.0,,0.81,51.84
2010-12-05,75,81.0,,0.81,60.75000000000001
2010-12-06,82,81.0,,0.81,66.42
2010-12-07,96,81.0,,0.81,77.76
2010-12-08,100,81.0,,0.81,81.0
2010-12-09,96,81.0,,0.81,77.76
