date,restaurant_unscaled,restaurant_monthly,isPartial,scale,restaurant
2010-01-01,89,74.0,False,0.74,65.86
2010-01-02,90,74.0,,0.74,66.6
2010-01-03,68,74.0,,0.74,50.32
2010-01-04,66,74.0,,0.74,48.839999999999996
2010-01-05,69,74.0,,0.74,51.06
2010-01-06,77,74.0,,0.74,56.98
2010-01-07,72,74.0,,0.74,53.28
2010-01-08,86,74.0,,0.74,63.64
2010-01-09,88,74.0,,0.74,65.12
2010-01-10,79,74.0,,0.74,58.46
2010-01-11,75,74.0,,0.74,55.5
2010-01-12,82,74.0,,0.74,60.68
2010-01-13,83,74.0,,0.74,61.42
2010-01-14,86,74.0,,0.74,63.64
2010-01-15,97,74.0,,0.74,71.78
2010-01-16,100,74.0,,0.74,74.0
2010-01-17,87,74.0,,0.74,64.38
2010-01-18,73,74.0,,0.74,54.019999999999996
2010-01-19,76,74.0,,0.74,56.24
2010-01-20,81,74.0,,0.74,59.94
2010-01-21,84,74.0,,0.74,62.16
2010-01-22,99,74.0,,0.74,73.26
2010-01-23,100,74.0,,0.74,74.0
2010-01-24,76,74.0,,0.74,56.24
2010-01-25,74,74.0,,0.74,54.76
2010-01-26,79,74.0,,0.74,58.46
2010-01-27,82,74.0,,0.74,60.68
2010-01-28,84,74.0,,0.74,62.16
2010-01-29,93,74.0,,0.74,68.82
2010-01-30,99,74.0,,0.74,73.26
2010-01-31,79,74.0,,0.74,58.46
2010-02-01,58,71.0,False,0.71,41.18
2010-02-02,59,71.0,,0.71,41.89
2010-02-03,63,71.0,,0.71,44.73
2010-02-04,62,71.0,,0.71,44.019999999999996
2010-02-05,65,71.0,,0.71,46.15
2010-02-06,66,71.0,,0.71,46.86
2010-02-07,56,71.0,,0.71,39.76
2010-02-08,55,71.0,,0.71,39.05
2010-02-09,59,71.0,,0.71,41.89
2010-02-10,64,71.0,,0.71,45.44
2010-02-11,69,71.0,,0.71,48.989999999999995
2010-02-12,81,71.0,,0.71,57.51
2010-02-13,99,71.0,,0.71,70.28999999999999
2010-02-14,100,71.0,,0.71,71.0
2010-02-15,62,71.0,,0.71,44.019999999999996
2010-02-16,54,71.0,,0.71,38.339999999999996
2010-02-17,59,71.0,,0.71,41.89
2010-02-18,62,71.0,,0.71,44.019999999999996
2010-02-19,71,71.0,,0.71,50.41
2010-02-20,75,71.0,,0.71,53.25
2010-02-21,60,71.0,,0.71,42.599999999999994
2010-02-22,56,71.0,,0.71,39.76
2010-02-23,58,71.0,,0.71,41.18
2010-02-24,55,71.0,,0.71,39.05
2010-02-25,58,71.0,,0.71,41.18
2010-02-26,62,71.0,,0.71,44.019999999999996
2010-02-27,76,71.0,,0.71,53.959999999999994
2010-02-28,62,71.0,,0.71,44.019999999999996
2010-03-01,71,70.0,False,0.7,49.699999999999996
2010-03-02,71,70.0,,0.7,49.699999999999996
2010-03-03,75,70.0,,0.7,52.5
2010-03-04,78,70.0,,0.7,54.599999999999994
2010-03-05,93,70.0,,0.7,65.1
2010-03-06,100,70.0,,0.7,70.0
2010-03-07,86,70.0,,0.7,60.199999999999996
2010-03-08,68,70.0,,0.7,47.599999999999994
2010-03-09,71,70.0,,0.7,49.699999999999996
2010-03-10,75,70.0,,0.7,52.5
2010-03-11,79,70.0,,0.7,55.3
2010-03-12,93,70.0,,0.7,65.1
2010-03-13,96,70.0,,0.7,67.19999999999999
2010-03-14,84,70.0,,0.7,58.8
2010-03-15,69,70.0,,0.7,48.3
2010-03-16,74,70.0,,0.7,51.8
2010-03-17,80,70.0,,0.7,56.0
2010-03-18,75,70.0,,0.7,52.5
2010-03-19,87,70.0,,0.7,60.9
2010-03-20,88,70.0,,0.7,61.599999999999994
2010-03-21,78,70.0,,0.7,54.599999999999994
2010-03-22,69,70.0,,0.7,48.3
2010-03-23,72,70.0,,0.7,50.4
2010-03-24,74,70.0,,0.7,51.8
2010-03-25,81,70.0,,0.7,56.699999999999996
2010-03-26,88,70.0,,0.7,61.599999999999994
2010-03-27,95,70.0,,0.7,66.5
2010-03-28,77,70.0,,0.7,53.9
2010-03-29,69,70.0,,0.7,48.3
2010-03-30,74,70.0,,0.7,51.8
2010-03-31,68,70.0,,0.7,47.599999999999994
2010-04-01,81,66.0,False,0.66,53.46
2010-04-02,91,66.0,,0.66,60.06
2010-04-03,91,66.0,,0.66,60.06
2010-04-04,85,66.0,,0.66,56.1
2010-04-05,70,66.0,,0.66,46.2
2010-04-06,73,66.0,,0.66,48.18
2010-04-07,75,66.0,,0.66,49.5
2010-04-08,78,66.0,,0.66,51.480000000000004
2010-04-09,91,66.0,,0.66,60.06
2010-04-10,91,66.0,,0.66,60.06
2010-04-11,75,66.0,,0.66,49.5
2010-04-12,68,66.0,,0.66,44.88
2010-04-13,75,66.0,,0.66,49.5
2010-04-14,72,66.0,,0.66,47.52
2010-04-15,78,66.0,,0.66,51.480000000000004
2010-04-16,93,66.0,,0.66,61.38
2010-04-17,100,66.0,,0.66,66.0
2010-04-18,83,66.0,,0.66,54.78
2010-04-19,73,66.0,,0.66,48.18
2010-04-20,80,66.0,,0.66,52.800000000000004
2010-04-21,79,66.0,,0.66,52.14
2010-04-22,82,66.0,,0.66,54.120000000000005
2010-04-23,90,66.0,,0.66,59.400000000000006
2010-04-24,91,66.0,,0.66,60.06
2010-04-25,79,66.0,,0.66,52.14
2010-04-26,70,66.0,,0.66,46.2
2010-04-27,76,66.0,,0.66,50.160000000000004
2010-04-28,83,66.0,,0.66,54.78
2010-04-29,80,66.0,,0.66,52.800000000000004
2010-04-30,87,66.0,,0.66,57.42
2010-05-01,81,69.0,False,0.69,55.88999999999999
2010-05-02,69,69.0,,0.69,47.61
2010-05-03,69,69.0,,0.69,47.61
2010-05-04,72,69.0,,0.69,49.67999999999999
2010-05-05,76,69.0,,0.69,52.44
2010-05-06,75,69.0,,0.69,51.74999999999999
2010-05-07,86,69.0,,0.69,59.339999999999996
2010-05-08,98,69.0,,0.69,67.61999999999999
2010-05-09,100,69.0,,0.69,69.0
2010-05-10,67,69.0,,0.69,46.23
2010-05-11,65,69.0,,0.69,44.849999999999994
2010-05-12,67,69.0,,0.69,46.23
2010-05-13,69,69.0,,0.69,47.61
2010-05-14,79,69.0,,0.69,54.51
2010-05-15,83,69.0,,0.69,57.269999999999996
2010-05-16,67,69.0,,0.69,46.23
2010-05-17,65,69.0,,0.69,44.849999999999994
2010-05-18,63,69.0,,0.69,43.47
2010-05-19,67,69.0,,0.69,46.23
2010-05-20,69,69.0,,0.69,47.61
2010-05-21,79,69.0,,0.69,54.51
2010-05-22,79,69.0,,0.69,54.51
2010-05-23,67,69.0,,0.69,46.23
2010-05-24,63,69.0,,0.69,43.47
2010-05-25,66,69.0,,0.69,45.54
2010-05-26,70,69.0,,0.69,48.3
2010-05-27,66,69.0,,0.69,45.54
2010-05-28,71,69.0,,0.69,48.989999999999995
2010-05-29,76,69.0,,0.69,52.44
2010-05-30,70,69.0,,0.69,48.3
2010-05-31,61,69.0,,0.69,42.089999999999996
2010-06-01,65,67.0,False,0.67,43.550000000000004
2010-06-02,74,67.0,,0.67,49.580000000000005
2010-06-03,77,67.0,,0.67,51.59
2010-06-04,89,67.0,,0.67,59.63
2010-06-05,87,67.0,,0.67,58.290000000000006
2010-06-06,75,67.0,,0.67,50.25
2010-06-07,70,67.0,,0.67,46.900000000000006
2010-06-08,81,67.0,,0.67,54.27
2010-06-09,80,67.0,,0.67,53.6
2010-06-10,80,67.0,,0.67,53.6
2010-06-11,87,67.0,,0.67,58.290000000000006
2010-06-12,89,67.0,,0.67,59.63
2010-06-13,78,67.0,,0.67,52.260000000000005
2010-06-14,73,67.0,,0.67,48.910000000000004
2010-06-15,79,67.0,,0.67,52.93
2010-06-16,82,67.0,,0.67,54.940000000000005
2010-06-17,82,67.0,,0.67,54.940000000000005
2010-06-18,88,67.0,,0.67,58.96
2010-06-19,100,67.0,,0.67,67.0
2010-06-20,98,67.0,,0.67,65.66000000000001
2010-06-21,70,67.0,,0.67,46.900000000000006
2010-06-22,77,67.0,,0.67,51.59
2010-06-23,75,67.0,,0.67,50.25
2010-06-24,81,67.0,,0.67,54.27
2010-06-25,86,67.0,,0.67,57.620000000000005
2010-06-26,91,67.0,,0.67,60.970000000000006
2010-06-27,79,67.0,,0.67,52.93
2010-06-28,72,67.0,,0.67,48.24
2010-06-29,78,67.0,,0.67,52.260000000000005
2010-06-30,81,67.0,,0.67,54.27
2010-07-01,75,71.0,False,0.71,53.25
2010-07-02,85,71.0,,0.71,60.349999999999994
2010-07-03,91,71.0,,0.71,64.61
2010-07-04,82,71.0,,0.71,58.22
2010-07-05,79,71.0,,0.71,56.089999999999996
2010-07-06,76,71.0,,0.71,53.959999999999994
2010-07-07,77,71.0,,0.71,54.669999999999995
2010-07-08,83,71.0,,0.71,58.93
2010-07-09,91,71.0,,0.71,64.61
2010-07-10,100,71.0,,0.71,71.0
2010-07-11,89,71.0,,0.71,63.19
2010-07-12,82,71.0,,0.71,58.22
2010-07-13,83,71.0,,0.71,58.93
2010-07-14,82,71.0,,0.71,58.22
2010-07-15,85,71.0,,0.71,60.349999999999994
2010-07-16,92,71.0,,0.71,65.32
2010-07-17,99,71.0,,0.71,70.28999999999999
2010-07-18,93,71.0,,0.71,66.03
2010-07-19,78,71.0,,0.71,55.379999999999995
2010-07-20,81,71.0,,0.71,57.51
2010-07-21,82,71.0,,0.71,58.22
2010-07-22,84,71.0,,0.71,59.64
2010-07-23,93,71.0,,0.71,66.03
2010-07-24,94,71.0,,0.71,66.74
2010-07-25,87,71.0,,0.71,61.769999999999996
2010-07-26,79,71.0,,0.71,56.089999999999996
2010-07-27,77,71.0,,0.71,54.669999999999995
2010-07-28,81,71.0,,0.71,57.51
2010-07-29,83,71.0,,0.71,58.93
2010-07-30,89,71.0,,0.71,63.19
2010-07-31,92,71.0,,0.71,65.32
2010-08-01,86,69.0,False,0.69,59.339999999999996
2010-08-02,75,69.0,,0.69,51.74999999999999
2010-08-03,78,69.0,,0.69,53.81999999999999
2010-08-04,81,69.0,,0.69,55.88999999999999
2010-08-05,84,69.0,,0.69,57.959999999999994
2010-08-06,93,69.0,,0.69,64.17
2010-08-07,98,69.0,,0.69,67.61999999999999
2010-08-08,90,69.0,,0.69,62.099999999999994
2010-08-09,79,69.0,,0.69,54.51
2010-08-10,79,69.0,,0.69,54.51
2010-08-11,80,69.0,,0.69,55.199999999999996
2010-08-12,85,69.0,,0.69,58.65
2010-08-13,94,69.0,,0.69,64.86
2010-08-14,98,69.0,,0.69,67.61999999999999
2010-08-15,93,69.0,,0.69,64.17
