date,return_unscaled,return_monthly,isPartial,scale,return
2010-01-01,45,51.0,False,0.51,22.95
2010-01-02,66,51.0,,0.51,33.660000000000004
2010-01-03,69,51.0,,0.51,35.19
2010-01-04,86,51.0,,0.51,43.86
2010-01-05,86,51.0,,0.51,43.86
2010-01-06,79,51.0,,0.51,40.29
2010-01-07,70,51.0,,0.51,35.7
2010-01-08,68,51.0,,0.51,34.68
2010-01-09,62,51.0,,0.51,31.62
2010-01-10,66,51.0,,0.51,33.660000000000004
2010-01-11,83,51.0,,0.51,42.33
2010-01-12,71,51.0,,0.51,36.21
2010-01-13,77,51.0,,0.51,39.27
2010-01-14,80,51.0,,0.51,40.8
2010-01-15,76,51.0,,0.51,38.76
2010-01-16,70,51.0,,0.51,35.7
2010-01-17,78,51.0,,0.51,39.78
2010-01-18,82,51.0,,0.51,41.82
2010-01-19,89,51.0,,0.51,45.39
2010-01-20,86,51.0,,0.51,43.86
2010-01-21,85,51.0,,0.51,43.35
2010-01-22,84,51.0,,0.51,42.84
2010-01-23,84,51.0,,0.51,42.84
2010-01-24,74,51.0,,0.51,37.74
2010-01-25,92,51.0,,0.51,46.92
2010-01-26,89,51.0,,0.51,45.39
2010-01-27,96,51.0,,0.51,48.96
2010-01-28,100,51.0,,0.51,51.0
2010-01-29,89,51.0,,0.51,45.39
2010-01-30,97,51.0,,0.51,49.47
2010-01-31,99,51.0,,0.51,50.49
2010-02-01,93,58.0,False,0.58,53.94
2010-02-02,100,58.0,,0.58,57.99999999999999
2010-02-03,97,58.0,,0.58,56.26
2010-02-04,84,58.0,,0.58,48.72
2010-02-05,90,58.0,,0.58,52.199999999999996
2010-02-06,85,58.0,,0.58,49.3
2010-02-07,76,58.0,,0.58,44.08
2010-02-08,80,58.0,,0.58,46.4
2010-02-09,84,58.0,,0.58,48.72
2010-02-10,72,58.0,,0.58,41.76
2010-02-11,86,58.0,,0.58,49.879999999999995
2010-02-12,74,58.0,,0.58,42.919999999999995
2010-02-13,67,58.0,,0.58,38.86
2010-02-14,61,58.0,,0.58,35.379999999999995
2010-02-15,73,58.0,,0.58,42.339999999999996
2010-02-16,79,58.0,,0.58,45.82
2010-02-17,78,58.0,,0.58,45.239999999999995
2010-02-18,85,58.0,,0.58,49.3
2010-02-19,84,58.0,,0.58,48.72
2010-02-20,56,58.0,,0.58,32.48
2010-02-21,62,58.0,,0.58,35.96
2010-02-22,78,58.0,,0.58,45.239999999999995
2010-02-23,74,58.0,,0.58,42.919999999999995
2010-02-24,77,58.0,,0.58,44.66
2010-02-25,75,58.0,,0.58,43.5
2010-02-26,64,58.0,,0.58,37.12
2010-02-27,66,58.0,,0.58,38.279999999999994
2010-02-28,62,58.0,,0.58,35.96
2010-03-01,91,55.0,False,0.55,50.050000000000004
2010-03-02,100,55.0,,0.55,55.00000000000001
2010-03-03,89,55.0,,0.55,48.95
2010-03-04,82,55.0,,0.55,45.1
2010-03-05,80,55.0,,0.55,44.0
2010-03-06,79,55.0,,0.55,43.45
2010-03-07,76,55.0,,0.55,41.800000000000004
2010-03-08,89,55.0,,0.55,48.95
2010-03-09,95,55.0,,0.55,52.25000000000001
2010-03-10,80,55.0,,0.55,44.0
2010-03-11,90,55.0,,0.55,49.50000000000001
2010-03-12,80,55.0,,0.55,44.0
2010-03-13,73,55.0,,0.55,40.150000000000006
2010-03-14,72,55.0,,0.55,39.6
2010-03-15,100,55.0,,0.55,55.00000000000001
2010-03-16,97,55.0,,0.55,53.35
2010-03-17,98,55.0,,0.55,53.900000000000006
2010-03-18,83,55.0,,0.55,45.650000000000006
2010-03-19,78,55.0,,0.55,42.900000000000006
2010-03-20,77,55.0,,0.55,42.35
2010-03-21,86,55.0,,0.55,47.300000000000004
