date,returns_unscaled,returns_monthly,isPartial,scale,returns
2010-01-01,30,34.0,False,0.34,10.200000000000001
2010-01-02,67,34.0,,0.34,22.78
2010-01-03,57,34.0,,0.34,19.380000000000003
2010-01-04,60,34.0,,0.34,20.400000000000002
2010-01-05,54,34.0,,0.34,18.360000000000003
2010-01-06,59,34.0,,0.34,20.060000000000002
2010-01-07,50,34.0,,0.34,17.0
2010-01-08,52,34.0,,0.34,17.68
2010-01-09,51,34.0,,0.34,17.34
2010-01-10,40,34.0,,0.34,13.600000000000001
2010-01-11,45,34.0,,0.34,15.3
2010-01-12,51,34.0,,0.34,17.34
2010-01-13,63,34.0,,0.34,21.42
2010-01-14,50,34.0,,0.34,17.0
2010-01-15,56,34.0,,0.34,19.040000000000003
2010-01-16,72,34.0,,0.34,24.48
2010-01-17,62,34.0,,0.34,21.080000000000002
2010-01-18,63,34.0,,0.34,21.42
2010-01-19,100,34.0,,0.34,34.0
2010-01-20,94,34.0,,0.34,31.96
2010-01-21,57,34.0,,0.34,19.380000000000003
2010-01-22,61,34.0,,0.34,20.740000000000002
2010-01-23,40,34.0,,0.34,13.600000000000001
2010-01-24,56,34.0,,0.34,19.040000000000003
2010-01-25,63,34.0,,0.34,21.42
2010-01-26,56,34.0,,0.34,19.040000000000003
2010-01-27,74,34.0,,0.34,25.16
2010-01-28,59,34.0,,0.34,20.060000000000002
2010-01-29,56,34.0,,0.34,19.040000000000003
2010-01-30,61,34.0,,0.34,20.740000000000002
2010-01-31,54,34.0,,0.34,18.360000000000003
2010-02-01,100,33.0,False,0.33,33.0
2010-02-02,85,33.0,,0.33,28.05
2010-02-03,91,33.0,,0.33,30.03
2010-02-04,94,33.0,,0.33,31.020000000000003
2010-02-05,78,33.0,,0.33,25.740000000000002
2010-02-06,70,33.0,,0.33,23.1
2010-02-07,70,33.0,,0.33,23.1
2010-02-08,79,33.0,,0.33,26.07
2010-02-09,80,33.0,,0.33,26.400000000000002
2010-02-10,80,33.0,,0.33,26.400000000000002
2010-02-11,86,33.0,,0.33,28.380000000000003
2010-02-12,82,33.0,,0.33,27.060000000000002
2010-02-13,88,33.0,,0.33,29.040000000000003
2010-02-14,57,33.0,,0.33,18.810000000000002
2010-02-15,76,33.0,,0.33,25.080000000000002
2010-02-16,85,33.0,,0.33,28.05
2010-02-17,67,33.0,,0.33,22.11
2010-02-18,81,33.0,,0.33,26.73
2010-02-19,91,33.0,,0.33,30.03
2010-02-20,70,33.0,,0.33,23.1
2010-02-21,62,33.0,,0.33,20.46
2010-02-22,72,33.0,,0.33,23.76
2010-02-23,74,33.0,,0.33,24.42
2010-02-24,58,33.0,,0.33,19.14
2010-02-25,79,33.0,,0.33,26.07
2010-02-26,76,33.0,,0.33,25.080000000000002
2010-02-27,64,33.0,,0.33,21.12
2010-02-28,44,33.0,,0.33,14.520000000000001
2010-03-01,71,31.0,False,0.31,22.01
2010-03-02,76,31.0,,0.31,23.56
2010-03-03,83,31.0,,0.31,25.73
2010-03-04,71,31.0,,0.31,22.01
2010-03-05,65,31.0,,0.31,20.15
2010-03-06,61,31.0,,0.31,18.91
2010-03-07,60,31.0,,0.31,18.6
2010-03-08,71,31.0,,0.31,22.01
2010-03-09,65,31.0,,0.31,20.15
2010-03-10,82,31.0,,0.31,25.419999999999998
2010-03-11,70,31.0,,0.31,21.7
2010-03-12,66,31.0,,0.31,20.46
2010-03-13,53,31.0,,0.31,16.43
2010-03-14,74,31.0,,0.31,22.94
2010-03-15,75,31.0,,0.31,23.25
2010-03-16,90,31.0,,0.31,27.9
2010-03-17,74,31.0,,0.31,22.94
2010-03-18,66,31.0,,0.31,20.46
2010-03-19,50,31.0,,0.31,15.5
2010-03-20,60,31.0,,0.31,18.6
2010-03-21,63,31.0,,0.31,19.53
2010-03-22,68,31.0,,0.31,21.08
2010-03-23,77,31.0,,0.31,23.87
2010-03-24,89,31.0,,0.31,27.59
2010-03-25,62,31.0,,0.31,19.22
2010-03-26,60,31.0,,0.31,18.6
2010-03-27,50,31.0,,0.31,15.5
2010-03-28,64,31.0,,0.31,19.84
2010-03-29,100,31.0,,0.31,31.0
2010-03-30,89,31.0,,0.31,27.59
2010-03-31,75,31.0,,0.31,23.25
2010-04-01,44,33.0,False,0.33,14.520000000000001
2010-04-02,48,33.0,,0.33,15.84
2010-04-03,32,33.0,,0.33,10.56
2010-04-04,38,33.0,,0.33,12.540000000000001
2010-04-05,58,33.0,,0.33,19.14
2010-04-06,52,33.0,,0.33,17.16
2010-04-07,50,33.0,,0.33,16.5
2010-04-08,60,33.0,,0.33,19.8
2010-04-09,55,33.0,,0.33,18.150000000000002
2010-04-10,53,33.0,,0.33,17.490000000000002
2010-04-11,53,33.0,,0.33,17.490000000000002
2010-04-12,75,33.0,,0.33,24.75
2010-04-13,90,33.0,,0.33,29.700000000000003
2010-04-14,78,33.0,,0.33,25.740000000000002
2010-04-15,100,33.0,,0.33,33.0
2010-04-16,50,33.0,,0.33,16.5
2010-04-17,31,33.0,,0.33,10.23
2010-04-18,39,33.0,,0.33,12.870000000000001
2010-04-19,49,33.0,,0.33,16.17
2010-04-20,50,33.0,,0.33,16.5
2010-04-21,48,33.0,,0.33,15.84
2010-04-22,39,33.0,,0.33,12.870000000000001
2010-04-23,38,33.0,,0.33,12.540000000000001
2010-04-24,35,33.0,,0.33,11.55
2010-04-25,36,33.0,,0.33,11.88
2010-04-26,45,33.0,,0.33,14.850000000000001
2010-04-27,45,33.0,,0.33,14.850000000000001
2010-04-28,47,33.0,,0.33,15.510000000000002
2010-04-29,42,33.0,,0.33,13.860000000000001
2010-04-30,39,33.0,,0.33,12.870000000000001
2010-05-01,46,23.0,False,0.23,10.58
2010-05-02,66,23.0,,0.23,15.180000000000001
2010-05-03,88,23.0,,0.23,20.240000000000002
2010-05-04,62,23.0,,0.23,14.26
2010-05-05,86,23.0,,0.23,19.78
2010-05-06,65,23.0,,0.23,14.950000000000001
2010-05-07,67,23.0,,0.23,15.41
2010-05-08,64,23.0,,0.23,14.72
2010-05-09,64,23.0,,0.23,14.72
2010-05-10,76,23.0,,0.23,17.48
2010-05-11,70,23.0,,0.23,16.1
2010-05-12,71,23.0,,0.23,16.330000000000002
2010-05-13,61,23.0,,0.23,14.030000000000001
2010-05-14,62,23.0,,0.23,14.26
2010-05-15,66,23.0,,0.23,15.180000000000001
2010-05-16,54,23.0,,0.23,12.42
2010-05-17,79,23.0,,0.23,18.17
2010-05-18,60,23.0,,0.23,13.8
2010-05-19,100,23.0,,0.23,23.0
2010-05-20,45,23.0,,0.23,10.35
2010-05-21,57,23.0,,0.23,13.110000000000001
2010-05-22,66,23.0,,0.23,15.180000000000001
2010-05-23,41,23.0,,0.23,9.43
2010-05-24,61,23.0,,0.23,14.030000000000001
2010-05-25,40,23.0,,0.23,9.200000000000001
2010-05-26,60,23.0,,0.23,13.8
