date,revenue_unscaled,revenue_monthly,isPartial,scale,revenue
2010-01-01,23,72.0,False,0.72,16.56
2010-01-02,26,72.0,,0.72,18.72
2010-01-03,18,72.0,,0.72,12.959999999999999
2010-01-04,64,72.0,,0.72,46.08
2010-01-05,65,72.0,,0.72,46.8
2010-01-06,63,72.0,,0.72,45.36
2010-01-07,66,72.0,,0.72,47.519999999999996
2010-01-08,50,72.0,,0.72,36.0
2010-01-09,30,72.0,,0.72,21.599999999999998
2010-01-10,26,72.0,,0.72,18.72
2010-01-11,67,72.0,,0.72,48.239999999999995
2010-01-12,74,72.0,,0.72,53.28
2010-01-13,70,72.0,,0.72,50.4
2010-01-14,76,72.0,,0.72,54.72
2010-01-15,69,72.0,,0.72,49.68
2010-01-16,40,72.0,,0.72,28.799999999999997
2010-01-17,42,72.0,,0.72,30.24
2010-01-18,58,72.0,,0.72,41.76
2010-01-19,81,72.0,,0.72,58.32
2010-01-20,91,72.0,,0.72,65.52
2010-01-21,74,72.0,,0.72,53.28
2010-01-22,63,72.0,,0.72,45.36
2010-01-23,47,72.0,,0.72,33.839999999999996
2010-01-24,41,72.0,,0.72,29.52
2010-01-25,89,72.0,,0.72,64.08
2010-01-26,97,72.0,,0.72,69.84
2010-01-27,94,72.0,,0.72,67.67999999999999
2010-01-28,100,72.0,,0.72,72.0
2010-01-29,83,72.0,,0.72,59.76
2010-01-30,60,72.0,,0.72,43.199999999999996
2010-01-31,61,72.0,,0.72,43.92
2010-02-01,81,90.0,False,0.9,72.9
2010-02-02,93,90.0,,0.9,83.7
2010-02-03,88,90.0,,0.9,79.2
2010-02-04,80,90.0,,0.9,72.0
2010-02-05,81,90.0,,0.9,72.9
2010-02-06,53,90.0,,0.9,47.7
2010-02-07,51,90.0,,0.9,45.9
2010-02-08,78,90.0,,0.9,70.2
2010-02-09,85,90.0,,0.9,76.5
2010-02-10,78,90.0,,0.9,70.2
2010-02-11,70,90.0,,0.9,63.0
2010-02-12,72,90.0,,0.9,64.8
2010-02-13,55,90.0,,0.9,49.5
2010-02-14,42,90.0,,0.9,37.800000000000004
2010-02-15,86,90.0,,0.9,77.4
2010-02-16,88,90.0,,0.9,79.2
2010-02-17,100,90.0,,0.9,90.0
2010-02-18,82,90.0,,0.9,73.8
2010-02-19,79,90.0,,0.9,71.10000000000001
2010-02-20,55,90.0,,0.9,49.5
2010-02-21,40,90.0,,0.9,36.0
2010-02-22,84,90.0,,0.9,75.60000000000001
2010-02-23,79,90.0,,0.9,71.10000000000001
2010-02-24,82,90.0,,0.9,73.8
2010-02-25,70,90.0,,0.9,63.0
2010-02-26,69,90.0,,0.9,62.1
2010-02-27,57,90.0,,0.9,51.300000000000004
2010-02-28,43,90.0,,0.9,38.7
2010-03-01,87,88.0,False,0.88,76.56
2010-03-02,100,88.0,,0.88,88.0
2010-03-03,88,88.0,,0.88,77.44
2010-03-04,82,88.0,,0.88,72.16
2010-03-05,76,88.0,,0.88,66.88
2010-03-06,58,88.0,,0.88,51.04
2010-03-07,47,88.0,,0.88,41.36
2010-03-08,90,88.0,,0.88,79.2
2010-03-09,99,88.0,,0.88,87.12
2010-03-10,88,88.0,,0.88,77.44
2010-03-11,89,88.0,,0.88,78.32000000000001
2010-03-12,92,88.0,,0.88,80.96
2010-03-13,58,88.0,,0.88,51.04
2010-03-14,52,88.0,,0.88,45.76
2010-03-15,90,88.0,,0.88,79.2
2010-03-16,87,88.0,,0.88,76.56
2010-03-17,79,88.0,,0.88,69.52
2010-03-18,75,88.0,,0.88,66.0
2010-03-19,77,88.0,,0.88,67.76
2010-03-20,53,88.0,,0.88,46.64
2010-03-21,51,88.0,,0.88,44.88
2010-03-22,89,88.0,,0.88,78.32000000000001
2010-03-23,82,88.0,,0.88,72.16
2010-03-24,88,88.0,,0.88,77.44
2010-03-25,86,88.0,,0.88,75.68
2010-03-26,80,88.0,,0.88,70.4
2010-03-27,58,88.0,,0.88,51.04
2010-03-28,52,88.0,,0.88,45.76
2010-03-29,85,88.0,,0.88,74.8
2010-03-30,97,88.0,,0.88,85.36
