date,rich_unscaled,rich_monthly,isPartial,scale,rich
2010-01-01,78,32.0,False,0.32,24.96
2010-01-02,75,32.0,,0.32,24.0
2010-01-03,97,32.0,,0.32,31.04
2010-01-04,96,32.0,,0.32,30.72
2010-01-05,69,32.0,,0.32,22.080000000000002
2010-01-06,81,32.0,,0.32,25.92
2010-01-07,74,32.0,,0.32,23.68
2010-01-08,86,32.0,,0.32,27.52
2010-01-09,81,32.0,,0.32,25.92
2010-01-10,71,32.0,,0.32,22.72
2010-01-11,81,32.0,,0.32,25.92
2010-01-12,77,32.0,,0.32,24.64
2010-01-13,76,32.0,,0.32,24.32
2010-01-14,86,32.0,,0.32,27.52
2010-01-15,100,32.0,,0.32,32.0
2010-01-16,82,32.0,,0.32,26.240000000000002
2010-01-17,74,32.0,,0.32,23.68
2010-01-18,88,32.0,,0.32,28.16
2010-01-19,85,32.0,,0.32,27.2
2010-01-20,78,32.0,,0.32,24.96
2010-01-21,95,32.0,,0.32,30.400000000000002
2010-01-22,80,32.0,,0.32,25.6
2010-01-23,78,32.0,,0.32,24.96
2010-01-24,75,32.0,,0.32,24.0
2010-01-25,74,32.0,,0.32,23.68
2010-01-26,73,32.0,,0.32,23.36
2010-01-27,76,32.0,,0.32,24.32
2010-01-28,76,32.0,,0.32,24.32
2010-01-29,77,32.0,,0.32,24.64
2010-01-30,86,32.0,,0.32,27.52
2010-01-31,67,32.0,,0.32,21.44
2010-02-01,89,32.0,False,0.32,28.48
2010-02-02,92,32.0,,0.32,29.44
2010-02-03,91,32.0,,0.32,29.12
2010-02-04,85,32.0,,0.32,27.2
2010-02-05,84,32.0,,0.32,26.88
2010-02-06,95,32.0,,0.32,30.400000000000002
2010-02-07,86,32.0,,0.32,27.52
2010-02-08,89,32.0,,0.32,28.48
2010-02-09,86,32.0,,0.32,27.52
2010-02-10,88,32.0,,0.32,28.16
2010-02-11,85,32.0,,0.32,27.2
2010-02-12,85,32.0,,0.32,27.2
2010-02-13,75,32.0,,0.32,24.0
2010-02-14,80,32.0,,0.32,25.6
2010-02-15,93,32.0,,0.32,29.76
2010-02-16,94,32.0,,0.32,30.080000000000002
2010-02-17,94,32.0,,0.32,30.080000000000002
2010-02-18,97,32.0,,0.32,31.04
2010-02-19,99,32.0,,0.32,31.68
2010-02-20,75,32.0,,0.32,24.0
2010-02-21,100,32.0,,0.32,32.0
2010-02-22,95,32.0,,0.32,30.400000000000002
2010-02-23,90,32.0,,0.32,28.8
2010-02-24,88,32.0,,0.32,28.16
2010-02-25,93,32.0,,0.32,29.76
2010-02-26,81,32.0,,0.32,25.92
2010-02-27,87,32.0,,0.32,27.84
2010-02-28,85,32.0,,0.32,27.2
2010-03-01,81,34.0,False,0.34,27.540000000000003
2010-03-02,77,34.0,,0.34,26.180000000000003
2010-03-03,68,34.0,,0.34,23.12
2010-03-04,78,34.0,,0.34,26.520000000000003
2010-03-05,67,34.0,,0.34,22.78
2010-03-06,66,34.0,,0.34,22.44
2010-03-07,76,34.0,,0.34,25.840000000000003
2010-03-08,65,34.0,,0.34,22.1
2010-03-09,73,34.0,,0.34,24.82
2010-03-10,88,34.0,,0.34,29.92
2010-03-11,100,34.0,,0.34,34.0
2010-03-12,93,34.0,,0.34,31.62
2010-03-13,65,34.0,,0.34,22.1
2010-03-14,75,34.0,,0.34,25.500000000000004
2010-03-15,75,34.0,,0.34,25.500000000000004
2010-03-16,88,34.0,,0.34,29.92
2010-03-17,100,34.0,,0.34,34.0
2010-03-18,87,34.0,,0.34,29.580000000000002
2010-03-19,80,34.0,,0.34,27.200000000000003
2010-03-20,68,34.0,,0.34,23.12
2010-03-21,71,34.0,,0.34,24.14
2010-03-22,81,34.0,,0.34,27.540000000000003
2010-03-23,93,34.0,,0.34,31.62
2010-03-24,83,34.0,,0.34,28.220000000000002
2010-03-25,78,34.0,,0.34,26.520000000000003
2010-03-26,58,34.0,,0.34,19.720000000000002
2010-03-27,73,34.0,,0.34,24.82
2010-03-28,96,34.0,,0.34,32.64
2010-03-29,76,34.0,,0.34,25.840000000000003
2010-03-30,76,34.0,,0.34,25.840000000000003
2010-03-31,78,34.0,,0.34,26.520000000000003
2010-04-01,81,35.0,False,0.35,28.349999999999998
2010-04-02,100,35.0,,0.35,35.0
2010-04-03,78,35.0,,0.35,27.299999999999997
2010-04-04,67,35.0,,0.35,23.45
2010-04-05,75,35.0,,0.35,26.25
2010-04-06,81,35.0,,0.35,28.349999999999998
2010-04-07,87,35.0,,0.35,30.45
2010-04-08,87,35.0,,0.35,30.45
2010-04-09,88,35.0,,0.35,30.799999999999997
2010-04-10,70,35.0,,0.35,24.5
2010-04-11,77,35.0,,0.35,26.95
2010-04-12,98,35.0,,0.35,34.3
2010-04-13,99,35.0,,0.35,34.65
2010-04-14,86,35.0,,0.35,30.099999999999998
2010-04-15,85,35.0,,0.35,29.749999999999996
2010-04-16,80,35.0,,0.35,28.0
2010-04-17,71,35.0,,0.35,24.849999999999998
2010-04-18,96,35.0,,0.35,33.599999999999994
2010-04-19,82,35.0,,0.35,28.7
2010-04-20,95,35.0,,0.35,33.25
2010-04-21,87,35.0,,0.35,30.45
2010-04-22,86,35.0,,0.35,30.099999999999998
2010-04-23,89,35.0,,0.35,31.15
2010-04-24,85,35.0,,0.35,29.749999999999996
2010-04-25,92,35.0,,0.35,32.199999999999996
2010-04-26,84,35.0,,0.35,29.4
2010-04-27,78,35.0,,0.35,27.299999999999997
2010-04-28,84,35.0,,0.35,29.4
2010-04-29,92,35.0,,0.35,32.199999999999996
2010-04-30,91,35.0,,0.35,31.849999999999998
2010-05-01,100,35.0,False,0.35,35.0
2010-05-02,85,35.0,,0.35,29.749999999999996
2010-05-03,77,35.0,,0.35,26.95
2010-05-04,87,35.0,,0.35,30.45
2010-05-05,85,35.0,,0.35,29.749999999999996
2010-05-06,76,35.0,,0.35,26.599999999999998
2010-05-07,97,35.0,,0.35,33.949999999999996
2010-05-08,78,35.0,,0.35,27.299999999999997
2010-05-09,99,35.0,,0.35,34.65
2010-05-10,81,35.0,,0.35,28.349999999999998
2010-05-11,100,35.0,,0.35,35.0
2010-05-12,93,35.0,,0.35,32.55
2010-05-13,91,35.0,,0.35,31.849999999999998
2010-05-14,70,35.0,,0.35,24.5
2010-05-15,84,35.0,,0.35,29.4
2010-05-16,84,35.0,,0.35,29.4
2010-05-17,88,35.0,,0.35,30.799999999999997
2010-05-18,81,35.0,,0.35,28.349999999999998
2010-05-19,88,35.0,,0.35,30.799999999999997
2010-05-20,94,35.0,,0.35,32.9
2010-05-21,73,35.0,,0.35,25.549999999999997
2010-05-22,75,35.0,,0.35,26.25
2010-05-23,94,35.0,,0.35,32.9
2010-05-24,88,35.0,,0.35,30.799999999999997
2010-05-25,84,35.0,,0.35,29.4
2010-05-26,84,35.0,,0.35,29.4
2010-05-27,80,35.0,,0.35,28.0
2010-05-28,94,35.0,,0.35,32.9
2010-05-29,99,35.0,,0.35,34.65
2010-05-30,78,35.0,,0.35,27.299999999999997
2010-05-31,78,35.0,,0.35,27.299999999999997
2010-06-01,36,38.0,False,0.38,13.68
2010-06-02,36,38.0,,0.38,13.68
2010-06-03,39,38.0,,0.38,14.82
2010-06-04,37,38.0,,0.38,14.06
2010-06-05,34,38.0,,0.38,12.92
2010-06-06,39,38.0,,0.38,14.82
2010-06-07,37,38.0,,0.38,14.06
2010-06-08,36,38.0,,0.38,13.68
2010-06-09,41,38.0,,0.38,15.58
2010-06-10,38,38.0,,0.38,14.44
2010-06-11,31,38.0,,0.38,11.78
2010-06-12,43,38.0,,0.38,16.34
2010-06-13,100,38.0,,0.38,38.0
2010-06-14,54,38.0,,0.38,20.52
2010-06-15,48,38.0,,0.38,18.240000000000002
2010-06-16,41,38.0,,0.38,15.58
2010-06-17,37,38.0,,0.38,14.06
2010-06-18,38,38.0,,0.38,14.44
2010-06-19,39,38.0,,0.38,14.82
2010-06-20,48,38.0,,0.38,18.240000000000002
2010-06-21,31,38.0,,0.38,11.78
2010-06-22,35,38.0,,0.38,13.3
2010-06-23,41,38.0,,0.38,15.58
2010-06-24,38,38.0,,0.38,14.44
2010-06-25,32,38.0,,0.38,12.16
2010-06-26,34,38.0,,0.38,12.92
2010-06-27,31,38.0,,0.38,11.78
2010-06-28,33,38.0,,0.38,12.540000000000001
2010-06-29,35,38.0,,0.38,13.3
2010-06-30,36,38.0,,0.38,13.68
2010-07-01,79,32.0,False,0.32,25.28
