date,risk_unscaled,risk_monthly,isPartial,scale,risk
2010-01-01,43,58.0,False,0.58,24.939999999999998
2010-01-02,46,58.0,,0.58,26.68
2010-01-03,39,58.0,,0.58,22.619999999999997
2010-01-04,67,58.0,,0.58,38.86
2010-01-05,67,58.0,,0.58,38.86
2010-01-06,70,58.0,,0.58,40.599999999999994
2010-01-07,78,58.0,,0.58,45.239999999999995
2010-01-08,74,58.0,,0.58,42.919999999999995
2010-01-09,55,58.0,,0.58,31.9
2010-01-10,47,58.0,,0.58,27.259999999999998
2010-01-11,74,58.0,,0.58,42.919999999999995
2010-01-12,77,58.0,,0.58,44.66
2010-01-13,86,58.0,,0.58,49.879999999999995
2010-01-14,84,58.0,,0.58,48.72
2010-01-15,77,58.0,,0.58,44.66
2010-01-16,34,58.0,,0.58,19.72
2010-01-17,59,58.0,,0.58,34.22
2010-01-18,64,58.0,,0.58,37.12
2010-01-19,89,58.0,,0.58,51.62
2010-01-20,91,58.0,,0.58,52.779999999999994
2010-01-21,91,58.0,,0.58,52.779999999999994
2010-01-22,80,58.0,,0.58,46.4
2010-01-23,59,58.0,,0.58,34.22
2010-01-24,68,58.0,,0.58,39.44
2010-01-25,100,58.0,,0.58,57.99999999999999
2010-01-26,81,58.0,,0.58,46.98
2010-01-27,85,58.0,,0.58,49.3
2010-01-28,75,58.0,,0.58,43.5
2010-01-29,80,58.0,,0.58,46.4
2010-01-30,62,58.0,,0.58,35.96
2010-01-31,73,58.0,,0.58,42.339999999999996
2010-02-01,83,65.0,False,0.65,53.95
2010-02-02,87,65.0,,0.65,56.550000000000004
2010-02-03,99,65.0,,0.65,64.35000000000001
2010-02-04,84,65.0,,0.65,54.6
2010-02-05,83,65.0,,0.65,53.95
2010-02-06,59,65.0,,0.65,38.35
2010-02-07,66,65.0,,0.65,42.9
2010-02-08,97,65.0,,0.65,63.050000000000004
2010-02-09,92,65.0,,0.65,59.800000000000004
2010-02-10,78,65.0,,0.65,50.7
2010-02-11,93,65.0,,0.65,60.45
2010-02-12,77,65.0,,0.65,50.050000000000004
2010-02-13,55,65.0,,0.65,35.75
2010-02-14,57,65.0,,0.65,37.050000000000004
