date,sell_unscaled,sell_monthly,isPartial,scale,sell
2010-01-01,81,51.0,False,0.51,41.31
2010-01-02,96,51.0,,0.51,48.96
2010-01-03,100,51.0,,0.51,51.0
2010-01-04,84,51.0,,0.51,42.84
2010-01-05,81,51.0,,0.51,41.31
2010-01-06,88,51.0,,0.51,44.88
2010-01-07,68,51.0,,0.51,34.68
2010-01-08,75,51.0,,0.51,38.25
2010-01-09,93,51.0,,0.51,47.43
2010-01-10,82,51.0,,0.51,41.82
2010-01-11,86,51.0,,0.51,43.86
2010-01-12,85,51.0,,0.51,43.35
2010-01-13,75,51.0,,0.51,38.25
2010-01-14,77,51.0,,0.51,39.27
2010-01-15,74,51.0,,0.51,37.74
2010-01-16,81,51.0,,0.51,41.31
2010-01-17,73,51.0,,0.51,37.230000000000004
2010-01-18,92,51.0,,0.51,46.92
2010-01-19,79,51.0,,0.51,40.29
2010-01-20,77,51.0,,0.51,39.27
2010-01-21,78,51.0,,0.51,39.78
2010-01-22,73,51.0,,0.51,37.230000000000004
2010-01-23,91,51.0,,0.51,46.410000000000004
2010-01-24,86,51.0,,0.51,43.86
2010-01-25,82,51.0,,0.51,41.82
2010-01-26,73,51.0,,0.51,37.230000000000004
2010-01-27,76,51.0,,0.51,38.76
2010-01-28,80,51.0,,0.51,40.8
2010-01-29,72,51.0,,0.51,36.72
2010-01-30,79,51.0,,0.51,40.29
2010-01-31,86,51.0,,0.51,43.86
2010-02-01,84,49.0,False,0.49,41.16
2010-02-02,81,49.0,,0.49,39.69
2010-02-03,76,49.0,,0.49,37.24
2010-02-04,83,49.0,,0.49,40.67
2010-02-05,78,49.0,,0.49,38.22
2010-02-06,86,49.0,,0.49,42.14
2010-02-07,84,49.0,,0.49,41.16
2010-02-08,78,49.0,,0.49,38.22
2010-02-09,77,49.0,,0.49,37.73
2010-02-10,78,49.0,,0.49,38.22
2010-02-11,79,49.0,,0.49,38.71
2010-02-12,72,49.0,,0.49,35.28
2010-02-13,82,49.0,,0.49,40.18
2010-02-14,86,49.0,,0.49,42.14
2010-02-15,79,49.0,,0.49,38.71
2010-02-16,78,49.0,,0.49,38.22
2010-02-17,76,49.0,,0.49,37.24
2010-02-18,81,49.0,,0.49,39.69
2010-02-19,79,49.0,,0.49,38.71
2010-02-20,89,49.0,,0.49,43.61
2010-02-21,93,49.0,,0.49,45.57
2010-02-22,76,49.0,,0.49,37.24
2010-02-23,79,49.0,,0.49,38.71
