date,short sell_unscaled,short sell_monthly,isPartial,scale,short sell
2010-01-01,32,56.0,False,0.56,17.92
2010-01-02,27,56.0,,0.56,15.120000000000001
2010-01-03,0,56.0,,0.56,0.0
2010-01-04,18,56.0,,0.56,10.080000000000002
2010-01-05,53,56.0,,0.56,29.680000000000003
2010-01-06,27,56.0,,0.56,15.120000000000001
2010-01-07,35,56.0,,0.56,19.6
2010-01-08,55,56.0,,0.56,30.800000000000004
2010-01-09,50,56.0,,0.56,28.000000000000004
2010-01-10,51,56.0,,0.56,28.560000000000002
2010-01-11,26,56.0,,0.56,14.560000000000002
2010-01-12,34,56.0,,0.56,19.040000000000003
2010-01-13,17,56.0,,0.56,9.520000000000001
2010-01-14,17,56.0,,0.56,9.520000000000001
2010-01-15,27,56.0,,0.56,15.120000000000001
2010-01-16,100,56.0,,0.56,56.00000000000001
2010-01-17,25,56.0,,0.56,14.000000000000002
2010-01-18,38,56.0,,0.56,21.28
2010-01-19,17,56.0,,0.56,9.520000000000001
2010-01-20,42,56.0,,0.56,23.520000000000003
2010-01-21,17,56.0,,0.56,9.520000000000001
2010-01-22,35,56.0,,0.56,19.6
2010-01-23,0,56.0,,0.56,0.0
2010-01-24,99,56.0,,0.56,55.440000000000005
2010-01-25,17,56.0,,0.56,9.520000000000001
2010-01-26,17,56.0,,0.56,9.520000000000001
2010-01-27,41,56.0,,0.56,22.96
2010-01-28,25,56.0,,0.56,14.000000000000002
2010-01-29,44,56.0,,0.56,24.64
2010-01-30,0,56.0,,0.56,0.0
2010-01-31,48,56.0,,0.56,26.880000000000003
2010-02-01,65,67.0,False,0.67,43.550000000000004
2010-02-02,100,67.0,,0.67,67.0
2010-02-03,38,67.0,,0.67,25.46
2010-02-04,64,67.0,,0.67,42.88
2010-02-05,82,67.0,,0.67,54.940000000000005
2010-02-06,74,67.0,,0.67,49.580000000000005
2010-02-07,94,67.0,,0.67,62.980000000000004
2010-02-08,80,67.0,,0.67,53.6
2010-02-09,25,67.0,,0.67,16.75
2010-02-10,64,67.0,,0.67,42.88
2010-02-11,79,67.0,,0.67,52.93
2010-02-12,42,67.0,,0.67,28.14
2010-02-13,77,67.0,,0.67,51.59
2010-02-14,40,67.0,,0.67,26.8
2010-02-15,59,67.0,,0.67,39.53
2010-02-16,52,67.0,,0.67,34.84
2010-02-17,52,67.0,,0.67,34.84
2010-02-18,65,67.0,,0.67,43.550000000000004
2010-02-19,27,67.0,,0.67,18.09
2010-02-20,38,67.0,,0.67,25.46
2010-02-21,57,67.0,,0.67,38.190000000000005
2010-02-22,26,67.0,,0.67,17.42
2010-02-23,50,67.0,,0.67,33.5
2010-02-24,25,67.0,,0.67,16.75
2010-02-25,38,67.0,,0.67,25.46
2010-02-26,27,67.0,,0.67,18.09
2010-02-27,36,67.0,,0.67,24.12
2010-02-28,38,67.0,,0.67,25.46
2010-03-01,17,84.0,False,0.84,14.28
2010-03-02,16,84.0,,0.84,13.44
2010-03-03,16,84.0,,0.84,13.44
2010-03-04,17,84.0,,0.84,14.28
2010-03-05,18,84.0,,0.84,15.12
2010-03-06,25,84.0,,0.84,21.0
2010-03-07,25,84.0,,0.84,21.0
2010-03-08,34,84.0,,0.84,28.56
2010-03-09,82,84.0,,0.84,68.88
2010-03-10,33,84.0,,0.84,27.72
2010-03-11,33,84.0,,0.84,27.72
2010-03-12,35,84.0,,0.84,29.4
2010-03-13,24,84.0,,0.84,20.16
2010-03-14,0,84.0,,0.84,0.0
2010-03-15,50,84.0,,0.84,42.0
2010-03-16,68,84.0,,0.84,57.12
2010-03-17,17,84.0,,0.84,14.28
2010-03-18,36,84.0,,0.84,30.24
2010-03-19,18,84.0,,0.84,15.12
2010-03-20,0,84.0,,0.84,0.0
2010-03-21,74,84.0,,0.84,62.16
2010-03-22,16,84.0,,0.84,13.44
2010-03-23,16,84.0,,0.84,13.44
2010-03-24,0,84.0,,0.84,0.0
2010-03-25,34,84.0,,0.84,28.56
2010-03-26,53,84.0,,0.84,44.519999999999996
2010-03-27,0,84.0,,0.84,0.0
2010-03-28,25,84.0,,0.84,21.0
2010-03-29,33,84.0,,0.84,27.72
2010-03-30,100,84.0,,0.84,84.0
2010-03-31,34,84.0,,0.84,28.56
2010-04-01,68,100.0,False,1.0,68.0
2010-04-02,39,100.0,,1.0,39.0
2010-04-03,100,100.0,,1.0,100.0
2010-04-04,53,100.0,,1.0,53.0
2010-04-05,49,100.0,,1.0,49.0
2010-04-06,55,100.0,,1.0,55.0
2010-04-07,48,100.0,,1.0,48.0
2010-04-08,56,100.0,,1.0,56.0
2010-04-09,59,100.0,,1.0,59.0
2010-04-10,24,100.0,,1.0,24.0
2010-04-11,0,100.0,,1.0,0.0
2010-04-12,39,100.0,,1.0,39.0
2010-04-13,54,100.0,,1.0,54.0
2010-04-14,46,100.0,,1.0,46.0
2010-04-15,39,100.0,,1.0,39.0
2010-04-16,25,100.0,,1.0,25.0
2010-04-17,0,100.0,,1.0,0.0
2010-04-18,23,100.0,,1.0,23.0
2010-04-19,16,100.0,,1.0,16.0
2010-04-20,38,100.0,,1.0,38.0
2010-04-21,38,100.0,,1.0,38.0
2010-04-22,31,100.0,,1.0,31.0
2010-04-23,25,100.0,,1.0,25.0
2010-04-24,46,100.0,,1.0,46.0
2010-04-25,68,100.0,,1.0,68.0
2010-04-26,60,100.0,,1.0,60.0
2010-04-27,53,100.0,,1.0,53.0
2010-04-28,39,100.0,,1.0,39.0
2010-04-29,32,100.0,,1.0,32.0
2010-04-30,26,100.0,,1.0,26.0
2010-05-01,22,72.0,False,0.72,15.84
2010-05-02,22,72.0,,0.72,15.84
2010-05-03,28,72.0,,0.72,20.16
2010-05-04,28,72.0,,0.72,20.16
2010-05-05,36,72.0,,0.72,25.919999999999998
2010-05-06,29,72.0,,0.72,20.88
2010-05-07,23,72.0,,0.72,16.56
2010-05-08,45,72.0,,0.72,32.4
2010-05-09,23,72.0,,0.72,16.56
2010-05-10,14,72.0,,0.72,10.08
2010-05-11,0,72.0,,0.72,0.0
2010-05-12,43,72.0,,0.72,30.959999999999997
2010-05-13,37,72.0,,0.72,26.64
2010-05-14,63,72.0,,0.72,45.36
2010-05-15,34,72.0,,0.72,24.48
2010-05-16,23,72.0,,0.72,16.56
2010-05-17,43,72.0,,0.72,30.959999999999997
2010-05-18,28,72.0,,0.72,20.16
2010-05-19,15,72.0,,0.72,10.799999999999999
2010-05-20,15,72.0,,0.72,10.799999999999999
2010-05-21,64,72.0,,0.72,46.08
2010-05-22,23,72.0,,0.72,16.56
2010-05-23,46,72.0,,0.72,33.12
2010-05-24,15,72.0,,0.72,10.799999999999999
2010-05-25,44,72.0,,0.72,31.68
2010-05-26,22,72.0,,0.72,15.84
2010-05-27,60,72.0,,0.72,43.199999999999996
2010-05-28,17,72.0,,0.72,12.24
2010-05-29,0,72.0,,0.72,0.0
2010-05-30,100,72.0,,0.72,72.0
2010-05-31,0,72.0,,0.72,0.0
2010-06-01,48,76.0,False,0.76,36.480000000000004
2010-06-02,48,76.0,,0.76,36.480000000000004
2010-06-03,73,76.0,,0.76,55.480000000000004
2010-06-04,0,76.0,,0.76,0.0
2010-06-05,36,76.0,,0.76,27.36
2010-06-06,55,76.0,,0.76,41.8
2010-06-07,36,76.0,,0.76,27.36
2010-06-08,24,76.0,,0.76,18.240000000000002
2010-06-09,24,76.0,,0.76,18.240000000000002
2010-06-10,100,76.0,,0.76,76.0
2010-06-11,40,76.0,,0.76,30.4
2010-06-12,0,76.0,,0.76,0.0
2010-06-13,37,76.0,,0.76,28.12
2010-06-14,98,76.0,,0.76,74.48
2010-06-15,24,76.0,,0.76,18.240000000000002
2010-06-16,73,76.0,,0.76,55.480000000000004
2010-06-17,63,76.0,,0.76,47.88
2010-06-18,55,76.0,,0.76,41.8
2010-06-19,39,76.0,,0.76,29.64
2010-06-20,0,76.0,,0.76,0.0
2010-06-21,25,76.0,,0.76,19.0
2010-06-22,24,76.0,,0.76,18.240000000000002
2010-06-23,61,76.0,,0.76,46.36
2010-06-24,37,76.0,,0.76,28.12
2010-06-25,53,76.0,,0.76,40.28
2010-06-26,0,76.0,,0.76,0.0
2010-06-27,37,76.0,,0.76,28.12
2010-06-28,24,76.0,,0.76,18.240000000000002
2010-06-29,36,76.0,,0.76,27.36
2010-06-30,24,76.0,,0.76,18.240000000000002
2010-07-01,23,62.0,False,0.62,14.26
2010-07-02,46,62.0,,0.62,28.52
2010-07-03,29,62.0,,0.62,17.98
2010-07-04,46,62.0,,0.62,28.52
2010-07-05,26,62.0,,0.62,16.12
2010-07-06,79,62.0,,0.62,48.98
2010-07-07,38,62.0,,0.62,23.56
2010-07-08,19,62.0,,0.62,11.78
2010-07-09,100,62.0,,0.62,62.0
2010-07-10,53,62.0,,0.62,32.86
2010-07-11,55,62.0,,0.62,34.1
2010-07-12,38,62.0,,0.62,23.56
2010-07-13,56,62.0,,0.62,34.72
2010-07-14,19,62.0,,0.62,11.78
2010-07-15,39,62.0,,0.62,24.18
2010-07-16,20,62.0,,0.62,12.4
2010-07-17,27,62.0,,0.62,16.74
2010-07-18,27,62.0,,0.62,16.74
2010-07-19,76,62.0,,0.62,47.12
2010-07-20,38,62.0,,0.62,23.56
2010-07-21,19,62.0,,0.62,11.78
2010-07-22,19,62.0,,0.62,11.78
2010-07-23,60,62.0,,0.62,37.2
2010-07-24,40,62.0,,0.62,24.8
2010-07-25,27,62.0,,0.62,16.74
2010-07-26,57,62.0,,0.62,35.339999999999996
2010-07-27,28,62.0,,0.62,17.36
2010-07-28,19,62.0,,0.62,11.78
2010-07-29,38,62.0,,0.62,23.56
2010-07-30,20,62.0,,0.62,12.4
2010-07-31,0,62.0,,0.62,0.0
2010-08-01,0,55.0,False,0.55,0.0
2010-08-02,74,55.0,,0.55,40.7
2010-08-03,24,55.0,,0.55,13.200000000000001
2010-08-04,73,55.0,,0.55,40.150000000000006
2010-08-05,100,55.0,,0.55,55.00000000000001
2010-08-06,26,55.0,,0.55,14.3
2010-08-07,34,55.0,,0.55,18.700000000000003
2010-08-08,35,55.0,,0.55,19.25
2010-08-09,0,55.0,,0.55,0.0
2010-08-10,47,55.0,,0.55,25.85
2010-08-11,24,55.0,,0.55,13.200000000000001
2010-08-12,25,55.0,,0.55,13.750000000000002
2010-08-13,0,55.0,,0.55,0.0
2010-08-14,68,55.0,,0.55,37.400000000000006
2010-08-15,0,55.0,,0.55,0.0
2010-08-16,49,55.0,,0.55,26.950000000000003
2010-08-17,48,55.0,,0.55,26.400000000000002
2010-08-18,24,55.0,,0.55,13.200000000000001
2010-08-19,0,55.0,,0.55,0.0
2010-08-20,0,55.0,,0.55,0.0
2010-08-21,67,55.0,,0.55,36.85
2010-08-22,0,55.0,,0.55,0.0
2010-08-23,72,55.0,,0.55,39.6
2010-08-24,23,55.0,,0.55,12.65
2010-08-25,47,55.0,,0.55,25.85
2010-08-26,24,55.0,,0.55,13.200000000000001
2010-08-27,25,55.0,,0.55,13.750000000000002
2010-08-28,33,55.0,,0.55,18.150000000000002
2010-08-29,0,55.0,,0.55,0.0
2010-08-30,23,55.0,,0.55,12.65
2010-08-31,45,55.0,,0.55,24.750000000000004
2010-09-01,53,63.0,False,0.63,33.39
2010-09-02,53,63.0,,0.63,33.39
2010-09-03,23,63.0,,0.63,14.49
2010-09-04,30,63.0,,0.63,18.9
2010-09-05,31,63.0,,0.63,19.53
2010-09-06,68,63.0,,0.63,42.84
2010-09-07,42,63.0,,0.63,26.46
2010-09-08,31,63.0,,0.63,19.53
2010-09-09,0,63.0,,0.63,0.0
2010-09-10,55,63.0,,0.63,34.65
2010-09-11,0,63.0,,0.63,0.0
2010-09-12,28,63.0,,0.63,17.64
2010-09-13,51,63.0,,0.63,32.13
2010-09-14,82,63.0,,0.63,51.660000000000004
2010-09-15,21,63.0,,0.63,13.23
2010-09-16,52,63.0,,0.63,32.76
2010-09-17,100,63.0,,0.63,63.0
2010-09-18,44,63.0,,0.63,27.72
2010-09-19,57,63.0,,0.63,35.910000000000004
2010-09-20,62,63.0,,0.63,39.06
2010-09-21,21,63.0,,0.63,13.23
2010-09-22,81,63.0,,0.63,51.03
2010-09-23,41,63.0,,0.63,25.830000000000002
2010-09-24,44,63.0,,0.63,27.72
2010-09-25,43,63.0,,0.63,27.09
2010-09-26,28,63.0,,0.63,17.64
2010-09-27,50,63.0,,0.63,31.5
2010-09-28,20,63.0,,0.63,12.6
2010-09-29,20,63.0,,0.63,12.6
2010-09-30,61,63.0,,0.63,38.43
2010-10-01,51,52.0,False,0.52,26.52
2010-10-02,91,52.0,,0.52,47.32
2010-10-03,89,52.0,,0.52,46.28
2010-10-04,64,52.0,,0.52,33.28
2010-10-05,32,52.0,,0.52,16.64
2010-10-06,65,52.0,,0.52,33.800000000000004
2010-10-07,35,52.0,,0.52,18.2
2010-10-08,52,52.0,,0.52,27.04
2010-10-09,45,52.0,,0.52,23.400000000000002
2010-10-10,0,52.0,,0.52,0.0
2010-10-11,99,52.0,,0.52,51.480000000000004
2010-10-12,0,52.0,,0.52,0.0
2010-10-13,65,52.0,,0.52,33.800000000000004
2010-10-14,63,52.0,,0.52,32.76
2010-10-15,67,52.0,,0.52,34.84
2010-10-16,67,52.0,,0.52,34.84
2010-10-17,45,52.0,,0.52,23.400000000000002
2010-10-18,95,52.0,,0.52,49.4
2010-10-19,46,52.0,,0.52,23.92
2010-10-20,62,52.0,,0.52,32.24
2010-10-21,32,52.0,,0.52,16.64
2010-10-22,100,52.0,,0.52,52.0
2010-10-23,0,52.0,,0.52,0.0
2010-10-24,0,52.0,,0.52,0.0
2010-10-25,77,52.0,,0.52,40.04
2010-10-26,46,52.0,,0.52,23.92
2010-10-27,93,52.0,,0.52,48.36
2010-10-28,95,52.0,,0.52,49.4
2010-10-29,34,52.0,,0.52,17.68
2010-10-30,89,52.0,,0.52,46.28
2010-10-31,0,52.0,,0.52,0.0
2010-11-01,33,54.0,False,0.54,17.82
2010-11-02,61,54.0,,0.54,32.940000000000005
2010-11-03,59,54.0,,0.54,31.860000000000003
2010-11-04,61,54.0,,0.54,32.940000000000005
2010-11-05,33,54.0,,0.54,17.82
2010-11-06,44,54.0,,0.54,23.76
2010-11-07,0,54.0,,0.54,0.0
2010-11-08,32,54.0,,0.54,17.28
2010-11-09,62,54.0,,0.54,33.480000000000004
2010-11-10,62,54.0,,0.54,33.480000000000004
2010-11-11,65,54.0,,0.54,35.1
2010-11-12,100,54.0,,0.54,54.0
2010-11-13,0,54.0,,0.54,0.0
2010-11-14,87,54.0,,0.54,46.980000000000004
2010-11-15,47,54.0,,0.54,25.380000000000003
2010-11-16,0,54.0,,0.54,0.0
2010-11-17,62,54.0,,0.54,33.480000000000004
2010-11-18,78,54.0,,0.54,42.120000000000005
2010-11-19,50,54.0,,0.54,27.0
2010-11-20,43,54.0,,0.54,23.220000000000002
2010-11-21,85,54.0,,0.54,45.900000000000006
2010-11-22,31,54.0,,0.54,16.740000000000002
2010-11-23,31,54.0,,0.54,16.740000000000002
2010-11-24,51,54.0,,0.54,27.540000000000003
2010-11-25,45,54.0,,0.54,24.3
2010-11-26,41,54.0,,0.54,22.14
2010-11-27,43,54.0,,0.54,23.220000000000002
2010-11-28,43,54.0,,0.54,23.220000000000002
2010-11-29,45,54.0,,0.54,24.3
2010-11-30,58,54.0,,0.54,31.32
2010-12-01,36,45.0,False,0.45,16.2
2010-12-02,27,45.0,,0.45,12.15
2010-12-03,57,45.0,,0.45,25.650000000000002
2010-12-04,49,45.0,,0.45,22.05
2010-12-05,0,45.0,,0.45,0.0
2010-12-06,36,45.0,,0.45,16.2
2010-12-07,45,45.0,,0.45,20.25
2010-12-08,64,45.0,,0.45,28.8
2010-12-09,46,45.0,,0.45,20.7
2010-12-10,0,45.0,,0.45,0.0
2010-12-11,50,45.0,,0.45,22.5
2010-12-12,49,45.0,,0.45,22.05
2010-12-13,18,45.0,,0.45,8.1
2010-12-14,71,45.0,,0.45,31.95
2010-12-15,28,45.0,,0.45,12.6
2010-12-16,28,45.0,,0.45,12.6
2010-12-17,100,45.0,,0.45,45.0
2010-12-18,26,45.0,,0.45,11.700000000000001
2010-12-19,27,45.0,,0.45,12.15
2010-12-20,20,45.0,,0.45,9.0
2010-12-21,19,45.0,,0.45,8.55
2010-12-22,62,45.0,,0.45,27.900000000000002
2010-12-23,44,45.0,,0.45,19.8
2010-12-24,0,45.0,,0.45,0.0
2010-12-25,33,45.0,,0.45,14.85
2010-12-26,56,45.0,,0.45,25.2
2010-12-27,44,45.0,,0.45,19.8
2010-12-28,32,45.0,,0.45,14.4
