date,short selling_unscaled,short selling_monthly,isPartial,scale,short selling
2010-01-01,32,56.0,False,0.56,17.92
2010-01-02,27,56.0,,0.56,15.120000000000001
2010-01-03,0,56.0,,0.56,0.0
2010-01-04,37,56.0,,0.56,20.720000000000002
2010-01-05,35,56.0,,0.56,19.6
2010-01-06,18,56.0,,0.56,10.080000000000002
2010-01-07,18,56.0,,0.56,10.080000000000002
2010-01-08,18,56.0,,0.56,10.080000000000002
2010-01-09,50,56.0,,0.56,28.000000000000004
2010-01-10,39,56.0,,0.56,21.840000000000003
2010-01-11,70,56.0,,0.56,39.2
2010-01-12,34,56.0,,0.56,19.040000000000003
2010-01-13,17,56.0,,0.56,9.520000000000001
2010-01-14,52,56.0,,0.56,29.120000000000005
2010-01-15,27,56.0,,0.56,15.120000000000001
2010-01-16,26,56.0,,0.56,14.560000000000002
2010-01-17,25,56.0,,0.56,14.000000000000002
2010-01-18,0,56.0,,0.56,0.0
2010-01-19,17,56.0,,0.56,9.520000000000001
2010-01-20,34,56.0,,0.56,19.040000000000003
2010-01-21,42,56.0,,0.56,23.520000000000003
2010-01-22,18,56.0,,0.56,10.080000000000002
2010-01-23,49,56.0,,0.56,27.44
2010-01-24,100,56.0,,0.56,56.00000000000001
2010-01-25,25,56.0,,0.56,14.000000000000002
2010-01-26,58,56.0,,0.56,32.480000000000004
2010-01-27,49,56.0,,0.56,27.44
2010-01-28,42,56.0,,0.56,23.520000000000003
2010-01-29,44,56.0,,0.56,24.64
2010-01-30,47,56.0,,0.56,26.320000000000004
2010-01-31,24,56.0,,0.56,13.440000000000001
2010-02-01,35,56.0,False,0.56,19.6
2010-02-02,23,56.0,,0.56,12.88
2010-02-03,57,56.0,,0.56,31.92
2010-02-04,69,56.0,,0.56,38.64
2010-02-05,24,56.0,,0.56,13.440000000000001
2010-02-06,82,56.0,,0.56,45.92
2010-02-07,34,56.0,,0.56,19.040000000000003
2010-02-08,60,56.0,,0.56,33.6
2010-02-09,68,56.0,,0.56,38.080000000000005
2010-02-10,58,56.0,,0.56,32.480000000000004
2010-02-11,24,56.0,,0.56,13.440000000000001
2010-02-12,100,56.0,,0.56,56.00000000000001
2010-02-13,34,56.0,,0.56,19.040000000000003
2010-02-14,36,56.0,,0.56,20.160000000000004
2010-02-15,53,56.0,,0.56,29.680000000000003
2010-02-16,58,56.0,,0.56,32.480000000000004
2010-02-17,0,56.0,,0.56,0.0
2010-02-18,59,56.0,,0.56,33.040000000000006
2010-02-19,50,56.0,,0.56,28.000000000000004
2010-02-20,34,56.0,,0.56,19.040000000000003
2010-02-21,34,56.0,,0.56,19.040000000000003
2010-02-22,35,56.0,,0.56,19.6
2010-02-23,45,56.0,,0.56,25.200000000000003
2010-02-24,57,56.0,,0.56,31.92
2010-02-25,23,56.0,,0.56,12.88
2010-02-26,60,56.0,,0.56,33.6
2010-02-27,66,56.0,,0.56,36.96
2010-02-28,34,56.0,,0.56,19.040000000000003
2010-03-01,27,55.0,False,0.55,14.850000000000001
2010-03-02,13,55.0,,0.55,7.15
2010-03-03,40,55.0,,0.55,22.0
2010-03-04,0,55.0,,0.55,0.0
2010-03-05,29,55.0,,0.55,15.950000000000001
2010-03-06,0,55.0,,0.55,0.0
2010-03-07,0,55.0,,0.55,0.0
2010-03-08,42,55.0,,0.55,23.1
2010-03-09,27,55.0,,0.55,14.850000000000001
2010-03-10,14,55.0,,0.55,7.700000000000001
2010-03-11,68,55.0,,0.55,37.400000000000006
2010-03-12,28,55.0,,0.55,15.400000000000002
2010-03-13,20,55.0,,0.55,11.0
2010-03-14,0,55.0,,0.55,0.0
2010-03-15,0,55.0,,0.55,0.0
2010-03-16,27,55.0,,0.55,14.850000000000001
2010-03-17,71,55.0,,0.55,39.050000000000004
2010-03-18,100,55.0,,0.55,55.00000000000001
2010-03-19,15,55.0,,0.55,8.25
2010-03-20,0,55.0,,0.55,0.0
2010-03-21,0,55.0,,0.55,0.0
2010-03-22,13,55.0,,0.55,7.15
2010-03-23,27,55.0,,0.55,14.850000000000001
2010-03-24,27,55.0,,0.55,14.850000000000001
2010-03-25,14,55.0,,0.55,7.700000000000001
2010-03-26,15,55.0,,0.55,8.25
2010-03-27,21,55.0,,0.55,11.55
2010-03-28,40,55.0,,0.55,22.0
2010-03-29,67,55.0,,0.55,36.85
2010-03-30,27,55.0,,0.55,14.850000000000001
2010-03-31,0,55.0,,0.55,0.0
2010-04-01,32,65.0,False,0.65,20.8
2010-04-02,94,65.0,,0.65,61.1
2010-04-03,24,65.0,,0.65,15.600000000000001
2010-04-04,25,65.0,,0.65,16.25
2010-04-05,16,65.0,,0.65,10.4
2010-04-06,45,65.0,,0.65,29.25
2010-04-07,45,65.0,,0.65,29.25
2010-04-08,15,65.0,,0.65,9.75
2010-04-09,65,65.0,,0.65,42.25
2010-04-10,0,65.0,,0.65,0.0
2010-04-11,23,65.0,,0.65,14.950000000000001
2010-04-12,30,65.0,,0.65,19.5
2010-04-13,29,65.0,,0.65,18.85
2010-04-14,0,65.0,,0.65,0.0
2010-04-15,61,65.0,,0.65,39.65
2010-04-16,48,65.0,,0.65,31.200000000000003
2010-04-17,45,65.0,,0.65,29.25
2010-04-18,45,65.0,,0.65,29.25
2010-04-19,59,65.0,,0.65,38.35
2010-04-20,58,65.0,,0.65,37.7
2010-04-21,15,65.0,,0.65,9.75
2010-04-22,60,65.0,,0.65,39.0
2010-04-23,32,65.0,,0.65,20.8
2010-04-24,44,65.0,,0.65,28.6
2010-04-25,0,65.0,,0.65,0.0
2010-04-26,43,65.0,,0.65,27.95
2010-04-27,100,65.0,,0.65,65.0
2010-04-28,60,65.0,,0.65,39.0
2010-04-29,31,65.0,,0.65,20.150000000000002
2010-04-30,33,65.0,,0.65,21.45
2010-05-01,0,100.0,False,1.0,0.0
2010-05-02,7,100.0,,1.0,7.0
2010-05-03,10,100.0,,1.0,10.0
2010-05-04,10,100.0,,1.0,10.0
2010-05-05,14,100.0,,1.0,14.0
2010-05-06,10,100.0,,1.0,10.0
2010-05-07,5,100.0,,1.0,5.0
2010-05-08,0,100.0,,1.0,0.0
2010-05-09,16,100.0,,1.0,16.0
2010-05-10,5,100.0,,1.0,5.0
2010-05-11,0,100.0,,1.0,0.0
2010-05-12,5,100.0,,1.0,5.0
2010-05-13,5,100.0,,1.0,5.0
2010-05-14,16,100.0,,1.0,16.0
2010-05-15,8,100.0,,1.0,8.0
2010-05-16,8,100.0,,1.0,8.0
2010-05-17,5,100.0,,1.0,5.0
2010-05-18,100,100.0,,1.0,100.0
2010-05-19,78,100.0,,1.0,78.0
2010-05-20,30,100.0,,1.0,30.0
2010-05-21,16,100.0,,1.0,16.0
2010-05-22,39,100.0,,1.0,39.0
2010-05-23,16,100.0,,1.0,16.0
2010-05-24,10,100.0,,1.0,10.0
2010-05-25,5,100.0,,1.0,5.0
2010-05-26,25,100.0,,1.0,25.0
2010-05-27,10,100.0,,1.0,10.0
2010-05-28,11,100.0,,1.0,11.0
2010-05-29,0,100.0,,1.0,0.0
2010-05-30,9,100.0,,1.0,9.0
2010-05-31,7,100.0,,1.0,7.0
2010-06-01,38,62.0,False,0.62,23.56
2010-06-02,57,62.0,,0.62,35.339999999999996
2010-06-03,19,62.0,,0.62,11.78
2010-06-04,0,62.0,,0.62,0.0
2010-06-05,29,62.0,,0.62,17.98
2010-06-06,0,62.0,,0.62,0.0
2010-06-07,58,62.0,,0.62,35.96
2010-06-08,0,62.0,,0.62,0.0
2010-06-09,39,62.0,,0.62,24.18
2010-06-10,100,62.0,,0.62,62.0
2010-06-11,65,62.0,,0.62,40.3
2010-06-12,30,62.0,,0.62,18.6
2010-06-13,60,62.0,,0.62,37.2
2010-06-14,39,62.0,,0.62,24.18
2010-06-15,19,62.0,,0.62,11.78
2010-06-16,20,62.0,,0.62,12.4
2010-06-17,20,62.0,,0.62,12.4
2010-06-18,44,62.0,,0.62,27.28
2010-06-19,0,62.0,,0.62,0.0
2010-06-20,0,62.0,,0.62,0.0
2010-06-21,20,62.0,,0.62,12.4
2010-06-22,0,62.0,,0.62,0.0
2010-06-23,79,62.0,,0.62,48.98
2010-06-24,20,62.0,,0.62,12.4
2010-06-25,64,62.0,,0.62,39.68
2010-06-26,0,62.0,,0.62,0.0
2010-06-27,0,62.0,,0.62,0.0
2010-06-28,0,62.0,,0.62,0.0
2010-06-29,58,62.0,,0.62,35.96
2010-06-30,0,62.0,,0.62,0.0
2010-07-01,28,48.0,False,0.48,13.44
2010-07-02,55,48.0,,0.48,26.4
2010-07-03,35,48.0,,0.48,16.8
2010-07-04,37,48.0,,0.48,17.759999999999998
2010-07-05,32,48.0,,0.48,15.36
2010-07-06,71,48.0,,0.48,34.08
2010-07-07,46,48.0,,0.48,22.08
2010-07-08,47,48.0,,0.48,22.56
2010-07-09,61,48.0,,0.48,29.279999999999998
2010-07-10,64,48.0,,0.48,30.72
2010-07-11,0,48.0,,0.48,0.0
2010-07-12,58,48.0,,0.48,27.84
2010-07-13,22,48.0,,0.48,10.559999999999999
2010-07-14,46,48.0,,0.48,22.08
2010-07-15,24,48.0,,0.48,11.52
2010-07-16,75,48.0,,0.48,36.0
2010-07-17,33,48.0,,0.48,15.84
2010-07-18,100,48.0,,0.48,48.0
2010-07-19,57,48.0,,0.48,27.36
2010-07-20,34,48.0,,0.48,16.32
2010-07-21,46,48.0,,0.48,22.08
2010-07-22,47,48.0,,0.48,22.56
2010-07-23,24,48.0,,0.48,11.52
2010-07-24,32,48.0,,0.48,15.36
2010-07-25,33,48.0,,0.48,15.84
2010-07-26,46,48.0,,0.48,22.08
2010-07-27,34,48.0,,0.48,16.32
2010-07-28,92,48.0,,0.48,44.16
2010-07-29,23,48.0,,0.48,11.04
2010-07-30,25,48.0,,0.48,12.0
2010-07-31,0,48.0,,0.48,0.0
2010-08-01,37,38.0,False,0.38,14.06
2010-08-02,26,38.0,,0.38,9.88
2010-08-03,26,38.0,,0.38,9.88
2010-08-04,52,38.0,,0.38,19.76
2010-08-05,26,38.0,,0.38,9.88
2010-08-06,28,38.0,,0.38,10.64
2010-08-07,0,38.0,,0.38,0.0
2010-08-08,0,38.0,,0.38,0.0
2010-08-09,76,38.0,,0.38,28.88
2010-08-10,100,38.0,,0.38,38.0
2010-08-11,51,38.0,,0.38,19.38
2010-08-12,52,38.0,,0.38,19.76
2010-08-13,55,38.0,,0.38,20.9
2010-08-14,71,38.0,,0.38,26.98
2010-08-15,0,38.0,,0.38,0.0
2010-08-16,26,38.0,,0.38,9.88
2010-08-17,76,38.0,,0.38,28.88
2010-08-18,26,38.0,,0.38,9.88
2010-08-19,0,38.0,,0.38,0.0
2010-08-20,0,38.0,,0.38,0.0
2010-08-21,0,38.0,,0.38,0.0
2010-08-22,0,38.0,,0.38,0.0
2010-08-23,51,38.0,,0.38,19.38
2010-08-24,50,38.0,,0.38,19.0
2010-08-25,25,38.0,,0.38,9.5
2010-08-26,52,38.0,,0.38,19.76
2010-08-27,0,38.0,,0.38,0.0
2010-08-28,70,38.0,,0.38,26.6
2010-08-29,70,38.0,,0.38,26.6
2010-08-30,50,38.0,,0.38,19.0
2010-08-31,0,38.0,,0.38,0.0
2010-09-01,51,34.0,False,0.34,17.34
2010-09-02,0,34.0,,0.34,0.0
2010-09-03,0,34.0,,0.34,0.0
2010-09-04,0,34.0,,0.34,0.0
2010-09-05,0,34.0,,0.34,0.0
2010-09-06,33,34.0,,0.34,11.22
2010-09-07,0,34.0,,0.34,0.0
2010-09-08,100,34.0,,0.34,34.0
2010-09-09,50,34.0,,0.34,17.0
2010-09-10,78,34.0,,0.34,26.520000000000003
2010-09-11,0,34.0,,0.34,0.0
2010-09-12,0,34.0,,0.34,0.0
2010-09-13,75,34.0,,0.34,25.500000000000004
2010-09-14,0,34.0,,0.34,0.0
2010-09-15,50,34.0,,0.34,17.0
2010-09-16,25,34.0,,0.34,8.5
2010-09-17,80,34.0,,0.34,27.200000000000003
2010-09-18,0,34.0,,0.34,0.0
2010-09-19,0,34.0,,0.34,0.0
2010-09-20,0,34.0,,0.34,0.0
2010-09-21,49,34.0,,0.34,16.66
2010-09-22,0,34.0,,0.34,0.0
2010-09-23,0,34.0,,0.34,0.0
2010-09-24,53,34.0,,0.34,18.02
2010-09-25,70,34.0,,0.34,23.8
2010-09-26,67,34.0,,0.34,22.78
2010-09-27,24,34.0,,0.34,8.16
2010-09-28,95,34.0,,0.34,32.300000000000004
2010-09-29,73,34.0,,0.34,24.82
2010-09-30,0,34.0,,0.34,0.0
2010-10-01,27,44.0,False,0.44,11.88
2010-10-02,53,44.0,,0.44,23.32
2010-10-03,35,44.0,,0.44,15.4
2010-10-04,50,44.0,,0.44,22.0
2010-10-05,100,44.0,,0.44,44.0
2010-10-06,91,44.0,,0.44,40.04
2010-10-07,28,44.0,,0.44,12.32
2010-10-08,40,44.0,,0.44,17.6
2010-10-09,72,44.0,,0.44,31.68
2010-10-10,73,44.0,,0.44,32.12
2010-10-11,0,44.0,,0.44,0.0
2010-10-12,26,44.0,,0.44,11.44
2010-10-13,90,44.0,,0.44,39.6
2010-10-14,50,44.0,,0.44,22.0
2010-10-15,67,44.0,,0.44,29.48
2010-10-16,53,44.0,,0.44,23.32
2010-10-17,0,44.0,,0.44,0.0
2010-10-18,25,44.0,,0.44,11.0
2010-10-19,49,44.0,,0.44,21.56
2010-10-20,50,44.0,,0.44,22.0
2010-10-21,100,44.0,,0.44,44.0
2010-10-22,39,44.0,,0.44,17.16
2010-10-23,52,44.0,,0.44,22.88
2010-10-24,34,44.0,,0.44,14.96
2010-10-25,61,44.0,,0.44,26.84
2010-10-26,48,44.0,,0.44,21.12
2010-10-27,48,44.0,,0.44,21.12
2010-10-28,25,44.0,,0.44,11.0
2010-10-29,53,44.0,,0.44,23.32
2010-10-30,34,44.0,,0.44,14.96
2010-10-31,0,44.0,,0.44,0.0
2010-11-01,52,42.0,False,0.42,21.84
2010-11-02,25,42.0,,0.42,10.5
2010-11-03,59,42.0,,0.42,24.779999999999998
2010-11-04,61,42.0,,0.42,25.619999999999997
2010-11-05,79,42.0,,0.42,33.18
2010-11-06,70,42.0,,0.42,29.4
2010-11-07,52,42.0,,0.42,21.84
2010-11-08,25,42.0,,0.42,10.5
2010-11-09,37,42.0,,0.42,15.54
2010-11-10,63,42.0,,0.42,26.459999999999997
2010-11-11,26,42.0,,0.42,10.92
2010-11-12,40,42.0,,0.42,16.8
2010-11-13,70,42.0,,0.42,29.4
2010-11-14,70,42.0,,0.42,29.4
2010-11-15,62,42.0,,0.42,26.04
2010-11-16,49,42.0,,0.42,20.58
2010-11-17,49,42.0,,0.42,20.58
2010-11-18,0,42.0,,0.42,0.0
2010-11-19,53,42.0,,0.42,22.259999999999998
2010-11-20,67,42.0,,0.42,28.14
2010-11-21,34,42.0,,0.42,14.28
2010-11-22,50,42.0,,0.42,21.0
2010-11-23,99,42.0,,0.42,41.58
2010-11-24,28,42.0,,0.42,11.76
2010-11-25,36,42.0,,0.42,15.12
2010-11-26,100,42.0,,0.42,42.0
2010-11-27,35,42.0,,0.42,14.7
2010-11-28,69,42.0,,0.42,28.98
2010-11-29,72,42.0,,0.42,30.24
2010-11-30,47,42.0,,0.42,19.74
2010-12-01,100,35.0,False,0.35,35.0
2010-12-02,73,35.0,,0.35,25.549999999999997
2010-12-03,61,35.0,,0.35,21.349999999999998
2010-12-04,39,35.0,,0.35,13.649999999999999
2010-12-05,79,35.0,,0.35,27.65
2010-12-06,43,35.0,,0.35,15.049999999999999
2010-12-07,57,35.0,,0.35,19.95
2010-12-08,58,35.0,,0.35,20.299999999999997
2010-12-09,30,35.0,,0.35,10.5
2010-12-10,31,35.0,,0.35,10.85
2010-12-11,80,35.0,,0.35,28.0
2010-12-12,40,35.0,,0.35,14.0
2010-12-13,58,35.0,,0.35,20.299999999999997
2010-12-14,72,35.0,,0.35,25.2
2010-12-15,59,35.0,,0.35,20.65
2010-12-16,30,35.0,,0.35,10.5
2010-12-17,32,35.0,,0.35,11.2
2010-12-18,61,35.0,,0.35,21.349999999999998
2010-12-19,43,35.0,,0.35,15.049999999999999
2010-12-20,63,35.0,,0.35,22.049999999999997
2010-12-21,47,35.0,,0.35,16.45
2010-12-22,49,35.0,,0.35,17.15
2010-12-23,36,35.0,,0.35,12.6
2010-12-24,66,35.0,,0.35,23.099999999999998
2010-12-25,0,35.0,,0.35,0.0
2010-12-26,46,35.0,,0.35,16.099999999999998
2010-12-27,35,35.0,,0.35,12.25
2010-12-28,100,35.0,,0.35,35.0
2010-12-29,66,35.0,,0.35,23.099999999999998
