date,society_unscaled,society_monthly,isPartial,scale,society
2010-01-01,59,93.0,False,0.93,54.870000000000005
2010-01-02,79,93.0,,0.93,73.47
2010-01-03,75,93.0,,0.93,69.75
2010-01-04,93,93.0,,0.93,86.49000000000001
2010-01-05,90,93.0,,0.93,83.7
2010-01-06,96,93.0,,0.93,89.28
2010-01-07,79,93.0,,0.93,73.47
2010-01-08,89,93.0,,0.93,82.77000000000001
2010-01-09,81,93.0,,0.93,75.33
2010-01-10,76,93.0,,0.93,70.68
2010-01-11,100,93.0,,0.93,93.0
2010-01-12,88,93.0,,0.93,81.84
2010-01-13,95,93.0,,0.93,88.35000000000001
2010-01-14,89,93.0,,0.93,82.77000000000001
2010-01-15,84,93.0,,0.93,78.12
2010-01-16,69,93.0,,0.93,64.17
2010-01-17,66,93.0,,0.93,61.38
2010-01-18,77,93.0,,0.93,71.61
2010-01-19,78,93.0,,0.93,72.54
2010-01-20,81,93.0,,0.93,75.33
2010-01-21,83,93.0,,0.93,77.19
2010-01-22,86,93.0,,0.93,79.98
2010-01-23,73,93.0,,0.93,67.89
2010-01-24,79,93.0,,0.93,73.47
2010-01-25,95,93.0,,0.93,88.35000000000001
2010-01-26,87,93.0,,0.93,80.91000000000001
2010-01-27,82,93.0,,0.93,76.26
2010-01-28,89,93.0,,0.93,82.77000000000001
2010-01-29,91,93.0,,0.93,84.63000000000001
2010-01-30,77,93.0,,0.93,71.61
2010-01-31,78,93.0,,0.93,72.54
2010-02-01,85,96.0,False,0.96,81.6
2010-02-02,93,96.0,,0.96,89.28
2010-02-03,89,96.0,,0.96,85.44
2010-02-04,83,96.0,,0.96,79.67999999999999
2010-02-05,81,96.0,,0.96,77.75999999999999
2010-02-06,83,96.0,,0.96,79.67999999999999
2010-02-07,72,96.0,,0.96,69.12
2010-02-08,80,96.0,,0.96,76.8
2010-02-09,94,96.0,,0.96,90.24
2010-02-10,85,96.0,,0.96,81.6
2010-02-11,82,96.0,,0.96,78.72
2010-02-12,79,96.0,,0.96,75.84
2010-02-13,74,96.0,,0.96,71.03999999999999
2010-02-14,77,96.0,,0.96,73.92
2010-02-15,80,96.0,,0.96,76.8
2010-02-16,89,96.0,,0.96,85.44
2010-02-17,96,96.0,,0.96,92.16
2010-02-18,85,96.0,,0.96,81.6
2010-02-19,89,96.0,,0.96,85.44
2010-02-20,83,96.0,,0.96,79.67999999999999
2010-02-21,79,96.0,,0.96,75.84
2010-02-22,100,96.0,,0.96,96.0
2010-02-23,87,96.0,,0.96,83.52
2010-02-24,84,96.0,,0.96,80.64
2010-02-25,86,96.0,,0.96,82.56
2010-02-26,82,96.0,,0.96,78.72
2010-02-27,66,96.0,,0.96,63.36
2010-02-28,77,96.0,,0.96,73.92
2010-03-01,91,100.0,False,1.0,91.0
2010-03-02,96,100.0,,1.0,96.0
2010-03-03,89,100.0,,1.0,89.0
2010-03-04,88,100.0,,1.0,88.0
2010-03-05,83,100.0,,1.0,83.0
2010-03-06,78,100.0,,1.0,78.0
2010-03-07,77,100.0,,1.0,77.0
2010-03-08,100,100.0,,1.0,100.0
2010-03-09,90,100.0,,1.0,90.0
2010-03-10,94,100.0,,1.0,94.0
2010-03-11,95,100.0,,1.0,95.0
2010-03-12,84,100.0,,1.0,84.0
2010-03-13,78,100.0,,1.0,78.0
2010-03-14,80,100.0,,1.0,80.0
2010-03-15,87,100.0,,1.0,87.0
2010-03-16,93,100.0,,1.0,93.0
2010-03-17,94,100.0,,1.0,94.0
2010-03-18,87,100.0,,1.0,87.0
2010-03-19,92,100.0,,1.0,92.0
2010-03-20,83,100.0,,1.0,83.0
2010-03-21,74,100.0,,1.0,74.0
2010-03-22,97,100.0,,1.0,97.0
2010-03-23,89,100.0,,1.0,89.0
2010-03-24,90,100.0,,1.0,90.0
2010-03-25,94,100.0,,1.0,94.0
2010-03-26,94,100.0,,1.0,94.0
2010-03-27,84,100.0,,1.0,84.0
2010-03-28,77,100.0,,1.0,77.0
2010-03-29,94,100.0,,1.0,94.0
2010-03-30,88,100.0,,1.0,88.0
2010-03-31,90,100.0,,1.0,90.0
2010-04-01,92,100.0,False,1.0,92.0
2010-04-02,79,100.0,,1.0,79.0
2010-04-03,76,100.0,,1.0,76.0
2010-04-04,69,100.0,,1.0,69.0
2010-04-05,87,100.0,,1.0,87.0
2010-04-06,89,100.0,,1.0,89.0
2010-04-07,92,100.0,,1.0,92.0
2010-04-08,85,100.0,,1.0,85.0
2010-04-09,82,100.0,,1.0,82.0
2010-04-10,79,100.0,,1.0,79.0
2010-04-11,89,100.0,,1.0,89.0
2010-04-12,92,100.0,,1.0,92.0
2010-04-13,96,100.0,,1.0,96.0
2010-04-14,90,100.0,,1.0,90.0
2010-04-15,92,100.0,,1.0,92.0
2010-04-16,79,100.0,,1.0,79.0
2010-04-17,80,100.0,,1.0,80.0
2010-04-18,78,100.0,,1.0,78.0
2010-04-19,90,100.0,,1.0,90.0
2010-04-20,93,100.0,,1.0,93.0
2010-04-21,100,100.0,,1.0,100.0
2010-04-22,87,100.0,,1.0,87.0
2010-04-23,81,100.0,,1.0,81.0
2010-04-24,64,100.0,,1.0,64.0
2010-04-25,71,100.0,,1.0,71.0
2010-04-26,96,100.0,,1.0,96.0
2010-04-27,98,100.0,,1.0,98.0
2010-04-28,94,100.0,,1.0,94.0
2010-04-29,95,100.0,,1.0,95.0
