date,stock market_unscaled,stock market_monthly,isPartial,scale,stock market
2010-01-01,59,9.0,False,0.09,5.31
2010-01-02,27,9.0,,0.09,2.4299999999999997
2010-01-03,31,9.0,,0.09,2.79
2010-01-04,72,9.0,,0.09,6.4799999999999995
2010-01-05,74,9.0,,0.09,6.66
2010-01-06,78,9.0,,0.09,7.02
2010-01-07,60,9.0,,0.09,5.3999999999999995
2010-01-08,75,9.0,,0.09,6.75
2010-01-09,41,9.0,,0.09,3.69
2010-01-10,26,9.0,,0.09,2.34
2010-01-11,65,9.0,,0.09,5.85
2010-01-12,67,9.0,,0.09,6.029999999999999
2010-01-13,70,9.0,,0.09,6.3
2010-01-14,77,9.0,,0.09,6.93
2010-01-15,66,9.0,,0.09,5.9399999999999995
2010-01-16,31,9.0,,0.09,2.79
2010-01-17,41,9.0,,0.09,3.69
2010-01-18,100,9.0,,0.09,9.0
2010-01-19,57,9.0,,0.09,5.13
2010-01-20,57,9.0,,0.09,5.13
2010-01-21,68,9.0,,0.09,6.12
2010-01-22,86,9.0,,0.09,7.739999999999999
2010-01-23,55,9.0,,0.09,4.95
2010-01-24,40,9.0,,0.09,3.5999999999999996
2010-01-25,67,9.0,,0.09,6.029999999999999
2010-01-26,77,9.0,,0.09,6.93
2010-01-27,63,9.0,,0.09,5.67
2010-01-28,66,9.0,,0.09,5.9399999999999995
2010-01-29,60,9.0,,0.09,5.3999999999999995
2010-01-30,46,9.0,,0.09,4.14
2010-01-31,28,9.0,,0.09,2.52
2010-02-01,85,10.0,False,0.1,8.5
2010-02-02,81,10.0,,0.1,8.1
2010-02-03,65,10.0,,0.1,6.5
2010-02-04,85,10.0,,0.1,8.5
2010-02-05,99,10.0,,0.1,9.9
2010-02-06,52,10.0,,0.1,5.2
2010-02-07,35,10.0,,0.1,3.5
2010-02-08,83,10.0,,0.1,8.3
2010-02-09,88,10.0,,0.1,8.8
2010-02-10,62,10.0,,0.1,6.2
2010-02-11,81,10.0,,0.1,8.1
2010-02-12,88,10.0,,0.1,8.8
2010-02-13,44,10.0,,0.1,4.4
2010-02-14,33,10.0,,0.1,3.3000000000000003
2010-02-15,100,10.0,,0.1,10.0
2010-02-16,87,10.0,,0.1,8.700000000000001
2010-02-17,75,10.0,,0.1,7.5
2010-02-18,61,10.0,,0.1,6.1000000000000005
2010-02-19,84,10.0,,0.1,8.4
2010-02-20,41,10.0,,0.1,4.1000000000000005
2010-02-21,64,10.0,,0.1,6.4
2010-02-22,88,10.0,,0.1,8.8
2010-02-23,77,10.0,,0.1,7.7
2010-02-24,61,10.0,,0.1,6.1000000000000005
2010-02-25,79,10.0,,0.1,7.9
2010-02-26,51,10.0,,0.1,5.1000000000000005
2010-02-27,44,10.0,,0.1,4.4
2010-02-28,32,10.0,,0.1,3.2
2010-03-01,88,10.0,False,0.1,8.8
2010-03-02,78,10.0,,0.1,7.800000000000001
2010-03-03,99,10.0,,0.1,9.9
2010-03-04,83,10.0,,0.1,8.3
2010-03-05,95,10.0,,0.1,9.5
2010-03-06,41,10.0,,0.1,4.1000000000000005
2010-03-07,48,10.0,,0.1,4.800000000000001
2010-03-08,85,10.0,,0.1,8.5
2010-03-09,87,10.0,,0.1,8.700000000000001
2010-03-10,95,10.0,,0.1,9.5
2010-03-11,82,10.0,,0.1,8.200000000000001
2010-03-12,80,10.0,,0.1,8.0
2010-03-13,40,10.0,,0.1,4.0
2010-03-14,52,10.0,,0.1,5.2
2010-03-15,94,10.0,,0.1,9.4
2010-03-16,91,10.0,,0.1,9.1
2010-03-17,90,10.0,,0.1,9.0
2010-03-18,83,10.0,,0.1,8.3
2010-03-19,79,10.0,,0.1,7.9
2010-03-20,39,10.0,,0.1,3.9000000000000004
2010-03-21,50,10.0,,0.1,5.0
2010-03-22,100,10.0,,0.1,10.0
2010-03-23,93,10.0,,0.1,9.3
2010-03-24,96,10.0,,0.1,9.600000000000001
2010-03-25,93,10.0,,0.1,9.3
2010-03-26,76,10.0,,0.1,7.6000000000000005
2010-03-27,30,10.0,,0.1,3.0
2010-03-28,40,10.0,,0.1,4.0
2010-03-29,80,10.0,,0.1,8.0
2010-03-30,91,10.0,,0.1,9.1
2010-03-31,84,10.0,,0.1,8.4
2010-04-01,62,10.0,False,0.1,6.2
2010-04-02,100,10.0,,0.1,10.0
2010-04-03,28,10.0,,0.1,2.8000000000000003
2010-04-04,30,10.0,,0.1,3.0
2010-04-05,51,10.0,,0.1,5.1000000000000005
2010-04-06,68,10.0,,0.1,6.800000000000001
2010-04-07,55,10.0,,0.1,5.5
2010-04-08,39,10.0,,0.1,3.9000000000000004
2010-04-09,49,10.0,,0.1,4.9
2010-04-10,26,10.0,,0.1,2.6
2010-04-11,27,10.0,,0.1,2.7
2010-04-12,61,10.0,,0.1,6.1000000000000005
2010-04-13,64,10.0,,0.1,6.4
2010-04-14,53,10.0,,0.1,5.300000000000001
2010-04-15,47,10.0,,0.1,4.7
2010-04-16,67,10.0,,0.1,6.7
2010-04-17,33,10.0,,0.1,3.3000000000000003
2010-04-18,33,10.0,,0.1,3.3000000000000003
2010-04-19,63,10.0,,0.1,6.300000000000001
2010-04-20,59,10.0,,0.1,5.9
2010-04-21,55,10.0,,0.1,5.5
2010-04-22,55,10.0,,0.1,5.5
2010-04-23,50,10.0,,0.1,5.0
2010-04-24,27,10.0,,0.1,2.7
2010-04-25,29,10.0,,0.1,2.9000000000000004
2010-04-26,51,10.0,,0.1,5.1000000000000005
2010-04-27,62,10.0,,0.1,6.2
2010-04-28,57,10.0,,0.1,5.7
2010-04-29,69,10.0,,0.1,6.9
2010-04-30,68,10.0,,0.1,6.800000000000001
2010-05-01,12,13.0,False,0.13,1.56
2010-05-02,11,13.0,,0.13,1.4300000000000002
2010-05-03,22,13.0,,0.13,2.8600000000000003
2010-05-04,29,13.0,,0.13,3.77
2010-05-05,34,13.0,,0.13,4.42
2010-05-06,92,13.0,,0.13,11.96
2010-05-07,100,13.0,,0.13,13.0
2010-05-08,29,13.0,,0.13,3.77
2010-05-09,26,13.0,,0.13,3.38
2010-05-10,49,13.0,,0.13,6.37
2010-05-11,34,13.0,,0.13,4.42
2010-05-12,35,13.0,,0.13,4.55
2010-05-13,26,13.0,,0.13,3.38
2010-05-14,34,13.0,,0.13,4.42
2010-05-15,12,13.0,,0.13,1.56
2010-05-16,13,13.0,,0.13,1.69
2010-05-17,28,13.0,,0.13,3.64
2010-05-18,28,13.0,,0.13,3.64
2010-05-19,32,13.0,,0.13,4.16
2010-05-20,42,13.0,,0.13,5.46
2010-05-21,41,13.0,,0.13,5.33
2010-05-22,15,13.0,,0.13,1.9500000000000002
2010-05-23,14,13.0,,0.13,1.82
2010-05-24,32,13.0,,0.13,4.16
2010-05-25,44,13.0,,0.13,5.720000000000001
2010-05-26,38,13.0,,0.13,4.94
2010-05-27,34,13.0,,0.13,4.42
2010-05-28,29,13.0,,0.13,3.77
2010-05-29,13,13.0,,0.13,1.69
2010-05-30,8,13.0,,0.13,1.04
2010-05-31,15,13.0,,0.13,1.9500000000000002
2010-06-01,97,8.0,False,0.08,7.76
2010-06-02,87,8.0,,0.08,6.96
2010-06-03,86,8.0,,0.08,6.88
2010-06-04,92,8.0,,0.08,7.36
2010-06-05,45,8.0,,0.08,3.6
2010-06-06,40,8.0,,0.08,3.2
2010-06-07,84,8.0,,0.08,6.72
2010-06-08,94,8.0,,0.08,7.5200000000000005
2010-06-09,63,8.0,,0.08,5.04
2010-06-10,71,8.0,,0.08,5.68
2010-06-11,58,8.0,,0.08,4.64
2010-06-12,34,8.0,,0.08,2.72
2010-06-13,53,8.0,,0.08,4.24
2010-06-14,83,8.0,,0.08,6.640000000000001
2010-06-15,57,8.0,,0.08,4.5600000000000005
2010-06-16,70,8.0,,0.08,5.6000000000000005
2010-06-17,66,8.0,,0.08,5.28
2010-06-18,54,8.0,,0.08,4.32
2010-06-19,42,8.0,,0.08,3.36
2010-06-20,25,8.0,,0.08,2.0
2010-06-21,71,8.0,,0.08,5.68
2010-06-22,58,8.0,,0.08,4.64
2010-06-23,56,8.0,,0.08,4.48
2010-06-24,62,8.0,,0.08,4.96
2010-06-25,60,8.0,,0.08,4.8
2010-06-26,43,8.0,,0.08,3.44
2010-06-27,23,8.0,,0.08,1.84
2010-06-28,60,8.0,,0.08,4.8
2010-06-29,100,8.0,,0.08,8.0
2010-06-30,97,8.0,,0.08,7.76
2010-07-01,100,7.0,False,0.07,7.000000000000001
2010-07-02,85,7.0,,0.07,5.95
2010-07-03,30,7.0,,0.07,2.1
2010-07-04,41,7.0,,0.07,2.87
2010-07-05,90,7.0,,0.07,6.300000000000001
2010-07-06,74,7.0,,0.07,5.180000000000001
2010-07-07,69,7.0,,0.07,4.83
2010-07-08,61,7.0,,0.07,4.2700000000000005
2010-07-09,53,7.0,,0.07,3.7100000000000004
2010-07-10,28,7.0,,0.07,1.9600000000000002
2010-07-11,34,7.0,,0.07,2.3800000000000003
2010-07-12,62,7.0,,0.07,4.340000000000001
2010-07-13,67,7.0,,0.07,4.69
2010-07-14,58,7.0,,0.07,4.0600000000000005
2010-07-15,54,7.0,,0.07,3.7800000000000002
2010-07-16,55,7.0,,0.07,3.8500000000000005
2010-07-17,24,7.0,,0.07,1.6800000000000002
2010-07-18,28,7.0,,0.07,1.9600000000000002
2010-07-19,50,7.0,,0.07,3.5000000000000004
2010-07-20,60,7.0,,0.07,4.2
2010-07-21,73,7.0,,0.07,5.11
2010-07-22,57,7.0,,0.07,3.99
2010-07-23,61,7.0,,0.07,4.2700000000000005
2010-07-24,31,7.0,,0.07,2.1700000000000004
2010-07-25,46,7.0,,0.07,3.22
2010-07-26,71,7.0,,0.07,4.970000000000001
2010-07-27,66,7.0,,0.07,4.62
2010-07-28,68,7.0,,0.07,4.760000000000001
2010-07-29,38,7.0,,0.07,2.66
2010-07-30,49,7.0,,0.07,3.43
2010-07-31,20,7.0,,0.07,1.4000000000000001
2010-08-01,43,7.0,False,0.07,3.0100000000000002
2010-08-02,61,7.0,,0.07,4.2700000000000005
2010-08-03,86,7.0,,0.07,6.0200000000000005
2010-08-04,63,7.0,,0.07,4.41
2010-08-05,64,7.0,,0.07,4.48
2010-08-06,64,7.0,,0.07,4.48
2010-08-07,34,7.0,,0.07,2.3800000000000003
2010-08-08,34,7.0,,0.07,2.3800000000000003
2010-08-09,67,7.0,,0.07,4.69
2010-08-10,71,7.0,,0.07,4.970000000000001
2010-08-11,85,7.0,,0.07,5.95
2010-08-12,78,7.0,,0.07,5.460000000000001
2010-08-13,72,7.0,,0.07,5.040000000000001
