date,stocks_unscaled,stocks_monthly,isPartial,scale,stocks
2010-01-01,57,27.0,False,0.27,15.39
2010-01-02,55,27.0,,0.27,14.850000000000001
2010-01-03,63,27.0,,0.27,17.01
2010-01-04,77,27.0,,0.27,20.790000000000003
2010-01-05,85,27.0,,0.27,22.950000000000003
2010-01-06,100,27.0,,0.27,27.0
2010-01-07,85,27.0,,0.27,22.950000000000003
2010-01-08,78,27.0,,0.27,21.060000000000002
2010-01-09,60,27.0,,0.27,16.200000000000003
2010-01-10,57,27.0,,0.27,15.39
2010-01-11,84,27.0,,0.27,22.68
2010-01-12,79,27.0,,0.27,21.330000000000002
2010-01-13,76,27.0,,0.27,20.520000000000003
2010-01-14,87,27.0,,0.27,23.490000000000002
2010-01-15,87,27.0,,0.27,23.490000000000002
2010-01-16,56,27.0,,0.27,15.120000000000001
2010-01-17,57,27.0,,0.27,15.39
2010-01-18,49,27.0,,0.27,13.23
2010-01-19,78,27.0,,0.27,21.060000000000002
2010-01-20,83,27.0,,0.27,22.41
2010-01-21,74,27.0,,0.27,19.98
2010-01-22,79,27.0,,0.27,21.330000000000002
2010-01-23,55,27.0,,0.27,14.850000000000001
2010-01-24,42,27.0,,0.27,11.34
2010-01-25,72,27.0,,0.27,19.44
2010-01-26,74,27.0,,0.27,19.98
2010-01-27,80,27.0,,0.27,21.6
2010-01-28,88,27.0,,0.27,23.76
2010-01-29,72,27.0,,0.27,19.44
2010-01-30,46,27.0,,0.27,12.420000000000002
2010-01-31,63,27.0,,0.27,17.01
2010-02-01,76,26.0,False,0.26,19.76
2010-02-02,98,26.0,,0.26,25.48
2010-02-03,71,26.0,,0.26,18.46
2010-02-04,100,26.0,,0.26,26.0
2010-02-05,74,26.0,,0.26,19.240000000000002
2010-02-06,42,26.0,,0.26,10.92
2010-02-07,50,26.0,,0.26,13.0
2010-02-08,72,26.0,,0.26,18.72
2010-02-09,78,26.0,,0.26,20.28
2010-02-10,81,26.0,,0.26,21.060000000000002
2010-02-11,68,26.0,,0.26,17.68
2010-02-12,67,26.0,,0.26,17.42
2010-02-13,54,26.0,,0.26,14.040000000000001
2010-02-14,56,26.0,,0.26,14.56
2010-02-15,53,26.0,,0.26,13.780000000000001
2010-02-16,76,26.0,,0.26,19.76
2010-02-17,80,26.0,,0.26,20.8
2010-02-18,55,26.0,,0.26,14.3
2010-02-19,81,26.0,,0.26,21.060000000000002
2010-02-20,57,26.0,,0.26,14.82
2010-02-21,47,26.0,,0.26,12.22
2010-02-22,94,26.0,,0.26,24.44
2010-02-23,76,26.0,,0.26,19.76
2010-02-24,71,26.0,,0.26,18.46
2010-02-25,74,26.0,,0.26,19.240000000000002
2010-02-26,80,26.0,,0.26,20.8
2010-02-27,38,26.0,,0.26,9.88
2010-02-28,56,26.0,,0.26,14.56
2010-03-01,76,28.0,False,0.28,21.28
2010-03-02,66,28.0,,0.28,18.48
2010-03-03,69,28.0,,0.28,19.32
2010-03-04,66,28.0,,0.28,18.48
2010-03-05,100,28.0,,0.28,28.000000000000004
2010-03-06,63,28.0,,0.28,17.64
2010-03-07,76,28.0,,0.28,21.28
2010-03-08,87,28.0,,0.28,24.360000000000003
2010-03-09,62,28.0,,0.28,17.360000000000003
2010-03-10,78,28.0,,0.28,21.840000000000003
2010-03-11,87,28.0,,0.28,24.360000000000003
2010-03-12,82,28.0,,0.28,22.96
2010-03-13,58,28.0,,0.28,16.240000000000002
2010-03-14,70,28.0,,0.28,19.6
2010-03-15,73,28.0,,0.28,20.44
2010-03-16,96,28.0,,0.28,26.880000000000003
2010-03-17,81,28.0,,0.28,22.680000000000003
2010-03-18,72,28.0,,0.28,20.160000000000004
2010-03-19,80,28.0,,0.28,22.400000000000002
2010-03-20,38,28.0,,0.28,10.64
2010-03-21,39,28.0,,0.28,10.920000000000002
2010-03-22,72,28.0,,0.28,20.160000000000004
2010-03-23,79,28.0,,0.28,22.12
2010-03-24,88,28.0,,0.28,24.64
2010-03-25,86,28.0,,0.28,24.080000000000002
2010-03-26,67,28.0,,0.28,18.76
2010-03-27,61,28.0,,0.28,17.080000000000002
2010-03-28,55,28.0,,0.28,15.400000000000002
2010-03-29,71,28.0,,0.28,19.880000000000003
2010-03-30,70,28.0,,0.28,19.6
2010-03-31,69,28.0,,0.28,19.32
2010-04-01,74,27.0,False,0.27,19.98
2010-04-02,70,27.0,,0.27,18.900000000000002
2010-04-03,63,27.0,,0.27,17.01
2010-04-04,68,27.0,,0.27,18.36
2010-04-05,87,27.0,,0.27,23.490000000000002
2010-04-06,90,27.0,,0.27,24.3
2010-04-07,72,27.0,,0.27,19.44
2010-04-08,93,27.0,,0.27,25.110000000000003
2010-04-09,90,27.0,,0.27,24.3
2010-04-10,53,27.0,,0.27,14.31
2010-04-11,68,27.0,,0.27,18.36
2010-04-12,84,27.0,,0.27,22.68
2010-04-13,94,27.0,,0.27,25.380000000000003
2010-04-14,100,27.0,,0.27,27.0
2010-04-15,95,27.0,,0.27,25.650000000000002
2010-04-16,97,27.0,,0.27,26.19
2010-04-17,52,27.0,,0.27,14.040000000000001
2010-04-18,62,27.0,,0.27,16.740000000000002
2010-04-19,81,27.0,,0.27,21.87
2010-04-20,89,27.0,,0.27,24.03
2010-04-21,92,27.0,,0.27,24.840000000000003
2010-04-22,92,27.0,,0.27,24.840000000000003
2010-04-23,96,27.0,,0.27,25.92
2010-04-24,48,27.0,,0.27,12.96
2010-04-25,65,27.0,,0.27,17.55
2010-04-26,85,27.0,,0.27,22.950000000000003
2010-04-27,84,27.0,,0.27,22.68
2010-04-28,94,27.0,,0.27,25.380000000000003
2010-04-29,87,27.0,,0.27,23.490000000000002
2010-04-30,82,27.0,,0.27,22.14
2010-05-01,49,23.0,False,0.23,11.270000000000001
2010-05-02,55,23.0,,0.23,12.65
2010-05-03,71,23.0,,0.23,16.330000000000002
2010-05-04,56,23.0,,0.23,12.88
2010-05-05,71,23.0,,0.23,16.330000000000002
2010-05-06,81,23.0,,0.23,18.630000000000003
2010-05-07,100,23.0,,0.23,23.0
2010-05-08,43,23.0,,0.23,9.89
2010-05-09,40,23.0,,0.23,9.200000000000001
2010-05-10,73,23.0,,0.23,16.79
2010-05-11,78,23.0,,0.23,17.94
2010-05-12,73,23.0,,0.23,16.79
2010-05-13,55,23.0,,0.23,12.65
2010-05-14,62,23.0,,0.23,14.26
2010-05-15,34,23.0,,0.23,7.82
2010-05-16,41,23.0,,0.23,9.43
2010-05-17,62,23.0,,0.23,14.26
2010-05-18,63,23.0,,0.23,14.49
2010-05-19,64,23.0,,0.23,14.72
2010-05-20,64,23.0,,0.23,14.72
2010-05-21,65,23.0,,0.23,14.950000000000001
2010-05-22,36,23.0,,0.23,8.280000000000001
2010-05-23,47,23.0,,0.23,10.81
2010-05-24,46,23.0,,0.23,10.58
2010-05-25,72,23.0,,0.23,16.560000000000002
2010-05-26,57,23.0,,0.23,13.110000000000001
2010-05-27,55,23.0,,0.23,12.65
2010-05-28,55,23.0,,0.23,12.65
2010-05-29,40,23.0,,0.23,9.200000000000001
2010-05-30,45,23.0,,0.23,10.35
2010-05-31,42,23.0,,0.23,9.66
2010-06-01,67,18.0,False,0.18,12.059999999999999
2010-06-02,66,18.0,,0.18,11.879999999999999
2010-06-03,68,18.0,,0.18,12.24
2010-06-04,53,18.0,,0.18,9.54
2010-06-05,44,18.0,,0.18,7.92
2010-06-06,44,18.0,,0.18,7.92
2010-06-07,54,18.0,,0.18,9.719999999999999
2010-06-08,62,18.0,,0.18,11.16
2010-06-09,60,18.0,,0.18,10.799999999999999
2010-06-10,61,18.0,,0.18,10.98
2010-06-11,100,18.0,,0.18,18.0
2010-06-12,37,18.0,,0.18,6.66
2010-06-13,44,18.0,,0.18,7.92
2010-06-14,56,18.0,,0.18,10.08
2010-06-15,41,18.0,,0.18,7.38
2010-06-16,75,18.0,,0.18,13.5
2010-06-17,68,18.0,,0.18,12.24
2010-06-18,63,18.0,,0.18,11.34
2010-06-19,29,18.0,,0.18,5.22
2010-06-20,49,18.0,,0.18,8.82
2010-06-21,58,18.0,,0.18,10.44
2010-06-22,56,18.0,,0.18,10.08
2010-06-23,62,18.0,,0.18,11.16
2010-06-24,56,18.0,,0.18,10.08
2010-06-25,47,18.0,,0.18,8.459999999999999
2010-06-26,47,18.0,,0.18,8.459999999999999
2010-06-27,41,18.0,,0.18,7.38
2010-06-28,51,18.0,,0.18,9.18
2010-06-29,69,18.0,,0.18,12.42
2010-06-30,60,18.0,,0.18,10.799999999999999
2010-07-01,77,17.0,False,0.17,13.090000000000002
2010-07-02,69,17.0,,0.17,11.73
2010-07-03,53,17.0,,0.17,9.01
2010-07-04,58,17.0,,0.17,9.860000000000001
2010-07-05,56,17.0,,0.17,9.520000000000001
2010-07-06,72,17.0,,0.17,12.24
2010-07-07,96,17.0,,0.17,16.32
2010-07-08,83,17.0,,0.17,14.110000000000001
2010-07-09,95,17.0,,0.17,16.150000000000002
2010-07-10,64,17.0,,0.17,10.88
2010-07-11,55,17.0,,0.17,9.350000000000001
2010-07-12,92,17.0,,0.17,15.64
2010-07-13,100,17.0,,0.17,17.0
2010-07-14,85,17.0,,0.17,14.450000000000001
2010-07-15,81,17.0,,0.17,13.770000000000001
2010-07-16,70,17.0,,0.17,11.9
2010-07-17,56,17.0,,0.17,9.520000000000001
2010-07-18,53,17.0,,0.17,9.01
2010-07-19,91,17.0,,0.17,15.47
2010-07-20,94,17.0,,0.17,15.98
2010-07-21,81,17.0,,0.17,13.770000000000001
2010-07-22,89,17.0,,0.17,15.13
2010-07-23,77,17.0,,0.17,13.090000000000002
2010-07-24,56,17.0,,0.17,9.520000000000001
2010-07-25,54,17.0,,0.17,9.180000000000001
2010-07-26,87,17.0,,0.17,14.790000000000001
2010-07-27,78,17.0,,0.17,13.260000000000002
2010-07-28,97,17.0,,0.17,16.490000000000002
2010-07-29,82,17.0,,0.17,13.940000000000001
2010-07-30,85,17.0,,0.17,14.450000000000001
2010-07-31,46,17.0,,0.17,7.82
2010-08-01,46,17.0,False,0.17,7.82
2010-08-02,81,17.0,,0.17,13.770000000000001
2010-08-03,76,17.0,,0.17,12.920000000000002
2010-08-04,90,17.0,,0.17,15.3
2010-08-05,64,17.0,,0.17,10.88
2010-08-06,86,17.0,,0.17,14.620000000000001
2010-08-07,78,17.0,,0.17,13.260000000000002
2010-08-08,70,17.0,,0.17,11.9
2010-08-09,64,17.0,,0.17,10.88
2010-08-10,68,17.0,,0.17,11.56
2010-08-11,83,17.0,,0.17,14.110000000000001
2010-08-12,89,17.0,,0.17,15.13
2010-08-13,82,17.0,,0.17,13.940000000000001
2010-08-14,56,17.0,,0.17,9.520000000000001
2010-08-15,51,17.0,,0.17,8.67
2010-08-16,68,17.0,,0.17,11.56
2010-08-17,74,17.0,,0.17,12.58
2010-08-18,94,17.0,,0.17,15.98
2010-08-19,100,17.0,,0.17,17.0
2010-08-20,67,17.0,,0.17,11.39
2010-08-21,58,17.0,,0.17,9.860000000000001
2010-08-22,72,17.0,,0.17,12.24
2010-08-23,78,17.0,,0.17,13.260000000000002
2010-08-24,88,17.0,,0.17,14.96
2010-08-25,74,17.0,,0.17,12.58
2010-08-26,82,17.0,,0.17,13.940000000000001
2010-08-27,57,17.0,,0.17,9.690000000000001
2010-08-28,64,17.0,,0.17,10.88
2010-08-29,39,17.0,,0.17,6.630000000000001
2010-08-30,72,17.0,,0.17,12.24
2010-08-31,72,17.0,,0.17,12.24
2010-09-01,70,20.0,False,0.2,14.0
2010-09-02,70,20.0,,0.2,14.0
2010-09-03,55,20.0,,0.2,11.0
2010-09-04,36,20.0,,0.2,7.2
2010-09-05,52,20.0,,0.2,10.4
2010-09-06,57,20.0,,0.2,11.4
2010-09-07,75,20.0,,0.2,15.0
