date,tourism_unscaled,tourism_monthly,isPartial,scale,tourism
2010-01-01,68,85.0,False,0.85,57.8
2010-01-02,78,85.0,,0.85,66.3
2010-01-03,79,85.0,,0.85,67.14999999999999
2010-01-04,77,85.0,,0.85,65.45
2010-01-05,86,85.0,,0.85,73.1
2010-01-06,100,85.0,,0.85,85.0
2010-01-07,71,85.0,,0.85,60.35
2010-01-08,82,85.0,,0.85,69.7
2010-01-09,74,85.0,,0.85,62.9
2010-01-10,82,85.0,,0.85,69.7
2010-01-11,82,85.0,,0.85,69.7
2010-01-12,82,85.0,,0.85,69.7
2010-01-13,93,85.0,,0.85,79.05
2010-01-14,81,85.0,,0.85,68.85
2010-01-15,86,85.0,,0.85,73.1
2010-01-16,72,85.0,,0.85,61.199999999999996
2010-01-17,65,85.0,,0.85,55.25
2010-01-18,100,85.0,,0.85,85.0
2010-01-19,70,85.0,,0.85,59.5
2010-01-20,73,85.0,,0.85,62.05
2010-01-21,97,85.0,,0.85,82.45
2010-01-22,73,85.0,,0.85,62.05
2010-01-23,74,85.0,,0.85,62.9
2010-01-24,83,85.0,,0.85,70.55
2010-01-25,82,85.0,,0.85,69.7
2010-01-26,85,85.0,,0.85,72.25
2010-01-27,74,85.0,,0.85,62.9
2010-01-28,74,85.0,,0.85,62.9
2010-01-29,74,85.0,,0.85,62.9
2010-01-30,84,85.0,,0.85,71.39999999999999
2010-01-31,85,85.0,,0.85,72.25
2010-02-01,83,85.0,False,0.85,70.55
2010-02-02,60,85.0,,0.85,51.0
2010-02-03,66,85.0,,0.85,56.1
2010-02-04,64,85.0,,0.85,54.4
2010-02-05,63,85.0,,0.85,53.55
2010-02-06,62,85.0,,0.85,52.699999999999996
2010-02-07,62,85.0,,0.85,52.699999999999996
2010-02-08,57,85.0,,0.85,48.449999999999996
2010-02-09,60,85.0,,0.85,51.0
2010-02-10,66,85.0,,0.85,56.1
2010-02-11,68,85.0,,0.85,57.8
2010-02-12,61,85.0,,0.85,51.85
2010-02-13,58,85.0,,0.85,49.3
2010-02-14,50,85.0,,0.85,42.5
2010-02-15,74,85.0,,0.85,62.9
2010-02-16,67,85.0,,0.85,56.949999999999996
2010-02-17,72,85.0,,0.85,61.199999999999996
2010-02-18,76,85.0,,0.85,64.6
2010-02-19,72,85.0,,0.85,61.199999999999996
2010-02-20,73,85.0,,0.85,62.05
2010-02-21,100,85.0,,0.85,85.0
2010-02-22,79,85.0,,0.85,67.14999999999999
2010-02-23,83,85.0,,0.85,70.55
2010-02-24,79,85.0,,0.85,67.14999999999999
2010-02-25,68,85.0,,0.85,57.8
2010-02-26,56,85.0,,0.85,47.6
2010-02-27,68,85.0,,0.85,57.8
2010-02-28,75,85.0,,0.85,63.75
2010-03-01,90,98.0,False,0.98,88.2
2010-03-02,83,98.0,,0.98,81.34
2010-03-03,87,98.0,,0.98,85.26
2010-03-04,82,98.0,,0.98,80.36
2010-03-05,88,98.0,,0.98,86.24
2010-03-06,72,98.0,,0.98,70.56
2010-03-07,98,98.0,,0.98,96.03999999999999
2010-03-08,93,98.0,,0.98,91.14
2010-03-09,84,98.0,,0.98,82.32
2010-03-10,86,98.0,,0.98,84.28
2010-03-11,93,98.0,,0.98,91.14
2010-03-12,96,98.0,,0.98,94.08
2010-03-13,78,98.0,,0.98,76.44
2010-03-14,94,98.0,,0.98,92.12
2010-03-15,94,98.0,,0.98,92.12
2010-03-16,76,98.0,,0.98,74.48
2010-03-17,89,98.0,,0.98,87.22
2010-03-18,81,98.0,,0.98,79.38
2010-03-19,81,98.0,,0.98,79.38
2010-03-20,71,98.0,,0.98,69.58
2010-03-21,86,98.0,,0.98,84.28
2010-03-22,97,98.0,,0.98,95.06
2010-03-23,95,98.0,,0.98,93.1
2010-03-24,91,98.0,,0.98,89.17999999999999
2010-03-25,86,98.0,,0.98,84.28
2010-03-26,100,98.0,,0.98,98.0
2010-03-27,87,98.0,,0.98,85.26
2010-03-28,76,98.0,,0.98,74.48
2010-03-29,91,98.0,,0.98,89.17999999999999
2010-03-30,98,98.0,,0.98,96.03999999999999
2010-03-31,93,98.0,,0.98,91.14
2010-04-01,78,95.0,False,0.95,74.1
2010-04-02,60,95.0,,0.95,57.0
2010-04-03,57,95.0,,0.95,54.15
2010-04-04,87,95.0,,0.95,82.64999999999999
2010-04-05,75,95.0,,0.95,71.25
2010-04-06,79,95.0,,0.95,75.05
2010-04-07,89,95.0,,0.95,84.55
2010-04-08,79,95.0,,0.95,75.05
2010-04-09,84,95.0,,0.95,79.8
2010-04-10,61,95.0,,0.95,57.949999999999996
2010-04-11,78,95.0,,0.95,74.1
2010-04-12,90,95.0,,0.95,85.5
2010-04-13,100,95.0,,0.95,95.0
2010-04-14,81,95.0,,0.95,76.95
2010-04-15,93,95.0,,0.95,88.35
2010-04-16,66,95.0,,0.95,62.699999999999996
2010-04-17,78,95.0,,0.95,74.1
2010-04-18,66,95.0,,0.95,62.699999999999996
2010-04-19,83,95.0,,0.95,78.85
2010-04-20,91,95.0,,0.95,86.45
2010-04-21,82,95.0,,0.95,77.89999999999999
2010-04-22,91,95.0,,0.95,86.45
