date,train_unscaled,train_monthly,isPartial,scale,train
2010-01-01,96,66.0,False,0.66,63.36
2010-01-02,86,66.0,,0.66,56.760000000000005
2010-01-03,89,66.0,,0.66,58.74
2010-01-04,80,66.0,,0.66,52.800000000000004
2010-01-05,72,66.0,,0.66,47.52
2010-01-06,69,66.0,,0.66,45.54
2010-01-07,78,66.0,,0.66,51.480000000000004
2010-01-08,81,66.0,,0.66,53.46
2010-01-09,78,66.0,,0.66,51.480000000000004
2010-01-10,84,66.0,,0.66,55.440000000000005
2010-01-11,84,66.0,,0.66,55.440000000000005
2010-01-12,67,66.0,,0.66,44.22
2010-01-13,78,66.0,,0.66,51.480000000000004
2010-01-14,71,66.0,,0.66,46.86
2010-01-15,76,66.0,,0.66,50.160000000000004
2010-01-16,99,66.0,,0.66,65.34
2010-01-17,81,66.0,,0.66,53.46
2010-01-18,82,66.0,,0.66,54.120000000000005
2010-01-19,77,66.0,,0.66,50.82
2010-01-20,66,66.0,,0.66,43.56
2010-01-21,67,66.0,,0.66,44.22
2010-01-22,65,66.0,,0.66,42.9
2010-01-23,91,66.0,,0.66,60.06
2010-01-24,100,66.0,,0.66,66.0
2010-01-25,68,66.0,,0.66,44.88
2010-01-26,69,66.0,,0.66,45.54
2010-01-27,64,66.0,,0.66,42.24
2010-01-28,73,66.0,,0.66,48.18
2010-01-29,74,66.0,,0.66,48.84
2010-01-30,79,66.0,,0.66,52.14
2010-01-31,82,66.0,,0.66,54.120000000000005
2010-02-01,71,68.0,False,0.68,48.28
2010-02-02,65,68.0,,0.68,44.2
2010-02-03,71,68.0,,0.68,48.28
2010-02-04,68,68.0,,0.68,46.24
2010-02-05,78,68.0,,0.68,53.040000000000006
2010-02-06,74,68.0,,0.68,50.32
2010-02-07,83,68.0,,0.68,56.440000000000005
2010-02-08,70,68.0,,0.68,47.6
2010-02-09,70,68.0,,0.68,47.6
2010-02-10,82,68.0,,0.68,55.760000000000005
2010-02-11,77,68.0,,0.68,52.36000000000001
2010-02-12,88,68.0,,0.68,59.84
2010-02-13,90,68.0,,0.68,61.2
2010-02-14,91,68.0,,0.68,61.88
2010-02-15,83,68.0,,0.68,56.440000000000005
2010-02-16,78,68.0,,0.68,53.040000000000006
2010-02-17,77,68.0,,0.68,52.36000000000001
2010-02-18,76,68.0,,0.68,51.68000000000001
2010-02-19,76,68.0,,0.68,51.68000000000001
2010-02-20,89,68.0,,0.68,60.52
2010-02-21,96,68.0,,0.68,65.28
2010-02-22,76,68.0,,0.68,51.68000000000001
2010-02-23,77,68.0,,0.68,52.36000000000001
2010-02-24,74,68.0,,0.68,50.32
2010-02-25,78,68.0,,0.68,53.040000000000006
2010-02-26,95,68.0,,0.68,64.60000000000001
2010-02-27,85,68.0,,0.68,57.800000000000004
2010-02-28,100,68.0,,0.68,68.0
2010-03-01,49,77.0,False,0.77,37.730000000000004
2010-03-02,57,77.0,,0.77,43.89
2010-03-03,51,77.0,,0.77,39.27
2010-03-04,50,77.0,,0.77,38.5
2010-03-05,59,77.0,,0.77,45.43
2010-03-06,64,77.0,,0.77,49.28
2010-03-07,62,77.0,,0.77,47.74
2010-03-08,57,77.0,,0.77,43.89
2010-03-09,55,77.0,,0.77,42.35
2010-03-10,55,77.0,,0.77,42.35
2010-03-11,52,77.0,,0.77,40.04
2010-03-12,61,77.0,,0.77,46.97
2010-03-13,69,77.0,,0.77,53.13
2010-03-14,63,77.0,,0.77,48.51
2010-03-15,57,77.0,,0.77,43.89
2010-03-16,53,77.0,,0.77,40.81
2010-03-17,55,77.0,,0.77,42.35
2010-03-18,56,77.0,,0.77,43.120000000000005
2010-03-19,61,77.0,,0.77,46.97
2010-03-20,58,77.0,,0.77,44.660000000000004
2010-03-21,65,77.0,,0.77,50.050000000000004
2010-03-22,60,77.0,,0.77,46.2
2010-03-23,60,77.0,,0.77,46.2
2010-03-24,58,77.0,,0.77,44.660000000000004
2010-03-25,61,77.0,,0.77,46.97
2010-03-26,76,77.0,,0.77,58.52
2010-03-27,92,77.0,,0.77,70.84
2010-03-28,100,77.0,,0.77,77.0
2010-03-29,78,77.0,,0.77,60.06
2010-03-30,70,77.0,,0.77,53.9
2010-03-31,72,77.0,,0.77,55.44
2010-04-01,75,84.0,False,0.84,63.0
2010-04-02,93,84.0,,0.84,78.11999999999999
2010-04-03,100,84.0,,0.84,84.0
2010-04-04,100,84.0,,0.84,84.0
2010-04-05,78,84.0,,0.84,65.52
2010-04-06,68,84.0,,0.84,57.12
2010-04-07,70,84.0,,0.84,58.8
2010-04-08,69,84.0,,0.84,57.96
2010-04-09,80,84.0,,0.84,67.2
2010-04-10,95,84.0,,0.84,79.8
2010-04-11,89,84.0,,0.84,74.75999999999999
2010-04-12,71,84.0,,0.84,59.64
2010-04-13,65,84.0,,0.84,54.6
2010-04-14,65,84.0,,0.84,54.6
2010-04-15,65,84.0,,0.84,54.6
2010-04-16,77,84.0,,0.84,64.67999999999999
2010-04-17,96,84.0,,0.84,80.64
2010-04-18,94,84.0,,0.84,78.96
2010-04-19,74,84.0,,0.84,62.16
2010-04-20,68,84.0,,0.84,57.12
2010-04-21,62,84.0,,0.84,52.08
2010-04-22,61,84.0,,0.84,51.239999999999995
2010-04-23,75,84.0,,0.84,63.0
2010-04-24,74,84.0,,0.84,62.16
2010-04-25,83,84.0,,0.84,69.72
2010-04-26,67,84.0,,0.84,56.28
2010-04-27,64,84.0,,0.84,53.76
2010-04-28,60,84.0,,0.84,50.4
2010-04-29,63,84.0,,0.84,52.919999999999995
2010-04-30,67,84.0,,0.84,56.28
2010-05-01,95,78.0,False,0.78,74.10000000000001
2010-05-02,93,78.0,,0.78,72.54
2010-05-03,78,78.0,,0.78,60.84
2010-05-04,73,78.0,,0.78,56.940000000000005
2010-05-05,74,78.0,,0.78,57.72
2010-05-06,74,78.0,,0.78,57.72
2010-05-07,80,78.0,,0.78,62.400000000000006
2010-05-08,91,78.0,,0.78,70.98
2010-05-09,95,78.0,,0.78,74.10000000000001
2010-05-10,80,78.0,,0.78,62.400000000000006
2010-05-11,70,78.0,,0.78,54.6
2010-05-12,72,78.0,,0.78,56.160000000000004
2010-05-13,73,78.0,,0.78,56.940000000000005
2010-05-14,81,78.0,,0.78,63.18
2010-05-15,100,78.0,,0.78,78.0
2010-05-16,94,78.0,,0.78,73.32000000000001
2010-05-17,80,78.0,,0.78,62.400000000000006
2010-05-18,75,78.0,,0.78,58.5
2010-05-19,77,78.0,,0.78,60.06
2010-05-20,76,78.0,,0.78,59.28
2010-05-21,87,78.0,,0.78,67.86
2010-05-22,88,78.0,,0.78,68.64
2010-05-23,92,78.0,,0.78,71.76
2010-05-24,80,78.0,,0.78,62.400000000000006
2010-05-25,79,78.0,,0.78,61.620000000000005
2010-05-26,74,78.0,,0.78,57.72
2010-05-27,77,78.0,,0.78,60.06
2010-05-28,91,78.0,,0.78,70.98
2010-05-29,86,78.0,,0.78,67.08
2010-05-30,92,78.0,,0.78,71.76
2010-05-31,83,78.0,,0.78,64.74000000000001
2010-06-01,78,78.0,False,0.78,60.84
2010-06-02,78,78.0,,0.78,60.84
2010-06-03,74,78.0,,0.78,57.72
2010-06-04,80,78.0,,0.78,62.400000000000006
2010-06-05,89,78.0,,0.78,69.42
2010-06-06,95,78.0,,0.78,74.10000000000001
2010-06-07,82,78.0,,0.78,63.96
2010-06-08,76,78.0,,0.78,59.28
2010-06-09,78,78.0,,0.78,60.84
2010-06-10,83,78.0,,0.78,64.74000000000001
2010-06-11,91,78.0,,0.78,70.98
2010-06-12,86,78.0,,0.78,67.08
2010-06-13,98,78.0,,0.78,76.44
2010-06-14,75,78.0,,0.78,58.5
2010-06-15,76,78.0,,0.78,59.28
2010-06-16,79,78.0,,0.78,61.620000000000005
2010-06-17,80,78.0,,0.78,62.400000000000006
2010-06-18,81,78.0,,0.78,63.18
2010-06-19,95,78.0,,0.78,74.10000000000001
2010-06-20,100,78.0,,0.78,78.0
2010-06-21,84,78.0,,0.78,65.52
2010-06-22,80,78.0,,0.78,62.400000000000006
2010-06-23,76,78.0,,0.78,59.28
2010-06-24,80,78.0,,0.78,62.400000000000006
2010-06-25,87,78.0,,0.78,67.86
2010-06-26,96,78.0,,0.78,74.88
2010-06-27,90,78.0,,0.78,70.2
2010-06-28,85,78.0,,0.78,66.3
2010-06-29,84,78.0,,0.78,65.52
2010-06-30,84,78.0,,0.78,65.52
2010-07-01,98,82.0,False,0.82,80.36
2010-07-02,97,82.0,,0.82,79.53999999999999
2010-07-03,100,82.0,,0.82,82.0
2010-07-04,95,82.0,,0.82,77.89999999999999
