date,transaction_unscaled,transaction_monthly,isPartial,scale,transaction
2010-01-01,24,68.0,False,0.68,16.32
2010-01-02,29,68.0,,0.68,19.720000000000002
2010-01-03,16,68.0,,0.68,10.88
2010-01-04,55,68.0,,0.68,37.400000000000006
2010-01-05,78,68.0,,0.68,53.040000000000006
2010-01-06,60,68.0,,0.68,40.800000000000004
2010-01-07,42,68.0,,0.68,28.560000000000002
2010-01-08,39,68.0,,0.68,26.520000000000003
2010-01-09,23,68.0,,0.68,15.64
2010-01-10,55,68.0,,0.68,37.400000000000006
2010-01-11,53,68.0,,0.68,36.04
2010-01-12,65,68.0,,0.68,44.2
2010-01-13,69,68.0,,0.68,46.92
2010-01-14,55,68.0,,0.68,37.400000000000006
2010-01-15,66,68.0,,0.68,44.88
2010-01-16,35,68.0,,0.68,23.8
2010-01-17,27,68.0,,0.68,18.360000000000003
2010-01-18,69,68.0,,0.68,46.92
2010-01-19,100,68.0,,0.68,68.0
2010-01-20,77,68.0,,0.68,52.36000000000001
2010-01-21,72,68.0,,0.68,48.96
2010-01-22,57,68.0,,0.68,38.760000000000005
2010-01-23,30,68.0,,0.68,20.400000000000002
2010-01-24,26,68.0,,0.68,17.68
2010-01-25,62,68.0,,0.68,42.160000000000004
2010-01-26,56,68.0,,0.68,38.080000000000005
2010-01-27,63,68.0,,0.68,42.84
2010-01-28,61,68.0,,0.68,41.480000000000004
2010-01-29,51,68.0,,0.68,34.68
2010-01-30,43,68.0,,0.68,29.240000000000002
2010-01-31,29,68.0,,0.68,19.720000000000002
2010-02-01,91,70.0,False,0.7,63.699999999999996
2010-02-02,76,70.0,,0.7,53.199999999999996
2010-02-03,74,70.0,,0.7,51.8
2010-02-04,70,70.0,,0.7,49.0
2010-02-05,81,70.0,,0.7,56.699999999999996
2010-02-06,54,70.0,,0.7,37.8
2010-02-07,66,70.0,,0.7,46.199999999999996
2010-02-08,78,70.0,,0.7,54.599999999999994
2010-02-09,97,70.0,,0.7,67.89999999999999
2010-02-10,66,70.0,,0.7,46.199999999999996
2010-02-11,73,70.0,,0.7,51.099999999999994
2010-02-12,99,70.0,,0.7,69.3
2010-02-13,35,70.0,,0.7,24.5
2010-02-14,25,70.0,,0.7,17.5
2010-02-15,74,70.0,,0.7,51.8
2010-02-16,80,70.0,,0.7,56.0
2010-02-17,100,70.0,,0.7,70.0
2010-02-18,95,70.0,,0.7,66.5
2010-02-19,77,70.0,,0.7,53.9
2010-02-20,32,70.0,,0.7,22.4
2010-02-21,53,70.0,,0.7,37.099999999999994
2010-02-22,95,70.0,,0.7,66.5
2010-02-23,98,70.0,,0.7,68.6
2010-02-24,74,70.0,,0.7,51.8
2010-02-25,82,70.0,,0.7,57.4
2010-02-26,66,70.0,,0.7,46.199999999999996
2010-02-27,54,70.0,,0.7,37.8
2010-02-28,29,70.0,,0.7,20.299999999999997
2010-03-01,69,72.0,False,0.72,49.68
2010-03-02,48,72.0,,0.72,34.56
2010-03-03,85,72.0,,0.72,61.199999999999996
2010-03-04,97,72.0,,0.72,69.84
2010-03-05,31,72.0,,0.72,22.32
2010-03-06,26,72.0,,0.72,18.72
2010-03-07,26,72.0,,0.72,18.72
2010-03-08,74,72.0,,0.72,53.28
2010-03-09,46,72.0,,0.72,33.12
2010-03-10,64,72.0,,0.72,46.08
2010-03-11,53,72.0,,0.72,38.16
2010-03-12,79,72.0,,0.72,56.879999999999995
2010-03-13,38,72.0,,0.72,27.36
2010-03-14,30,72.0,,0.72,21.599999999999998
2010-03-15,64,72.0,,0.72,46.08
2010-03-16,76,72.0,,0.72,54.72
2010-03-17,63,72.0,,0.72,45.36
2010-03-18,67,72.0,,0.72,48.239999999999995
2010-03-19,74,72.0,,0.72,53.28
2010-03-20,49,72.0,,0.72,35.28
2010-03-21,43,72.0,,0.72,30.959999999999997
2010-03-22,78,72.0,,0.72,56.16
2010-03-23,72,72.0,,0.72,51.839999999999996
2010-03-24,100,72.0,,0.72,72.0
2010-03-25,73,72.0,,0.72,52.559999999999995
2010-03-26,66,72.0,,0.72,47.519999999999996
2010-03-27,26,72.0,,0.72,18.72
2010-03-28,30,72.0,,0.72,21.599999999999998
2010-03-29,75,72.0,,0.72,54.0
2010-03-30,72,72.0,,0.72,51.839999999999996
2010-03-31,66,72.0,,0.72,47.519999999999996
2010-04-01,76,70.0,False,0.7,53.199999999999996
2010-04-02,66,70.0,,0.7,46.199999999999996
2010-04-03,40,70.0,,0.7,28.0
2010-04-04,28,70.0,,0.7,19.599999999999998
2010-04-05,78,70.0,,0.7,54.599999999999994
2010-04-06,90,70.0,,0.7,62.99999999999999
2010-04-07,74,70.0,,0.7,51.8
2010-04-08,89,70.0,,0.7,62.3
2010-04-09,64,70.0,,0.7,44.8
2010-04-10,30,70.0,,0.7,21.0
2010-04-11,48,70.0,,0.7,33.599999999999994
2010-04-12,67,70.0,,0.7,46.9
2010-04-13,74,70.0,,0.7,51.8
2010-04-14,88,70.0,,0.7,61.599999999999994
2010-04-15,83,70.0,,0.7,58.099999999999994
2010-04-16,80,70.0,,0.7,56.0
2010-04-17,40,70.0,,0.7,28.0
2010-04-18,25,70.0,,0.7,17.5
2010-04-19,93,70.0,,0.7,65.1
2010-04-20,80,70.0,,0.7,56.0
2010-04-21,85,70.0,,0.7,59.49999999999999
2010-04-22,71,70.0,,0.7,49.699999999999996
2010-04-23,85,70.0,,0.7,59.49999999999999
2010-04-24,54,70.0,,0.7,37.8
2010-04-25,43,70.0,,0.7,30.099999999999998
2010-04-26,90,70.0,,0.7,62.99999999999999
2010-04-27,90,70.0,,0.7,62.99999999999999
2010-04-28,82,70.0,,0.7,57.4
2010-04-29,75,70.0,,0.7,52.5
2010-04-30,100,70.0,,0.7,70.0
2010-05-01,41,69.0,False,0.69,28.29
2010-05-02,27,69.0,,0.69,18.63
2010-05-03,72,69.0,,0.69,49.67999999999999
2010-05-04,83,69.0,,0.69,57.269999999999996
2010-05-05,75,69.0,,0.69,51.74999999999999
2010-05-06,86,69.0,,0.69,59.339999999999996
2010-05-07,86,69.0,,0.69,59.339999999999996
2010-05-08,38,69.0,,0.69,26.22
2010-05-09,25,69.0,,0.69,17.25
2010-05-10,81,69.0,,0.69,55.88999999999999
2010-05-11,78,69.0,,0.69,53.81999999999999
2010-05-12,100,69.0,,0.69,69.0
2010-05-13,70,69.0,,0.69,48.3
2010-05-14,95,69.0,,0.69,65.55
2010-05-15,36,69.0,,0.69,24.839999999999996
2010-05-16,31,69.0,,0.69,21.389999999999997
2010-05-17,86,69.0,,0.69,59.339999999999996
2010-05-18,62,69.0,,0.69,42.779999999999994
2010-05-19,83,69.0,,0.69,57.269999999999996
2010-05-20,71,69.0,,0.69,48.989999999999995
2010-05-21,68,69.0,,0.69,46.919999999999995
2010-05-22,36,69.0,,0.69,24.839999999999996
2010-05-23,34,69.0,,0.69,23.459999999999997
2010-05-24,67,69.0,,0.69,46.23
2010-05-25,92,69.0,,0.69,63.48
2010-05-26,98,69.0,,0.69,67.61999999999999
2010-05-27,84,69.0,,0.69,57.959999999999994
2010-05-28,83,69.0,,0.69,57.269999999999996
2010-05-29,38,69.0,,0.69,26.22
2010-05-30,50,69.0,,0.69,34.5
2010-05-31,45,69.0,,0.69,31.049999999999997
2010-06-01,56,70.0,False,0.7,39.199999999999996
2010-06-02,83,70.0,,0.7,58.099999999999994
2010-06-03,78,70.0,,0.7,54.599999999999994
2010-06-04,71,70.0,,0.7,49.699999999999996
2010-06-05,42,70.0,,0.7,29.4
2010-06-06,40,70.0,,0.7,28.0
2010-06-07,88,70.0,,0.7,61.599999999999994
2010-06-08,70,70.0,,0.7,49.0
2010-06-09,93,70.0,,0.7,65.1
2010-06-10,74,70.0,,0.7,51.8
2010-06-11,62,70.0,,0.7,43.4
2010-06-12,28,70.0,,0.7,19.599999999999998
2010-06-13,36,70.0,,0.7,25.2
2010-06-14,59,70.0,,0.7,41.3
2010-06-15,52,70.0,,0.7,36.4
2010-06-16,96,70.0,,0.7,67.19999999999999
2010-06-17,100,70.0,,0.7,70.0
2010-06-18,74,70.0,,0.7,51.8
2010-06-19,29,70.0,,0.7,20.299999999999997
2010-06-20,19,70.0,,0.7,13.299999999999999
2010-06-21,87,70.0,,0.7,60.9
2010-06-22,96,70.0,,0.7,67.19999999999999
2010-06-23,83,70.0,,0.7,58.099999999999994
2010-06-24,87,70.0,,0.7,60.9
2010-06-25,44,70.0,,0.7,30.799999999999997
2010-06-26,36,70.0,,0.7,25.2
2010-06-27,36,70.0,,0.7,25.2
2010-06-28,75,70.0,,0.7,52.5
2010-06-29,74,70.0,,0.7,51.8
2010-06-30,85,70.0,,0.7,59.49999999999999
2010-07-01,82,60.0,False,0.6,49.199999999999996
2010-07-02,68,60.0,,0.6,40.8
2010-07-03,13,60.0,,0.6,7.8
2010-07-04,27,60.0,,0.6,16.2
2010-07-05,32,60.0,,0.6,19.2
2010-07-06,64,60.0,,0.6,38.4
2010-07-07,100,60.0,,0.6,60.0
2010-07-08,72,60.0,,0.6,43.199999999999996
2010-07-09,72,60.0,,0.6,43.199999999999996
2010-07-10,43,60.0,,0.6,25.8
2010-07-11,24,60.0,,0.6,14.399999999999999
