date,travel_unscaled,travel_monthly,isPartial,scale,travel
2010-01-01,72,70.0,False,0.7,50.4
2010-01-02,86,70.0,,0.7,60.199999999999996
2010-01-03,89,70.0,,0.7,62.3
2010-01-04,95,70.0,,0.7,66.5
2010-01-05,96,70.0,,0.7,67.19999999999999
2010-01-06,94,70.0,,0.7,65.8
2010-01-07,96,70.0,,0.7,67.19999999999999
2010-01-08,90,70.0,,0.7,62.99999999999999
2010-01-09,91,70.0,,0.7,63.699999999999996
2010-01-10,95,70.0,,0.7,66.5
2010-01-11,96,70.0,,0.7,67.19999999999999
2010-01-12,93,70.0,,0.7,65.1
2010-01-13,93,70.0,,0.7,65.1
2010-01-14,95,70.0,,0.7,66.5
2010-01-15,90,70.0,,0.7,62.99999999999999
2010-01-16,86,70.0,,0.7,60.199999999999996
2010-01-17,89,70.0,,0.7,62.3
2010-01-18,93,70.0,,0.7,65.1
2010-01-19,94,70.0,,0.7,65.8
2010-01-20,95,70.0,,0.7,66.5
2010-01-21,89,70.0,,0.7,62.3
2010-01-22,86,70.0,,0.7,60.199999999999996
2010-01-23,89,70.0,,0.7,62.3
2010-01-24,91,70.0,,0.7,63.699999999999996
2010-01-25,100,70.0,,0.7,70.0
2010-01-26,94,70.0,,0.7,65.8
2010-01-27,89,70.0,,0.7,62.3
2010-01-28,89,70.0,,0.7,62.3
2010-01-29,89,70.0,,0.7,62.3
2010-01-30,82,70.0,,0.7,57.4
2010-01-31,91,70.0,,0.7,63.699999999999996
2010-02-01,97,67.0,False,0.67,64.99000000000001
2010-02-02,87,67.0,,0.67,58.290000000000006
2010-02-03,91,67.0,,0.67,60.970000000000006
2010-02-04,90,67.0,,0.67,60.300000000000004
2010-02-05,86,67.0,,0.67,57.620000000000005
2010-02-06,89,67.0,,0.67,59.63
2010-02-07,82,67.0,,0.67,54.940000000000005
2010-02-08,97,67.0,,0.67,64.99000000000001
2010-02-09,99,67.0,,0.67,66.33
2010-02-10,94,67.0,,0.67,62.980000000000004
2010-02-11,87,67.0,,0.67,58.290000000000006
2010-02-12,88,67.0,,0.67,58.96
2010-02-13,89,67.0,,0.67,59.63
2010-02-14,82,67.0,,0.67,54.940000000000005
2010-02-15,100,67.0,,0.67,67.0
2010-02-16,98,67.0,,0.67,65.66000000000001
2010-02-17,89,67.0,,0.67,59.63
2010-02-18,89,67.0,,0.67,59.63
2010-02-19,95,67.0,,0.67,63.650000000000006
2010-02-20,95,67.0,,0.67,63.650000000000006
2010-02-21,95,67.0,,0.67,63.650000000000006
2010-02-22,95,67.0,,0.67,63.650000000000006
2010-02-23,100,67.0,,0.67,67.0
2010-02-24,98,67.0,,0.67,65.66000000000001
2010-02-25,85,67.0,,0.67,56.95
2010-02-26,91,67.0,,0.67,60.970000000000006
2010-02-27,80,67.0,,0.67,53.6
2010-02-28,92,67.0,,0.67,61.64
2010-03-01,95,70.0,False,0.7,66.5
2010-03-02,89,70.0,,0.7,62.3
2010-03-03,90,70.0,,0.7,62.99999999999999
2010-03-04,92,70.0,,0.7,64.39999999999999
2010-03-05,89,70.0,,0.7,62.3
2010-03-06,77,70.0,,0.7,53.9
2010-03-07,84,70.0,,0.7,58.8
2010-03-08,90,70.0,,0.7,62.99999999999999
2010-03-09,95,70.0,,0.7,66.5
2010-03-10,86,70.0,,0.7,60.199999999999996
2010-03-11,85,70.0,,0.7,59.49999999999999
2010-03-12,82,70.0,,0.7,57.4
2010-03-13,80,70.0,,0.7,56.0
2010-03-14,80,70.0,,0.7,56.0
2010-03-15,100,70.0,,0.7,70.0
2010-03-16,95,70.0,,0.7,66.5
2010-03-17,86,70.0,,0.7,60.199999999999996
2010-03-18,87,70.0,,0.7,60.9
2010-03-19,83,70.0,,0.7,58.099999999999994
2010-03-20,76,70.0,,0.7,53.199999999999996
2010-03-21,83,70.0,,0.7,58.099999999999994
2010-03-22,90,70.0,,0.7,62.99999999999999
2010-03-23,93,70.0,,0.7,65.1
2010-03-24,93,70.0,,0.7,65.1
2010-03-25,87,70.0,,0.7,60.9
2010-03-26,82,70.0,,0.7,57.4
2010-03-27,79,70.0,,0.7,55.3
2010-03-28,84,70.0,,0.7,58.8
2010-03-29,91,70.0,,0.7,63.699999999999996
2010-03-30,87,70.0,,0.7,60.9
2010-03-31,84,70.0,,0.7,58.8
2010-04-01,77,69.0,False,0.69,53.129999999999995
2010-04-02,78,69.0,,0.69,53.81999999999999
2010-04-03,71,69.0,,0.69,48.989999999999995
2010-04-04,69,69.0,,0.69,47.61
2010-04-05,83,69.0,,0.69,57.269999999999996
2010-04-06,83,69.0,,0.69,57.269999999999996
2010-04-07,86,69.0,,0.69,59.339999999999996
2010-04-08,82,69.0,,0.69,56.58
2010-04-09,81,69.0,,0.69,55.88999999999999
2010-04-10,71,69.0,,0.69,48.989999999999995
2010-04-11,76,69.0,,0.69,52.44
2010-04-12,86,69.0,,0.69,59.339999999999996
2010-04-13,82,69.0,,0.69,56.58
2010-04-14,80,69.0,,0.69,55.199999999999996
2010-04-15,81,69.0,,0.69,55.88999999999999
2010-04-16,85,69.0,,0.69,58.65
2010-04-17,84,69.0,,0.69,57.959999999999994
2010-04-18,89,69.0,,0.69,61.41
2010-04-19,100,69.0,,0.69,69.0
2010-04-20,95,69.0,,0.69,65.55
2010-04-21,88,69.0,,0.69,60.72
2010-04-22,85,69.0,,0.69,58.65
2010-04-23,79,69.0,,0.69,54.51
2010-04-24,70,69.0,,0.69,48.3
2010-04-25,74,69.0,,0.69,51.059999999999995
2010-04-26,83,69.0,,0.69,57.269999999999996
2010-04-27,86,69.0,,0.69,59.339999999999996
2010-04-28,82,69.0,,0.69,56.58
2010-04-29,89,69.0,,0.69,61.41
2010-04-30,80,69.0,,0.69,55.199999999999996
2010-05-01,60,70.0,False,0.7,42.0
2010-05-02,73,70.0,,0.7,51.099999999999994
2010-05-03,90,70.0,,0.7,62.99999999999999
2010-05-04,87,70.0,,0.7,60.9
2010-05-05,80,70.0,,0.7,56.0
2010-05-06,82,70.0,,0.7,57.4
2010-05-07,78,70.0,,0.7,54.599999999999994
2010-05-08,64,70.0,,0.7,44.8
2010-05-09,74,70.0,,0.7,51.8
2010-05-10,97,70.0,,0.7,67.89999999999999
2010-05-11,87,70.0,,0.7,60.9
2010-05-12,84,70.0,,0.7,58.8
2010-05-13,86,70.0,,0.7,60.199999999999996
2010-05-14,75,70.0,,0.7,52.5
2010-05-15,70,70.0,,0.7,49.0
2010-05-16,82,70.0,,0.7,57.4
2010-05-17,96,70.0,,0.7,67.19999999999999
2010-05-18,87,70.0,,0.7,60.9
2010-05-19,86,70.0,,0.7,60.199999999999996
2010-05-20,80,70.0,,0.7,56.0
2010-05-21,80,70.0,,0.7,56.0
2010-05-22,71,70.0,,0.7,49.699999999999996
2010-05-23,85,70.0,,0.7,59.49999999999999
2010-05-24,100,70.0,,0.7,70.0
2010-05-25,97,70.0,,0.7,67.89999999999999
2010-05-26,88,70.0,,0.7,61.599999999999994
2010-05-27,85,70.0,,0.7,59.49999999999999
2010-05-28,79,70.0,,0.7,55.3
2010-05-29,74,70.0,,0.7,51.8
2010-05-30,72,70.0,,0.7,50.4
2010-05-31,84,70.0,,0.7,58.8
2010-06-01,98,70.0,False,0.7,68.6
2010-06-02,96,70.0,,0.7,67.19999999999999
2010-06-03,86,70.0,,0.7,60.199999999999996
2010-06-04,90,70.0,,0.7,62.99999999999999
2010-06-05,76,70.0,,0.7,53.199999999999996
2010-06-06,83,70.0,,0.7,58.099999999999994
2010-06-07,93,70.0,,0.7,65.1
2010-06-08,91,70.0,,0.7,63.699999999999996
2010-06-09,93,70.0,,0.7,65.1
2010-06-10,90,70.0,,0.7,62.99999999999999
2010-06-11,83,70.0,,0.7,58.099999999999994
2010-06-12,80,70.0,,0.7,56.0
2010-06-13,86,70.0,,0.7,60.199999999999996
2010-06-14,95,70.0,,0.7,66.5
2010-06-15,94,70.0,,0.7,65.8
2010-06-16,96,70.0,,0.7,67.19999999999999
2010-06-17,90,70.0,,0.7,62.99999999999999
2010-06-18,78,70.0,,0.7,54.599999999999994
2010-06-19,80,70.0,,0.7,56.0
2010-06-20,79,70.0,,0.7,55.3
2010-06-21,94,70.0,,0.7,65.8
2010-06-22,91,70.0,,0.7,63.699999999999996
2010-06-23,91,70.0,,0.7,63.699999999999996
2010-06-24,93,70.0,,0.7,65.1
2010-06-25,85,70.0,,0.7,59.49999999999999
2010-06-26,82,70.0,,0.7,57.4
2010-06-27,85,70.0,,0.7,59.49999999999999
2010-06-28,100,70.0,,0.7,70.0
2010-06-29,95,70.0,,0.7,66.5
2010-06-30,90,70.0,,0.7,62.99999999999999
2010-07-01,96,64.0,False,0.64,61.44
2010-07-02,82,64.0,,0.64,52.480000000000004
2010-07-03,74,64.0,,0.64,47.36
2010-07-04,72,64.0,,0.64,46.08
2010-07-05,86,64.0,,0.64,55.04
2010-07-06,95,64.0,,0.64,60.800000000000004
2010-07-07,90,64.0,,0.64,57.6
2010-07-08,99,64.0,,0.64,63.36
2010-07-09,86,64.0,,0.64,55.04
2010-07-10,80,64.0,,0.64,51.2
2010-07-11,82,64.0,,0.64,52.480000000000004
2010-07-12,99,64.0,,0.64,63.36
2010-07-13,100,64.0,,0.64,64.0
2010-07-14,95,64.0,,0.64,60.800000000000004
2010-07-15,89,64.0,,0.64,56.96
2010-07-16,88,64.0,,0.64,56.32
2010-07-17,81,64.0,,0.64,51.84
2010-07-18,90,64.0,,0.64,57.6
2010-07-19,99,64.0,,0.64,63.36
2010-07-20,94,64.0,,0.64,60.160000000000004
2010-07-21,98,64.0,,0.64,62.72
2010-07-22,90,64.0,,0.64,57.6
