date,unemployment_unscaled,unemployment_monthly,isPartial,scale,unemployment
2010-01-01,21,15.0,False,0.15,3.15
2010-01-02,28,15.0,,0.15,4.2
2010-01-03,100,15.0,,0.15,15.0
2010-01-04,88,15.0,,0.15,13.2
2010-01-05,63,15.0,,0.15,9.45
2010-01-06,54,15.0,,0.15,8.1
2010-01-07,51,15.0,,0.15,7.6499999999999995
2010-01-08,49,15.0,,0.15,7.35
2010-01-09,27,15.0,,0.15,4.05
2010-01-10,95,15.0,,0.15,14.25
2010-01-11,91,15.0,,0.15,13.65
2010-01-12,66,15.0,,0.15,9.9
2010-01-13,52,15.0,,0.15,7.8
2010-01-14,47,15.0,,0.15,7.05
2010-01-15,42,15.0,,0.15,6.3
2010-01-16,29,15.0,,0.15,4.35
2010-01-17,89,15.0,,0.15,13.35
2010-01-18,71,15.0,,0.15,10.65
2010-01-19,73,15.0,,0.15,10.95
2010-01-20,64,15.0,,0.15,9.6
2010-01-21,53,15.0,,0.15,7.949999999999999
2010-01-22,55,15.0,,0.15,8.25
2010-01-23,32,15.0,,0.15,4.8
2010-01-24,96,15.0,,0.15,14.399999999999999
2010-01-25,90,15.0,,0.15,13.5
2010-01-26,66,15.0,,0.15,9.9
2010-01-27,54,15.0,,0.15,8.1
2010-01-28,52,15.0,,0.15,7.8
2010-01-29,47,15.0,,0.15,7.05
2010-01-30,29,15.0,,0.15,4.35
2010-01-31,86,15.0,,0.15,12.9
2010-02-01,88,14.0,False,0.14,12.32
2010-02-02,59,14.0,,0.14,8.260000000000002
2010-02-03,47,14.0,,0.14,6.580000000000001
2010-02-04,45,14.0,,0.14,6.300000000000001
2010-02-05,45,14.0,,0.14,6.300000000000001
2010-02-06,28,14.0,,0.14,3.9200000000000004
2010-02-07,81,14.0,,0.14,11.340000000000002
2010-02-08,79,14.0,,0.14,11.06
2010-02-09,55,14.0,,0.14,7.700000000000001
2010-02-10,44,14.0,,0.14,6.16
2010-02-11,41,14.0,,0.14,5.74
2010-02-12,37,14.0,,0.14,5.180000000000001
2010-02-13,25,14.0,,0.14,3.5000000000000004
2010-02-14,87,14.0,,0.14,12.180000000000001
2010-02-15,72,14.0,,0.14,10.080000000000002
2010-02-16,66,14.0,,0.14,9.24
2010-02-17,56,14.0,,0.14,7.840000000000001
2010-02-18,47,14.0,,0.14,6.580000000000001
2010-02-19,39,14.0,,0.14,5.460000000000001
2010-02-20,25,14.0,,0.14,3.5000000000000004
2010-02-21,90,14.0,,0.14,12.600000000000001
2010-02-22,82,14.0,,0.14,11.48
2010-02-23,60,14.0,,0.14,8.4
2010-02-24,53,14.0,,0.14,7.420000000000001
2010-02-25,47,14.0,,0.14,6.580000000000001
2010-02-26,51,14.0,,0.14,7.140000000000001
2010-02-27,36,14.0,,0.14,5.040000000000001
2010-02-28,100,14.0,,0.14,14.000000000000002
2010-03-01,68,15.0,False,0.15,10.2
2010-03-02,53,15.0,,0.15,7.949999999999999
2010-03-03,49,15.0,,0.15,7.35
2010-03-04,35,15.0,,0.15,5.25
2010-03-05,35,15.0,,0.15,5.25
2010-03-06,22,15.0,,0.15,3.3
2010-03-07,58,15.0,,0.15,8.7
2010-03-08,57,15.0,,0.15,8.549999999999999
2010-03-09,43,15.0,,0.15,6.45
2010-03-10,41,15.0,,0.15,6.1499999999999995
2010-03-11,36,15.0,,0.15,5.3999999999999995
2010-03-12,27,15.0,,0.15,4.05
2010-03-13,18,15.0,,0.15,2.6999999999999997
2010-03-14,62,15.0,,0.15,9.299999999999999
2010-03-15,56,15.0,,0.15,8.4
2010-03-16,41,15.0,,0.15,6.1499999999999995
2010-03-17,31,15.0,,0.15,4.6499999999999995
2010-03-18,31,15.0,,0.15,4.6499999999999995
2010-03-19,28,15.0,,0.15,4.2
2010-03-20,19,15.0,,0.15,2.85
2010-03-21,65,15.0,,0.15,9.75
2010-03-22,55,15.0,,0.15,8.25
2010-03-23,40,15.0,,0.15,6.0
2010-03-24,33,15.0,,0.15,4.95
2010-03-25,29,15.0,,0.15,4.35
2010-03-26,30,15.0,,0.15,4.5
2010-03-27,19,15.0,,0.15,2.85
2010-03-28,100,15.0,,0.15,15.0
2010-03-29,64,15.0,,0.15,9.6
2010-03-30,39,15.0,,0.15,5.85
2010-03-31,35,15.0,,0.15,5.25
2010-04-01,44,14.0,False,0.14,6.16
