date,vaccine_unscaled,vaccine_monthly,isPartial,scale,vaccine
2010-01-01,35,17.0,False,0.17,5.95
2010-01-02,29,17.0,,0.17,4.930000000000001
2010-01-03,33,17.0,,0.17,5.61
2010-01-04,61,17.0,,0.17,10.370000000000001
2010-01-05,79,17.0,,0.17,13.430000000000001
2010-01-06,88,17.0,,0.17,14.96
2010-01-07,95,17.0,,0.17,16.150000000000002
2010-01-08,70,17.0,,0.17,11.9
2010-01-09,49,17.0,,0.17,8.33
2010-01-10,46,17.0,,0.17,7.82
2010-01-11,76,17.0,,0.17,12.920000000000002
2010-01-12,85,17.0,,0.17,14.450000000000001
2010-01-13,75,17.0,,0.17,12.750000000000002
2010-01-14,100,17.0,,0.17,17.0
2010-01-15,91,17.0,,0.17,15.47
2010-01-16,42,17.0,,0.17,7.140000000000001
2010-01-17,43,17.0,,0.17,7.3100000000000005
2010-01-18,67,17.0,,0.17,11.39
2010-01-19,78,17.0,,0.17,13.260000000000002
2010-01-20,78,17.0,,0.17,13.260000000000002
2010-01-21,91,17.0,,0.17,15.47
2010-01-22,65,17.0,,0.17,11.05
2010-01-23,44,17.0,,0.17,7.48
2010-01-24,42,17.0,,0.17,7.140000000000001
2010-01-25,57,17.0,,0.17,9.690000000000001
2010-01-26,70,17.0,,0.17,11.9
2010-01-27,60,17.0,,0.17,10.200000000000001
2010-01-28,61,17.0,,0.17,10.370000000000001
2010-01-29,57,17.0,,0.17,9.690000000000001
2010-01-30,38,17.0,,0.17,6.460000000000001
2010-01-31,40,17.0,,0.17,6.800000000000001
2010-02-01,91,13.0,False,0.13,11.83
2010-02-02,97,13.0,,0.13,12.610000000000001
2010-02-03,88,13.0,,0.13,11.440000000000001
2010-02-04,100,13.0,,0.13,13.0
2010-02-05,88,13.0,,0.13,11.440000000000001
2010-02-06,62,13.0,,0.13,8.06
2010-02-07,42,13.0,,0.13,5.46
2010-02-08,69,13.0,,0.13,8.97
2010-02-09,72,13.0,,0.13,9.36
2010-02-10,73,13.0,,0.13,9.49
2010-02-11,71,13.0,,0.13,9.23
2010-02-12,60,13.0,,0.13,7.800000000000001
2010-02-13,43,13.0,,0.13,5.59
2010-02-14,42,13.0,,0.13,5.46
2010-02-15,64,13.0,,0.13,8.32
2010-02-16,83,13.0,,0.13,10.790000000000001
2010-02-17,68,13.0,,0.13,8.84
2010-02-18,77,13.0,,0.13,10.01
2010-02-19,65,13.0,,0.13,8.450000000000001
2010-02-20,56,13.0,,0.13,7.28
2010-02-21,40,13.0,,0.13,5.2
2010-02-22,76,13.0,,0.13,9.88
2010-02-23,67,13.0,,0.13,8.71
2010-02-24,68,13.0,,0.13,8.84
2010-02-25,57,13.0,,0.13,7.41
2010-02-26,65,13.0,,0.13,8.450000000000001
2010-02-27,38,13.0,,0.13,4.94
2010-02-28,40,13.0,,0.13,5.2
2010-03-01,81,12.0,False,0.12,9.719999999999999
2010-03-02,66,12.0,,0.12,7.92
2010-03-03,88,12.0,,0.12,10.559999999999999
2010-03-04,95,12.0,,0.12,11.4
2010-03-05,59,12.0,,0.12,7.08
2010-03-06,40,12.0,,0.12,4.8
2010-03-07,46,12.0,,0.12,5.52
2010-03-08,57,12.0,,0.12,6.84
2010-03-09,57,12.0,,0.12,6.84
2010-03-10,81,12.0,,0.12,9.719999999999999
2010-03-11,75,12.0,,0.12,9.0
2010-03-12,94,12.0,,0.12,11.28
2010-03-13,36,12.0,,0.12,4.32
2010-03-14,53,12.0,,0.12,6.359999999999999
2010-03-15,63,12.0,,0.12,7.56
2010-03-16,62,12.0,,0.12,7.4399999999999995
2010-03-17,54,12.0,,0.12,6.4799999999999995
2010-03-18,69,12.0,,0.12,8.28
2010-03-19,59,12.0,,0.12,7.08
2010-03-20,36,12.0,,0.12,4.32
2010-03-21,64,12.0,,0.12,7.68
2010-03-22,100,12.0,,0.12,12.0
2010-03-23,95,12.0,,0.12,11.4
2010-03-24,83,12.0,,0.12,9.959999999999999
2010-03-25,77,12.0,,0.12,9.24
2010-03-26,60,12.0,,0.12,7.199999999999999
2010-03-27,38,12.0,,0.12,4.56
2010-03-28,48,12.0,,0.12,5.76
2010-03-29,82,12.0,,0.12,9.84
2010-03-30,92,12.0,,0.12,11.04
2010-03-31,89,12.0,,0.12,10.68
2010-04-01,59,12.0,False,0.12,7.08
2010-04-02,49,12.0,,0.12,5.88
2010-04-03,27,12.0,,0.12,3.2399999999999998
2010-04-04,25,12.0,,0.12,3.0
2010-04-05,66,12.0,,0.12,7.92
2010-04-06,53,12.0,,0.12,6.359999999999999
2010-04-07,67,12.0,,0.12,8.04
2010-04-08,52,12.0,,0.12,6.24
2010-04-09,66,12.0,,0.12,7.92
2010-04-10,27,12.0,,0.12,3.2399999999999998
2010-04-11,34,12.0,,0.12,4.08
2010-04-12,81,12.0,,0.12,9.719999999999999
2010-04-13,71,12.0,,0.12,8.52
2010-04-14,53,12.0,,0.12,6.359999999999999
2010-04-15,71,12.0,,0.12,8.52
2010-04-16,67,12.0,,0.12,8.04
2010-04-17,39,12.0,,0.12,4.68
2010-04-18,39,12.0,,0.12,4.68
2010-04-19,58,12.0,,0.12,6.96
2010-04-20,61,12.0,,0.12,7.319999999999999
2010-04-21,84,12.0,,0.12,10.08
2010-04-22,79,12.0,,0.12,9.48
2010-04-23,55,12.0,,0.12,6.6
2010-04-24,36,12.0,,0.12,4.32
2010-04-25,37,12.0,,0.12,4.4399999999999995
2010-04-26,68,12.0,,0.12,8.16
2010-04-27,73,12.0,,0.12,8.76
2010-04-28,100,12.0,,0.12,12.0
2010-04-29,86,12.0,,0.12,10.32
2010-04-30,67,12.0,,0.12,8.04
2010-05-01,45,12.0,False,0.12,5.3999999999999995
2010-05-02,39,12.0,,0.12,4.68
2010-05-03,80,12.0,,0.12,9.6
2010-05-04,100,12.0,,0.12,12.0
2010-05-05,94,12.0,,0.12,11.28
2010-05-06,71,12.0,,0.12,8.52
2010-05-07,68,12.0,,0.12,8.16
2010-05-08,59,12.0,,0.12,7.08
2010-05-09,47,12.0,,0.12,5.64
2010-05-10,72,12.0,,0.12,8.64
2010-05-11,74,12.0,,0.12,8.879999999999999
2010-05-12,69,12.0,,0.12,8.28
2010-05-13,63,12.0,,0.12,7.56
2010-05-14,59,12.0,,0.12,7.08
2010-05-15,36,12.0,,0.12,4.32
2010-05-16,47,12.0,,0.12,5.64
2010-05-17,82,12.0,,0.12,9.84
2010-05-18,66,12.0,,0.12,7.92
2010-05-19,72,12.0,,0.12,8.64
2010-05-20,91,12.0,,0.12,10.92
2010-05-21,67,12.0,,0.12,8.04
2010-05-22,33,12.0,,0.12,3.96
2010-05-23,30,12.0,,0.12,3.5999999999999996
2010-05-24,71,12.0,,0.12,8.52
2010-05-25,81,12.0,,0.12,9.719999999999999
2010-05-26,74,12.0,,0.12,8.879999999999999
2010-05-27,60,12.0,,0.12,7.199999999999999
2010-05-28,66,12.0,,0.12,7.92
2010-05-29,37,12.0,,0.12,4.4399999999999995
2010-05-30,21,12.0,,0.12,2.52
2010-05-31,31,12.0,,0.12,3.7199999999999998
2010-06-01,100,12.0,False,0.12,12.0
2010-06-02,84,12.0,,0.12,10.08
2010-06-03,63,12.0,,0.12,7.56
2010-06-04,55,12.0,,0.12,6.6
2010-06-05,39,12.0,,0.12,4.68
2010-06-06,51,12.0,,0.12,6.12
2010-06-07,79,12.0,,0.12,9.48
2010-06-08,59,12.0,,0.12,7.08
2010-06-09,87,12.0,,0.12,10.44
2010-06-10,84,12.0,,0.12,10.08
2010-06-11,59,12.0,,0.12,7.08
2010-06-12,43,12.0,,0.12,5.16
2010-06-13,62,12.0,,0.12,7.4399999999999995
2010-06-14,75,12.0,,0.12,9.0
2010-06-15,76,12.0,,0.12,9.12
2010-06-16,73,12.0,,0.12,8.76
2010-06-17,66,12.0,,0.12,7.92
2010-06-18,67,12.0,,0.12,8.04
2010-06-19,31,12.0,,0.12,3.7199999999999998
2010-06-20,63,12.0,,0.12,7.56
2010-06-21,60,12.0,,0.12,7.199999999999999
2010-06-22,79,12.0,,0.12,9.48
2010-06-23,66,12.0,,0.12,7.92
2010-06-24,69,12.0,,0.12,8.28
2010-06-25,75,12.0,,0.12,9.0
2010-06-26,46,12.0,,0.12,5.52
2010-06-27,53,12.0,,0.12,6.359999999999999
2010-06-28,55,12.0,,0.12,6.6
2010-06-29,97,12.0,,0.12,11.639999999999999
2010-06-30,92,12.0,,0.12,11.04
2010-07-01,78,10.0,False,0.1,7.800000000000001
2010-07-02,41,10.0,,0.1,4.1000000000000005
2010-07-03,34,10.0,,0.1,3.4000000000000004
2010-07-04,17,10.0,,0.1,1.7000000000000002
2010-07-05,46,10.0,,0.1,4.6000000000000005
2010-07-06,52,10.0,,0.1,5.2
2010-07-07,65,10.0,,0.1,6.5
2010-07-08,69,10.0,,0.1,6.9
2010-07-09,68,10.0,,0.1,6.800000000000001
2010-07-10,72,10.0,,0.1,7.2
2010-07-11,35,10.0,,0.1,3.5
2010-07-12,68,10.0,,0.1,6.800000000000001
2010-07-13,78,10.0,,0.1,7.800000000000001
2010-07-14,85,10.0,,0.1,8.5
2010-07-15,100,10.0,,0.1,10.0
2010-07-16,83,10.0,,0.1,8.3
2010-07-17,49,10.0,,0.1,4.9
2010-07-18,59,10.0,,0.1,5.9
2010-07-19,69,10.0,,0.1,6.9
2010-07-20,77,10.0,,0.1,7.7
2010-07-21,99,10.0,,0.1,9.9
2010-07-22,85,10.0,,0.1,8.5
2010-07-23,63,10.0,,0.1,6.300000000000001
2010-07-24,38,10.0,,0.1,3.8000000000000003
2010-07-25,47,10.0,,0.1,4.7
2010-07-26,61,10.0,,0.1,6.1000000000000005
2010-07-27,71,10.0,,0.1,7.1000000000000005
2010-07-28,76,10.0,,0.1,7.6000000000000005
2010-07-29,70,10.0,,0.1,7.0
2010-07-30,65,10.0,,0.1,6.5
2010-07-31,56,10.0,,0.1,5.6000000000000005
2010-08-01,46,12.0,False,0.12,5.52
2010-08-02,83,12.0,,0.12,9.959999999999999
2010-08-03,73,12.0,,0.12,8.76
2010-08-04,63,12.0,,0.12,7.56
2010-08-05,71,12.0,,0.12,8.52
2010-08-06,47,12.0,,0.12,5.64
2010-08-07,31,12.0,,0.12,3.7199999999999998
2010-08-08,48,12.0,,0.12,5.76
2010-08-09,69,12.0,,0.12,8.28
2010-08-10,74,12.0,,0.12,8.879999999999999
2010-08-11,86,12.0,,0.12,10.32
2010-08-12,73,12.0,,0.12,8.76
2010-08-13,55,12.0,,0.12,6.6
2010-08-14,72,12.0,,0.12,8.64
2010-08-15,38,12.0,,0.12,4.56
2010-08-16,87,12.0,,0.12,10.44
2010-08-17,88,12.0,,0.12,10.559999999999999
2010-08-18,62,12.0,,0.12,7.4399999999999995
2010-08-19,100,12.0,,0.12,12.0
2010-08-20,80,12.0,,0.12,9.6
2010-08-21,53,12.0,,0.12,6.359999999999999
2010-08-22,39,12.0,,0.12,4.68
2010-08-23,84,12.0,,0.12,10.08
2010-08-24,100,12.0,,0.12,12.0
2010-08-25,93,12.0,,0.12,11.16
2010-08-26,80,12.0,,0.12,9.6
2010-08-27,49,12.0,,0.12,5.88
2010-08-28,57,12.0,,0.12,6.84
2010-08-29,35,12.0,,0.12,4.2
2010-08-30,85,12.0,,0.12,10.2
2010-08-31,90,12.0,,0.12,10.799999999999999
2010-09-01,82,14.0,False,0.14,11.48
2010-09-02,57,14.0,,0.14,7.98
2010-09-03,52,14.0,,0.14,7.280000000000001
2010-09-04,30,14.0,,0.14,4.2
2010-09-05,25,14.0,,0.14,3.5000000000000004
2010-09-06,38,14.0,,0.14,5.32
2010-09-07,54,14.0,,0.14,7.5600000000000005
2010-09-08,83,14.0,,0.14,11.620000000000001
2010-09-09,73,14.0,,0.14,10.22
2010-09-10,58,14.0,,0.14,8.120000000000001
2010-09-11,45,14.0,,0.14,6.300000000000001
2010-09-12,26,14.0,,0.14,3.6400000000000006
2010-09-13,83,14.0,,0.14,11.620000000000001
2010-09-14,82,14.0,,0.14,11.48
2010-09-15,63,14.0,,0.14,8.82
2010-09-16,100,14.0,,0.14,14.000000000000002
2010-09-17,77,14.0,,0.14,10.780000000000001
2010-09-18,40,14.0,,0.14,5.6000000000000005
2010-09-19,53,14.0,,0.14,7.420000000000001
2010-09-20,59,14.0,,0.14,8.260000000000002
2010-09-21,99,14.0,,0.14,13.860000000000001
2010-09-22,87,14.0,,0.14,12.180000000000001
2010-09-23,78,14.0,,0.14,10.920000000000002
2010-09-24,66,14.0,,0.14,9.24
2010-09-25,39,14.0,,0.14,5.460000000000001
2010-09-26,43,14.0,,0.14,6.0200000000000005
2010-09-27,78,14.0,,0.14,10.920000000000002
2010-09-28,79,14.0,,0.14,11.06
2010-09-29,90,14.0,,0.14,12.600000000000001
2010-09-30,88,14.0,,0.14,12.32
2010-10-01,77,16.0,False,0.16,12.32
2010-10-02,63,16.0,,0.16,10.08
2010-10-03,40,16.0,,0.16,6.4
2010-10-04,73,16.0,,0.16,11.68
