date,war_unscaled,war_monthly,isPartial,scale,war
2010-01-01,85,45.0,False,0.45,38.25
2010-01-02,87,45.0,,0.45,39.15
2010-01-03,93,45.0,,0.45,41.85
2010-01-04,80,45.0,,0.45,36.0
2010-01-05,87,45.0,,0.45,39.15
2010-01-06,88,45.0,,0.45,39.6
2010-01-07,87,45.0,,0.45,39.15
2010-01-08,89,45.0,,0.45,40.050000000000004
2010-01-09,79,45.0,,0.45,35.550000000000004
2010-01-10,100,45.0,,0.45,45.0
2010-01-11,93,45.0,,0.45,41.85
2010-01-12,89,45.0,,0.45,40.050000000000004
2010-01-13,95,45.0,,0.45,42.75
2010-01-14,90,45.0,,0.45,40.5
2010-01-15,84,45.0,,0.45,37.800000000000004
2010-01-16,80,45.0,,0.45,36.0
2010-01-17,87,45.0,,0.45,39.15
2010-01-18,84,45.0,,0.45,37.800000000000004
2010-01-19,87,45.0,,0.45,39.15
2010-01-20,88,45.0,,0.45,39.6
2010-01-21,98,45.0,,0.45,44.1
2010-01-22,92,45.0,,0.45,41.4
2010-01-23,87,45.0,,0.45,39.15
2010-01-24,95,45.0,,0.45,42.75
2010-01-25,87,45.0,,0.45,39.15
2010-01-26,93,45.0,,0.45,41.85
2010-01-27,88,45.0,,0.45,39.6
2010-01-28,90,45.0,,0.45,40.5
2010-01-29,89,45.0,,0.45,40.050000000000004
2010-01-30,84,45.0,,0.45,37.800000000000004
2010-01-31,92,45.0,,0.45,41.4
2010-02-01,78,50.0,False,0.5,39.0
2010-02-02,80,50.0,,0.5,40.0
2010-02-03,78,50.0,,0.5,39.0
2010-02-04,81,50.0,,0.5,40.5
2010-02-05,79,50.0,,0.5,39.5
2010-02-06,71,50.0,,0.5,35.5
2010-02-07,77,50.0,,0.5,38.5
2010-02-08,80,50.0,,0.5,40.0
2010-02-09,81,50.0,,0.5,40.5
2010-02-10,79,50.0,,0.5,39.5
2010-02-11,85,50.0,,0.5,42.5
2010-02-12,76,50.0,,0.5,38.0
2010-02-13,80,50.0,,0.5,40.0
2010-02-14,77,50.0,,0.5,38.5
2010-02-15,76,50.0,,0.5,38.0
2010-02-16,83,50.0,,0.5,41.5
2010-02-17,80,50.0,,0.5,40.0
2010-02-18,82,50.0,,0.5,41.0
2010-02-19,86,50.0,,0.5,43.0
2010-02-20,80,50.0,,0.5,40.0
2010-02-21,87,50.0,,0.5,43.5
2010-02-22,92,50.0,,0.5,46.0
2010-02-23,87,50.0,,0.5,43.5
2010-02-24,87,50.0,,0.5,43.5
2010-02-25,83,50.0,,0.5,41.5
2010-02-26,86,50.0,,0.5,43.0
2010-02-27,79,50.0,,0.5,39.5
2010-02-28,100,50.0,,0.5,50.0
2010-03-01,77,59.0,False,0.59,45.43
2010-03-02,78,59.0,,0.59,46.019999999999996
2010-03-03,74,59.0,,0.59,43.66
2010-03-04,76,59.0,,0.59,44.839999999999996
2010-03-05,77,59.0,,0.59,45.43
2010-03-06,70,59.0,,0.59,41.3
2010-03-07,84,59.0,,0.59,49.559999999999995
2010-03-08,79,59.0,,0.59,46.61
2010-03-09,82,59.0,,0.59,48.379999999999995
2010-03-10,84,59.0,,0.59,49.559999999999995
2010-03-11,81,59.0,,0.59,47.79
2010-03-12,76,59.0,,0.59,44.839999999999996
2010-03-13,72,59.0,,0.59,42.48
2010-03-14,81,59.0,,0.59,47.79
2010-03-15,80,59.0,,0.59,47.199999999999996
2010-03-16,90,59.0,,0.59,53.099999999999994
2010-03-17,97,59.0,,0.59,57.23
2010-03-18,88,59.0,,0.59,51.919999999999995
2010-03-19,84,59.0,,0.59,49.559999999999995
2010-03-20,91,59.0,,0.59,53.69
2010-03-21,100,59.0,,0.59,59.0
2010-03-22,91,59.0,,0.59,53.69
2010-03-23,89,59.0,,0.59,52.51
2010-03-24,85,59.0,,0.59,50.15
2010-03-25,84,59.0,,0.59,49.559999999999995
2010-03-26,80,59.0,,0.59,47.199999999999996
2010-03-27,76,59.0,,0.59,44.839999999999996
2010-03-28,84,59.0,,0.59,49.559999999999995
2010-03-29,79,59.0,,0.59,46.61
2010-03-30,81,59.0,,0.59,47.79
2010-03-31,78,59.0,,0.59,46.019999999999996
2010-04-01,83,59.0,False,0.59,48.97
2010-04-02,74,59.0,,0.59,43.66
2010-04-03,79,59.0,,0.59,46.61
2010-04-04,85,59.0,,0.59,50.15
2010-04-05,81,59.0,,0.59,47.79
2010-04-06,85,59.0,,0.59,50.15
2010-04-07,85,59.0,,0.59,50.15
2010-04-08,87,59.0,,0.59,51.33
2010-04-09,87,59.0,,0.59,51.33
2010-04-10,81,59.0,,0.59,47.79
2010-04-11,95,59.0,,0.59,56.05
2010-04-12,91,59.0,,0.59,53.69
2010-04-13,96,59.0,,0.59,56.64
2010-04-14,100,59.0,,0.59,59.0
2010-04-15,99,59.0,,0.59,58.41
2010-04-16,89,59.0,,0.59,52.51
2010-04-17,80,59.0,,0.59,47.199999999999996
2010-04-18,94,59.0,,0.59,55.459999999999994
2010-04-19,97,59.0,,0.59,57.23
2010-04-20,88,59.0,,0.59,51.919999999999995
2010-04-21,91,59.0,,0.59,53.69
2010-04-22,95,59.0,,0.59,56.05
2010-04-23,86,59.0,,0.59,50.739999999999995
2010-04-24,79,59.0,,0.59,46.61
2010-04-25,96,59.0,,0.59,56.64
2010-04-26,93,59.0,,0.59,54.87
2010-04-27,97,59.0,,0.59,57.23
2010-04-28,91,59.0,,0.59,53.69
2010-04-29,93,59.0,,0.59,54.87
2010-04-30,89,59.0,,0.59,52.51
2010-05-01,87,60.0,False,0.6,52.199999999999996
2010-05-02,90,60.0,,0.6,54.0
2010-05-03,98,60.0,,0.6,58.8
2010-05-04,93,60.0,,0.6,55.8
2010-05-05,100,60.0,,0.6,60.0
2010-05-06,96,60.0,,0.6,57.599999999999994
2010-05-07,92,60.0,,0.6,55.199999999999996
2010-05-08,77,60.0,,0.6,46.199999999999996
2010-05-09,91,60.0,,0.6,54.6
2010-05-10,96,60.0,,0.6,57.599999999999994
2010-05-11,97,60.0,,0.6,58.199999999999996
2010-05-12,98,60.0,,0.6,58.8
2010-05-13,82,60.0,,0.6,49.199999999999996
2010-05-14,88,60.0,,0.6,52.8
2010-05-15,70,60.0,,0.6,42.0
2010-05-16,87,60.0,,0.6,52.199999999999996
2010-05-17,88,60.0,,0.6,52.8
2010-05-18,88,60.0,,0.6,52.8
2010-05-19,92,60.0,,0.6,55.199999999999996
2010-05-20,89,60.0,,0.6,53.4
2010-05-21,84,60.0,,0.6,50.4
2010-05-22,76,60.0,,0.6,45.6
2010-05-23,86,60.0,,0.6,51.6
2010-05-24,90,60.0,,0.6,54.0
2010-05-25,86,60.0,,0.6,51.6
2010-05-26,80,60.0,,0.6,48.0
2010-05-27,88,60.0,,0.6,52.8
2010-05-28,77,60.0,,0.6,46.199999999999996
2010-05-29,80,60.0,,0.6,48.0
2010-05-30,80,60.0,,0.6,48.0
2010-05-31,96,60.0,,0.6,57.599999999999994
2010-06-01,100,42.0,False,0.42,42.0
2010-06-02,91,42.0,,0.42,38.22
