date,water_unscaled,water_monthly,isPartial,scale,water
2010-01-01,73,49.0,False,0.49,35.769999999999996
2010-01-02,82,49.0,,0.49,40.18
2010-01-03,78,49.0,,0.49,38.22
2010-01-04,93,49.0,,0.49,45.57
2010-01-05,95,49.0,,0.49,46.55
2010-01-06,96,49.0,,0.49,47.04
2010-01-07,94,49.0,,0.49,46.06
2010-01-08,90,49.0,,0.49,44.1
2010-01-09,85,49.0,,0.49,41.65
2010-01-10,90,49.0,,0.49,44.1
2010-01-11,95,49.0,,0.49,46.55
2010-01-12,99,49.0,,0.49,48.51
2010-01-13,96,49.0,,0.49,47.04
2010-01-14,92,49.0,,0.49,45.08
2010-01-15,88,49.0,,0.49,43.12
2010-01-16,80,49.0,,0.49,39.2
2010-01-17,83,49.0,,0.49,40.67
2010-01-18,91,49.0,,0.49,44.589999999999996
2010-01-19,92,49.0,,0.49,45.08
2010-01-20,98,49.0,,0.49,48.019999999999996
2010-01-21,99,49.0,,0.49,48.51
2010-01-22,94,49.0,,0.49,46.06
2010-01-23,75,49.0,,0.49,36.75
2010-01-24,93,49.0,,0.49,45.57
2010-01-25,100,49.0,,0.49,49.0
2010-01-26,92,49.0,,0.49,45.08
2010-01-27,90,49.0,,0.49,44.1
2010-01-28,92,49.0,,0.49,45.08
2010-01-29,92,49.0,,0.49,45.08
2010-01-30,85,49.0,,0.49,41.65
2010-01-31,86,49.0,,0.49,42.14
2010-02-01,99,48.0,False,0.48,47.519999999999996
2010-02-02,93,48.0,,0.48,44.64
2010-02-03,94,48.0,,0.48,45.12
2010-02-04,96,48.0,,0.48,46.08
2010-02-05,87,48.0,,0.48,41.76
2010-02-06,83,48.0,,0.48,39.839999999999996
2010-02-07,84,48.0,,0.48,40.32
2010-02-08,95,48.0,,0.48,45.6
2010-02-09,89,48.0,,0.48,42.72
2010-02-10,86,48.0,,0.48,41.28
2010-02-11,90,48.0,,0.48,43.199999999999996
2010-02-12,88,48.0,,0.48,42.239999999999995
2010-02-13,73,48.0,,0.48,35.04
2010-02-14,77,48.0,,0.48,36.96
2010-02-15,91,48.0,,0.48,43.68
2010-02-16,91,48.0,,0.48,43.68
2010-02-17,94,48.0,,0.48,45.12
2010-02-18,94,48.0,,0.48,45.12
2010-02-19,89,48.0,,0.48,42.72
2010-02-20,78,48.0,,0.48,37.44
2010-02-21,83,48.0,,0.48,39.839999999999996
2010-02-22,99,48.0,,0.48,47.519999999999996
2010-02-23,100,48.0,,0.48,48.0
2010-02-24,94,48.0,,0.48,45.12
2010-02-25,91,48.0,,0.48,43.68
