date,world_unscaled,world_monthly,isPartial,scale,world
2010-01-01,100,32.0,False,0.32,32.0
2010-01-02,91,32.0,,0.32,29.12
2010-01-03,94,32.0,,0.32,30.080000000000002
2010-01-04,89,32.0,,0.32,28.48
2010-01-05,86,32.0,,0.32,27.52
2010-01-06,88,32.0,,0.32,28.16
2010-01-07,81,32.0,,0.32,25.92
2010-01-08,84,32.0,,0.32,26.88
2010-01-09,87,32.0,,0.32,27.84
2010-01-10,91,32.0,,0.32,29.12
2010-01-11,84,32.0,,0.32,26.88
2010-01-12,84,32.0,,0.32,26.88
2010-01-13,93,32.0,,0.32,29.76
2010-01-14,93,32.0,,0.32,29.76
2010-01-15,88,32.0,,0.32,28.16
2010-01-16,87,32.0,,0.32,27.84
2010-01-17,93,32.0,,0.32,29.76
2010-01-18,86,32.0,,0.32,27.52
2010-01-19,84,32.0,,0.32,26.88
2010-01-20,85,32.0,,0.32,27.2
2010-01-21,82,32.0,,0.32,26.240000000000002
2010-01-22,82,32.0,,0.32,26.240000000000002
2010-01-23,88,32.0,,0.32,28.16
2010-01-24,92,32.0,,0.32,29.44
2010-01-25,83,32.0,,0.32,26.560000000000002
2010-01-26,81,32.0,,0.32,25.92
2010-01-27,81,32.0,,0.32,25.92
2010-01-28,80,32.0,,0.32,25.6
2010-01-29,82,32.0,,0.32,26.240000000000002
2010-01-30,81,32.0,,0.32,25.92
2010-01-31,87,32.0,,0.32,27.84
2010-02-01,67,34.0,False,0.34,22.78
2010-02-02,71,34.0,,0.34,24.14
2010-02-03,71,34.0,,0.34,24.14
2010-02-04,69,34.0,,0.34,23.46
2010-02-05,65,34.0,,0.34,22.1
2010-02-06,68,34.0,,0.34,23.12
2010-02-07,71,34.0,,0.34,24.14
2010-02-08,65,34.0,,0.34,22.1
2010-02-09,67,34.0,,0.34,22.78
2010-02-10,64,34.0,,0.34,21.76
2010-02-11,67,34.0,,0.34,22.78
2010-02-12,68,34.0,,0.34,23.12
2010-02-13,100,34.0,,0.34,34.0
2010-02-14,90,34.0,,0.34,30.6
2010-02-15,79,34.0,,0.34,26.860000000000003
2010-02-16,76,34.0,,0.34,25.840000000000003
2010-02-17,69,34.0,,0.34,23.46
2010-02-18,70,34.0,,0.34,23.8
2010-02-19,69,34.0,,0.34,23.46
2010-02-20,69,34.0,,0.34,23.46
2010-02-21,77,34.0,,0.34,26.180000000000003
2010-02-22,71,34.0,,0.34,24.14
2010-02-23,69,34.0,,0.34,23.46
2010-02-24,76,34.0,,0.34,25.840000000000003
2010-02-25,91,34.0,,0.34,30.94
2010-02-26,79,34.0,,0.34,26.860000000000003
2010-02-27,91,34.0,,0.34,30.94
2010-02-28,88,34.0,,0.34,29.92
2010-03-01,100,32.0,False,0.32,32.0
2010-03-02,98,32.0,,0.32,31.36
2010-03-03,95,32.0,,0.32,30.400000000000002
2010-03-04,97,32.0,,0.32,31.04
2010-03-05,90,32.0,,0.32,28.8
2010-03-06,93,32.0,,0.32,29.76
2010-03-07,97,32.0,,0.32,31.04
2010-03-08,89,32.0,,0.32,28.48
2010-03-09,88,32.0,,0.32,28.16
2010-03-10,89,32.0,,0.32,28.48
2010-03-11,92,32.0,,0.32,29.44
2010-03-12,90,32.0,,0.32,28.8
2010-03-13,91,32.0,,0.32,29.12
2010-03-14,96,32.0,,0.32,30.72
2010-03-15,90,32.0,,0.32,28.8
2010-03-16,86,32.0,,0.32,27.52
2010-03-17,84,32.0,,0.32,26.88
2010-03-18,85,32.0,,0.32,27.2
2010-03-19,83,32.0,,0.32,26.560000000000002
2010-03-20,85,32.0,,0.32,27.2
2010-03-21,91,32.0,,0.32,29.12
2010-03-22,87,32.0,,0.32,27.84
2010-03-23,92,32.0,,0.32,29.44
2010-03-24,87,32.0,,0.32,27.84
2010-03-25,90,32.0,,0.32,28.8
2010-03-26,89,32.0,,0.32,28.48
2010-03-27,90,32.0,,0.32,28.8
2010-03-28,92,32.0,,0.32,29.44
2010-03-29,87,32.0,,0.32,27.84
2010-03-30,85,32.0,,0.32,27.2
2010-03-31,86,32.0,,0.32,27.52
2010-04-01,88,32.0,False,0.32,28.16
2010-04-02,89,32.0,,0.32,28.48
2010-04-03,86,32.0,,0.32,27.52
2010-04-04,96,32.0,,0.32,30.72
2010-04-05,91,32.0,,0.32,29.12
2010-04-06,88,32.0,,0.32,28.16
2010-04-07,87,32.0,,0.32,27.84
2010-04-08,91,32.0,,0.32,29.12
2010-04-09,89,32.0,,0.32,28.48
2010-04-10,90,32.0,,0.32,28.8
2010-04-11,97,32.0,,0.32,31.04
2010-04-12,91,32.0,,0.32,29.12
2010-04-13,96,32.0,,0.32,30.72
2010-04-14,91,32.0,,0.32,29.12
2010-04-15,95,32.0,,0.32,30.400000000000002
2010-04-16,93,32.0,,0.32,29.76
2010-04-17,94,32.0,,0.32,30.080000000000002
2010-04-18,98,32.0,,0.32,31.36
2010-04-19,91,32.0,,0.32,29.12
2010-04-20,91,32.0,,0.32,29.12
2010-04-21,90,32.0,,0.32,28.8
2010-04-22,93,32.0,,0.32,29.76
2010-04-23,88,32.0,,0.32,28.16
2010-04-24,88,32.0,,0.32,28.16
2010-04-25,100,32.0,,0.32,32.0
2010-04-26,92,32.0,,0.32,29.44
2010-04-27,93,32.0,,0.32,29.76
2010-04-28,94,32.0,,0.32,30.080000000000002
2010-04-29,93,32.0,,0.32,29.76
2010-04-30,94,32.0,,0.32,30.080000000000002
2010-05-01,86,35.0,False,0.35,30.099999999999998
2010-05-02,93,35.0,,0.35,32.55
2010-05-03,86,35.0,,0.35,30.099999999999998
2010-05-04,84,35.0,,0.35,29.4
2010-05-05,81,35.0,,0.35,28.349999999999998
2010-05-06,83,35.0,,0.35,29.049999999999997
2010-05-07,82,35.0,,0.35,28.7
2010-05-08,87,35.0,,0.35,30.45
2010-05-09,88,35.0,,0.35,30.799999999999997
2010-05-10,88,35.0,,0.35,30.799999999999997
2010-05-11,85,35.0,,0.35,29.749999999999996
2010-05-12,85,35.0,,0.35,29.749999999999996
2010-05-13,86,35.0,,0.35,30.099999999999998
2010-05-14,84,35.0,,0.35,29.4
2010-05-15,84,35.0,,0.35,29.4
2010-05-16,92,35.0,,0.35,32.199999999999996
2010-05-17,86,35.0,,0.35,30.099999999999998
2010-05-18,85,35.0,,0.35,29.749999999999996
2010-05-19,83,35.0,,0.35,29.049999999999997
2010-05-20,86,35.0,,0.35,30.099999999999998
2010-05-21,83,35.0,,0.35,29.049999999999997
2010-05-22,87,35.0,,0.35,30.45
2010-05-23,93,35.0,,0.35,32.55
2010-05-24,87,35.0,,0.35,30.45
2010-05-25,87,35.0,,0.35,30.45
2010-05-26,89,35.0,,0.35,31.15
2010-05-27,85,35.0,,0.35,29.749999999999996
2010-05-28,84,35.0,,0.35,29.4
2010-05-29,90,35.0,,0.35,31.499999999999996
2010-05-30,97,35.0,,0.35,33.949999999999996
2010-05-31,100,35.0,,0.35,35.0
2010-06-01,26,73.0,False,0.73,18.98
2010-06-02,26,73.0,,0.73,18.98
2010-06-03,26,73.0,,0.73,18.98
2010-06-04,28,73.0,,0.73,20.439999999999998
2010-06-05,29,73.0,,0.73,21.169999999999998
2010-06-06,31,73.0,,0.73,22.63
2010-06-07,31,73.0,,0.73,22.63
2010-06-08,33,73.0,,0.73,24.09
2010-06-09,34,73.0,,0.73,24.82
2010-06-10,44,73.0,,0.73,32.12
2010-06-11,94,73.0,,0.73,68.62
2010-06-12,100,73.0,,0.73,73.0
2010-06-13,71,73.0,,0.73,51.83
2010-06-14,61,73.0,,0.73,44.53
2010-06-15,57,73.0,,0.73,41.61
2010-06-16,53,73.0,,0.73,38.69
2010-06-17,57,73.0,,0.73,41.61
2010-06-18,75,73.0,,0.73,54.75
2010-06-19,56,73.0,,0.73,40.879999999999995
2010-06-20,60,73.0,,0.73,43.8
2010-06-21,52,73.0,,0.73,37.96
2010-06-22,56,73.0,,0.73,40.879999999999995
2010-06-23,82,73.0,,0.73,59.86
2010-06-24,57,73.0,,0.73,41.61
2010-06-25,58,73.0,,0.73,42.339999999999996
